번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,관광숙박업상세명
912,관광숙박업,03_11_01_P,3330000,CDFI2260032017000005,2017.4.12,,1,영업/정상,13,영업중,,,,,051-912-9000,,,부산광역시 해운대구 우동 629-6,부산광역시 해운대구 해운대로570번길 46 (우동),48093,신라스테이 해운대호텔,2022.12.27 15:29,U,2022.12.29 2:40,,396626.3918,186648.1469,관광숙박업,,일반상업지역,20,기타,,,호텔,16,4,407,29621,SHILLA STAY HAEUNDAE HOTEL,TOURIST ACCOMMODATION(TOURIST HOTEL),0,0,,0,0,,0,29620.58,,0,,,,,,,0,,,,29621,관광호텔업
913,관광숙박업,03_11_01_P,3330000,CDFI2260032017000008,2017.7.21,,1,영업/정상,13,영업중,,,,,,,,부산광역시 해운대구 송정동 442-5,"부산광역시 해운대구 송정광어골로 67, 4~5층 (송정동)",48073,Nudge567,2022.12.27 15:30,U,2022.12.29 2:40,,400028.7869,188457.4249,관광숙박업,,준주거지역,5,기타,,,,5,0,4,979,,,0,0,,0,0,,0,335.28,,0,,,,,,,0,,,,335,호스텔업
914,관광숙박업,03_11_01_P,3330000,CDFI2260032017000009,2017.9.4,,1,영업/정상,13,영업중,,,,,051-702-1928,,,부산광역시 해운대구 송정동 265,"부산광역시 해운대구 송정해변로 8-17 (송정동, 송정동해수락)",48072,송정 해수락,2023.7.12 11:20,U,2023.7.15 2:40,,400730.068,189145.6742,관광숙박업,,,7,,,,,6,1,37,5765,,,0,0,,0,0,,0,5765.03,,0,,,,,,,0,,,,5765,가족호텔업
915,관광숙박업,03_11_01_P,3330000,CDFI2260032017000010,2017.9.27,,1,영업/정상,13,영업중,,,,,,,,부산광역시 해운대구 송정동 159-5,부산광역시 해운대구 송정광어골로 3 (송정동),48073,MARINE K POOL VILLA,2022.12.27 15:31,U,2022.12.29 2:40,,400263.1274,189037.9831,관광숙박업,,준주거지역,9,,,,숙박시설,9,0,10,787,,,0,0,,0,0,,0,787.29,,0,,,,,,,0,,,,787,호스텔업
916,관광숙박업,03_11_01_P,3330000,CDFI2260032017000011,2017.11.15,,1,영업/정상,13,영업중,,,,,,,,부산광역시 해운대구 중동 1256-4,"부산광역시 해운대구 해운대해변로359번길 27, 7층 (중동)",48096,마르가,2022.12.27 15:32,U,2022.12.29 2:40,,397494.8286,187231.0368,관광숙박업,,일반상업지역,7,기타,,,숙박시설,7,0,2,560,,,0,0,,0,0,,0,82.97,,0,,,,,,,0,,,,83,호스텔업
917,관광숙박업,03_11_01_P,3330000,CDFI2260032017000012,2017.12.14,,1,영업/정상,13,영업중,,,,,051-702-0090,,,부산광역시 해운대구 송정동 422-13,부산광역시 해운대구 송정광어골로 30 (송정동),48073,브라운도트호텔,2023.7.12 11:22,U,2023.7.15 2:40,,400088.349,188831.8427,관광숙박업,,주거지역,10,주택가주변,,,숙박시설,9,1,38,1964,,,0,0,,0,0,,0,1964.46,,0,,,,,,,0,,,,1964,관광호텔업
918,관광숙박업,03_11_01_P,3270000,CDFI2260031986000001,1986.11.17,,1,영업/정상,13,영업중,,,,,051-634-3001,,,부산광역시 동구 범일동 830-171,부산광역시 동구 조방로34번길 9 (범일동),48739,(주)라메르관광호텔,2023.1.25 13:30,U,2023.1.28 2:40,,387884.2216,184331.2611,관광숙박업,관광사업,,0,,,,호텔,0,0,40,32145,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,관광호텔업
919,관광숙박업,03_11_01_P,3270000,CDFI2260031988000002,1988.5.6,,1,영업/정상,13,영업중,,,,,051-464-3141,,,부산광역시 동구 초량동 1200-17,부산광역시 동구 중앙대로214번길 7 (초량동),48733,광장관광호텔,2023.1.25 13:25,U,2023.1.28 2:40,,386026.7574,181580.3818,관광숙박업,,,0,,,,,10,2,56,0,,,0,0,,0,0,,0,3998.65,,0,,,,,,,0,,,,3999,관광호텔업
920,관광숙박업,03_11_01_P,3270000,CDFI2260032003000001,2003.6.14,,1,영업/정상,13,영업중,,,,,051-465-4011,,,부산광역시 동구 수정동 1-62,"부산광역시 동구 중앙대로 399, 지하1~지상8층 (수정동)",48775,프라임관광호텔,2023.1.25 13:26,U,2023.1.28 2:40,,386797.8513,183195.7559,관광숙박업,관광사업,일반상업지역,8,기타,,,숙박시설,7,1,45,0,,,0,0,,0,0,,0,4776.02,,0,,,,,,,0,,,,4776,관광호텔업
921,관광숙박업,03_11_01_P,3270000,CDFI2260032012000001,2012.12.7,,1,영업/정상,13,영업중,,,,,,,,부산광역시 동구 초량동 408-3,"부산광역시 동구 초량중로 60, 2,3층 (초량동)",48816,부산숙박닷컴 게스트하우스,2023.5.8 11:19,U,2023.5.10 2:40,,385767.8841,181681.9905,관광숙박업,,일반상업지역,0,학교정화(상대),,,숙박시설,0,0,13,0,,,0,0,,0,0,,0,342.65,,0,,,,,,,250000000,,,,343,호스텔업
922,관광숙박업,03_11_01_P,3320000,CDFI2260032017000001,2017.2.8,,1,영업/정상,13,영업중,,,,,051-336-3477,,,부산광역시 북구 덕천동 387-6,"부산광역시 북구 만덕대로 84, 4층 (덕천동, 성암빌딩)",46567,편한게스트하우스,2023.2.1 15:11,U,2023.2.4 2:40,,383326.3435,192169.3953,관광숙박업,,준주거지역,0,기타,,재난배상책임보험,숙박시설,4,0,13,0,,,0,0,,0,0,,0,199.62,,0,,,,,,,0,,,,200,호스텔업
923,관광숙박업,03_11_01_P,3380000,CDFI2260031987000001,1987.8.10,,1,영업/정상,13,영업중,,,,,051-790-2392,,613-805,부산광역시 수영구 광안동 192-5번지,부산광역시 수영구 광안해변로 225 (광안동),,대명화성주식회사 호텔아쿠아펠리스지점,2019.9.16 16:03,U,2019.9.18 2:40,,393000.846,185934.806,관광숙박업,관광사업,일반상업지역,,기타,,,숙박시설,19,3,101,18393,,,,,,,,,,18393.47,,,,,,,,,880000000,,,,18393,관광호텔업
924,관광숙박업,03_11_01_P,3380000,CDFI2260031989000001,1989.12.22,,1,영업/정상,13,영업중,,,,,051-757-1100,,613-800,부산광역시 수영구 광안동 50-3,부산광역시 수영구 무학로9번길 133 (광안동),,유토피아관광호텔,2023.2.8 10:43,U,2023.2.10 2:40,,392813.8263,187410.9814,관광숙박업,관광사업,상업지역,10,유흥업소밀집지역,,,호텔,8,2,43,7196,Utopia Hotel,Tourist Hotel,0,0,,0,0,,0,7196.38,,0,,,,,,,0,,,,7196,관광호텔업
925,관광숙박업,03_11_01_P,3380000,CDFI2260032004000001,2004.11.22,,1,영업/정상,13,영업중,,,,,051-750-8000,,613-805,부산광역시 수영구 광안동 193-1,부산광역시 수영구 광안해변로 217 (광안동),,호텔 호메르스,2023.3.30 13:19,U,2023.4.1 2:40,,392926.9453,185860.4462,관광숙박업,관광사업,일반상업지역,0,주택가주변,,,호텔,20,4,152,17033,,,0,0,,0,0,,0,15708.68,,0,,,,,,,0,,,,15709,관광호텔업
926,관광숙박업,03_11_01_P,3380000,CDFI2260032004000002,2004.7.23,,1,영업/정상,13,영업중,,,,,051-757-2500,,613-827,부산광역시 수영구 민락동 110-60,부산광역시 수영구 민락수변로 141 (민락동),,호텔AG405,2021.6.24 9:36,U,2021.6.26 2:40,,394425.6713,186232.7431,관광숙박업,관광사업,준주거지역,11,기타,,,호텔,10,1,62,4793,,,,,,,,,,4792.64,,,,,,,,,,,,,4793,관광호텔업
927,관광숙박업,03_11_01_P,3380000,CDFI2260032014000001,2014.6.2,,1,영업/정상,13,영업중,,,,,,,613-805,"부산광역시 수영구 광안동 199-6번지 5, 9층",부산광역시 수영구 남천바다로33번길 47 (광안동),48303,더뷰 호스텔,2019.3.19 18:30,U,2019.3.21 2:40,,392690.8887,185530.0758,관광숙박업,,준주거지역,2,기타,,,호텔,,,11,2030,,,,,,,,,,357.68,,,,,,,,,290000000,,,,358,호스텔업
928,관광숙박업,03_11_01_P,3380000,CDFI2260032014000002,2014.7.17,,1,영업/정상,13,영업중,,,,,,,,부산광역시 수영구 민락동 178-13 홍륜빌딩,"부산광역시 수영구 광안해변로 249, 홍륜빌딩 7층, 9층 (민락동)",48284,안리고택,2022.7.7 9:59,U,2022.7.12 2:40,,393213.3366,186059.2358,관광숙박업,,준주거지역,10,,,,숙박시설,10,1,13,2143,Jiniguesthouse,Hostel,0,0,,0,0,,0,416.28,,0,,,,,,,200000000,,,,416,호스텔업
929,관광숙박업,03_11_01_P,3380000,CDFI2260032014000004,2014.12.12,,1,영업/정상,13,영업중,,,,,,,613-828,부산광역시 수영구 민락동 181-68,"부산광역시 수영구 광안해변로295번길 4-7, 2~4층 (민락동)",48290,게스트하우스 어반,2020.7.21 12:35,U,2020.7.23 2:40,,393641.4906,186275.6694,관광숙박업,,준주거지역,4,기타,,,숙박시설,4,1,12,,,,,,,,,,,369.19,,,,,,,,,,,,,369,호스텔업
930,관광숙박업,03_11_01_P,3380000,CDFI2260032015000001,2015.3.26,,1,영업/정상,13,영업중,,,,,,,613-805,부산광역시 수영구 광안동 203-18,부산광역시 수영구 남천바다로 31-1 (광안동),48303,제이스테이,2022.4.6 9:31,U,2022.4.8 2:40,,392578.2966,185333.1654,관광숙박업,,준주거지역,9,기타,,,숙박시설,9,0,12,821,,,0,0,,0,0,,0,334.47,,0,,,,,,,200000000,,,,334,호스텔업
931,관광숙박업,03_11_01_P,3330000,CDFI2260032013000002,2013.8.29,,1,영업/정상,13,영업중,,,,,051-747-6147,,,부산광역시 해운대구 중동 1398-7 해운대구중동마린타워,"부산광역시 해운대구 해운대해변로 321, 해운대구중동마린타워 10~11층 (중동)",48096,팝콘호스텔,2022.12.27 15:11,U,2022.12.29 2:40,,397215.3576,186959.5197,관광숙박업,,일반상업지역,13,기타,,,기타,11,2,17,4886,,,0,0,,0,0,,0,784.98,,0,,,,,,,0,,,,785,호스텔업
932,관광숙박업,03_11_01_P,3330000,CDFI2260032014000001,2014.1.15,,1,영업/정상,13,영업중,,,,,051-750-9000,,612-821,부산광역시 해운대구 우동 637-1,부산광역시 해운대구 구남로12번길 31 (우동),48094,제이비디자인호텔(JB Design HOTEL),2022.12.27 15:12,U,2022.12.29 2:40,,396563.6993,186860.5653,관광숙박업,,일반상업지역,13,유흥업소밀집지역,,,숙박시설,12,1,80,5210,,,0,0,,0,0,,0,5209.53,,0,,,,,,,5699999700,,,,5210,관광호텔업
933,관광숙박업,03_11_01_P,3330000,CDFI2260032014000003,2014.7.10,,1,영업/정상,13,영업중,,,,,051-710-9309,,612-021,부산광역시 해운대구 우동 542-28,"부산광역시 해운대구 구남로24번길 16 (우동, 인더스트리 호텔)",48094,브라운도트 해운대점,2023.6.23 14:08,U,2023.6.25 2:40,,396676.4754,186849.5995,관광숙박업,,일반상업지역,9,유흥업소밀집지역,,,숙박시설,8,1,50,1938,,,0,0,,0,0,,0,1938.1,,0,,,,,,,150000000,,,,1938,관광호텔업
934,관광숙박업,03_11_01_P,5670000,CDFI2260032020000001,2020.2.10,,1,영업/정상,13,영업중,,,,,055-243-9999,,,경상남도 창원시 마산합포구 해운동 45-7,경상남도 창원시 마산합포구 월영동11길 22 (해운동),51746,여우비호텔,2022.6.10 13:44,U,2022.6.12 2:40,,342473.3019,187916.9481,관광숙박업,,일반상업지역,9,,,KB손해보험,숙박시설,9,0,60,2822,YEOUBIHOTEL,TOURIST HOTEL,0,0,,0,0,,0,2821.94,,0,,,,,,,0,,,,2822,관광호텔업
935,관광숙박업,03_11_01_P,5670000,CDFI2260032020000002,2020.8.20,,1,영업/정상,13,영업중,,,,,055-713-5577,,,경상남도 창원시 진해구 제덕동 871-9,경상남도 창원시 진해구 명제로 478 (제덕동),51616,리안 호텔,2021.8.4 13:17,U,2021.8.6 2:40,,358684.0127,179374.513,관광숙박업,,일반상업지역,5,,,삼성화재해상보험,호텔,5,0,32,1383,RIAN HOTEL,Tourist Accommodations (Tourist Hotel),0,0,,0,0,,0,1382.5,,0,,,,,,,0,,,,1383,관광호텔업
936,관광숙박업,03_11_01_P,5670000,CDFI2260032006000001,2006.4.6,,1,영업/정상,13,영업중,,,,,055-263-7200,,641-842,경상남도 창원시 성산구 용호동 73-28,경상남도 창원시 성산구 용지로169번길 5 (용호동),51436,에비뉴관광호텔,2021.7.1 9:37,I,2021.7.2 0:23,,353006.6024,193614.7419,관광숙박업,관광사업,일반상업지역,14,유흥업소밀집지역,,,숙박시설,12,2,60,4073,,,,,,,,,,4072.78,,,,,,,,,,,,,4073,관광호텔업
937,관광숙박업,03_11_01_P,5670000,CDFI2260032006100001,2006.1.27,,1,영업/정상,13,영업중,,,,,055-248-2700,,631-442,경상남도 창원시 마산합포구 신포동2가 117-34,경상남도 창원시 마산합포구 해안대로 317 (신포동2가),51720,(주)스카이뷰 관광호텔,2022.3.31 9:14,U,2022.4.2 2:40,,343389.3487,190207.1962,관광숙박업,관광사업,상업지역,17,,,,호텔,14,3,94,11010,SKYVIEW TOURIST HOTEL,TOURIST ACCOMMODATION BUSINESS(TOURIST HOTEL),0,0,,0,0,,0,4703.97,,0,,,,,,,1000000000,,,,4704,관광호텔업
938,관광숙박업,03_11_01_P,5670000,CDFI2260032008000001,2008.6.4,,1,영업/정상,13,영업중,,,,,055-600-0708,,641-200,경상남도 창원시 성산구 대원동 122,경상남도 창원시 성산구 원이대로 332 (대원동),51408,그랜드 머큐어 앰배서더 창원,2023.3.10 12:59,U,2023.3.12 2:40,,350576.0561,194594.1548,관광숙박업,관광사업,일반주거지역,18,,,,호텔,15,3,321,41406,Grand Mercure Ambassador Changwon,Tourist Hotel,0,0,,0,0,,0,41406.07,,0,,,,,,,0,,,,41406,관광호텔업
939,관광숙박업,03_11_01_P,5670000,CDFI2260032010000001,2010.8.27,,1,영업/정상,13,영업중,,,,,055-285-3331,,642-845,경상남도 창원시 성산구 중앙동 97-1,경상남도 창원시 성산구 중앙대로 81 (중앙동),51522,(주) 올림픽호텔,2021.10.7 9:52,U,2021.10.9 2:40,,352693.8724,192762.6268,관광숙박업,,중심상업지역,9,,,,숙박시설,7,2,86,12956,,,0,0,,0,0,,0,3363.45,,0,,,,,,,0,,,,3363,관광호텔업
940,관광숙박업,03_11_01_P,5670000,CDFI2260032013000001,2013.11.8,,1,영업/정상,13,영업중,,,,,055-252-3377,,641-873,경상남도 창원시 의창구 북면 신촌리 402-6,경상남도 창원시 의창구 북면 천주로1173번길 42,51101,누와즈컬리넌호텔,2022.6.13 15:40,U,2022.6.16 2:40,,346058.9402,207651.0969,관광숙박업,,일반상업지역,6,,,,,4,2,55,5803,,,0,0,,0,0,,0,5802,,0,,,,,,,0,,,,5802,가족호텔업
941,관광숙박업,03_11_01_P,5670000,CDFI2260032017000001,2017.1.18,,1,영업/정상,13,영업중,,,,,055-284-9100,,,"경상남도 창원시 성산구 상남동 7-5 CNN타워 701호, 9층~11층","경상남도 창원시 성산구 상남로 118 (상남동,  CNN타워 701호, 9층~11층)",51495,C&N HOSTEL,2021.12.22 14:58,U,2021.12.24 2:40,,353164.6385,192875.6194,관광숙박업,,일반상업지역,4,유흥업소밀집지역,,재난배상책임보험(동부화재),숙박시설,4,0,38,0,C&N HOSTEL,Tourist accommondation(hostel),0,0,,0,0,,0,1871.03,,0,,,,,,,1000000000,,,,1871,호스텔업
942,관광숙박업,03_11_01_P,5670000,CDFI2260032017000002,2017.3.8,,1,영업/정상,13,영업중,,,,,0507-1332-7920,,,경상남도 창원시 성산구 중앙동 98-6 4층,"경상남도 창원시 성산구 용지로 64, 4층 (중앙동, 덕산그린피아)",51522,브라운도트호텔 창원중앙점,2023.7.31 11:17,U,2023.8.2 2:40,,352519.8468,192666.6175,관광숙박업,,중심상업지역,1,유흥업소밀집지역,,,숙박시설,9,5,39,2765,RITZ HOSTEL,Tourist accommondation(hostel),0,0,,0,0,,0,2764.75,,0,,,,,,,352000000,,,,2765,호스텔업
943,관광숙박업,03_11_01_P,5670000,CDFI2260032017000003,2017.6.8,,1,영업/정상,13,영업중,,,,,055-604-4242,,,경상남도 창원시 진해구 제덕동 873-6,경상남도 창원시 진해구 명제로472번길 17 (제덕동),51616,아모르 관광호텔,2021.7.7 9:32,U,2021.7.9 2:40,,358798.6303,179338.5978,관광숙박업,,일반상업지역,8,,,삼성화재해상보험,숙박시설,7,1,52,4609,AMOR TOURIST HOTEL,Tourist Accommodations (Tourist Hotel),0,0,,0,0,,0,4609,,0,,,,,,,956160660,,,,4609,관광호텔업
944,관광숙박업,03_11_01_P,5670000,CDFI2260032017000004,2017.9.11,,1,영업/정상,13,영업중,,,,,055-223-9800,,,경상남도 창원시 마산합포구 가포동 629,경상남도 창원시 마산합포구 가포신항북로 16 (가포동),51756,사과나무관광호텔,2021.11.19 17:53,U,2021.11.21 2:40,,343443.9231,186641.8702,관광숙박업,,준공업지역,9,기타,,DB손해보험,호텔,8,1,41,2659,,,,,,,,,,2659.48,,,,,,,,,30,,,,2659,관광호텔업
945,관광숙박업,03_11_01_P,5670000,CDFI2260032017000005,2017.11.16,,1,영업/정상,13,영업중,,,,,055-261-2525,,,경상남도 창원시 성산구 상남동 31-9 베스트루이스해밀턴호텔창원점,경상남도 창원시 성산구 마디미로70번길 10 (상남동),51503,베스트루이스해밀턴호텔 창원점,2022.12.23 15:21,U,2022.12.25 2:40,,352955.4053,192441.8045,관광숙박업,,일반상업지역,13,,,,호텔,12,1,68,3830,BEST LOUIS HAMILTON HOTEL CHANGWON,Tourist Accommodation (Tourist Hotel),0,0,,0,0,,0,3830.15,,0,,,,,,,0,,,,3830,관광호텔업
946,관광숙박업,03_11_01_P,5670000,CDFI2260032017000006,2017.12.20,,1,영업/정상,13,영업중,,,,,055-241-1230,,,경상남도 창원시 마산합포구 해운동 46-10,경상남도 창원시 마산합포구 월영동11길 19 (해운동),51746,아몬드관광호텔,2022.7.5 16:00,U,2022.7.7 2:40,,342490.6689,187953.4011,관광숙박업,,일반상업지역,9,기타,,메리츠화재,숙박시설,7,2,50,2804,,,0,0,,0,0,,0,2803.52,,0,,,,,,,200000000,,,,2804,관광호텔업
947,관광숙박업,03_11_01_P,5670000,CDFI2260032018000001,2018.2.14,,1,영업/정상,13,영업중,,,,,055-267-5161,,,경상남도 창원시 성산구 용호동 73-2 라이크빌-1,"경상남도 창원시 성산구 용지로169번길 13, 9층 (용호동, 라이크빌-1)",51436,용지호스텔,2021.7.1 9:37,I,2021.7.2 0:23,,352951.5447,193645.1976,관광숙박업,,,9,,,,,,,30,,,,,,,,,,,924.1,,,,,,,,,,,,,924,호스텔업
948,관광숙박업,03_11_01_P,5670000,CDFI2260032018000002,2018.3.9,,1,영업/정상,13,영업중,,,,,055-265-9595,,,경상남도 창원시 의창구 명서동 208-6 스카이텔,"경상남도 창원시 의창구 우곡로217번길 5, 스카이텔 8층 (명서동)",51388,호텔 스카이,2023.5.2 11:12,U,2023.5.4 2:40,,349964.1429,194624.3613,관광숙박업,,,7,,,,,7,1,34,0,,,0,0,,0,0,,0,1415.77,,0,,,,,,,0,,,,1416,호스텔업
949,관광숙박업,03_11_01_P,5670000,CDFI2260032019000001,2019.2.21,,1,영업/정상,13,영업중,,,,,055-552-4888,,,경상남도 창원시 진해구 제황산동 25-58 아몬드관광호텔,"경상남도 창원시 진해구 진희로23번길 4, 아몬드관광호텔 (제황산동)",51684,아몬드호텔,2021.12.16 11:44,U,2021.12.18 2:40,,352302.6377,184028.7025,관광숙박업,,일반상업지역,10,,,한화손해보험,숙박시설,10,1,44,2522,ALMOND HOTEL,Tourist accommodation(Tourist Hotel),0,0,,0,0,,0,2522.08,,0,,,,,,,0,,,,2522,관광호텔업
950,관광숙박업,03_11_01_P,5670000,CDFI2260031989000001,1989.10.31,,1,영업/정상,13,영업중,,,,,281-1001,,641-845,경상남도 창원시 성산구 중앙동 97-4,경상남도 창원시 성산구 중앙대로 69 (중앙동),51522,(주)호텔인터내셔널,2021.11.23 13:08,U,2021.11.25 2:40,,352635.2056,192674.3591,관광숙박업,관광사업,중심상업지역,12,,,,호텔,8,4,121,27221,"Hotel International Co., Ltd",Tourist Hotel,0,0,,0,0,,0,27221.48,,0,,,,,,,0,,,,27221,관광호텔업
951,관광숙박업,03_11_01_P,5670000,CDFI2260032001000001,2001.10.30,,1,영업/정상,13,영업중,,,,,055-237-1001,,641-847,경상남도 창원시 의창구 팔용동 34-1,경상남도 창원시 의창구 창원대로363번길 22-5 (팔용동),51393,크라운관광호텔(CROWN HOTEL),2023.4.8 8:45,U,2023.4.10 2:40,,349217.7199,194403.5001,관광숙박업,관광사업,일반상업지역,12,,,시설소유관리자배상책임,숙박시설,9,3,72,833,,,0,0,,0,0,,0,7608.37,,0,,,,,,,0,,,,7608,관광호텔업
952,관광숙박업,03_11_01_P,5670000,CDFI2260032002200001,2002.9.27,,1,영업/정상,13,영업중,,,,,055-552-8092,,645-510,경상남도 창원시 진해구 용원동 889,경상남도 창원시 진해구 용원동로221번길 60-7 (용원동),51610,브라운도트관광호텔,2023.1.31 10:40,U,2023.2.2 2:40,,365235.7361,178478.7755,관광숙박업,관광사업,전용주거지역,8,기타,,농협손해보험,호텔,7,1,39,447,BROWN-DOT TOURIST HOTEL,Tourist Accommodations(Tourist Hotel),0,0,,0,0,,0,2529,,0,,,,,,,0,,,,2529,관광호텔업
953,관광숙박업,03_11_01_P,5670000,CDFI2260032004200001,2004.10.12,,1,영업/정상,13,영업중,,,,,055-547-0016,,,경상남도 창원시 진해구 두동 1088-20 유토피아,경상남도 창원시 진해구 진해대로 2116 (두동),51600,비즈관광호텔,2023.7.14 15:12,U,2023.7.16 2:40,,363787.6496,181238.8389,관광숙박업,관광사업,주거지역,6,유흥업소밀집지역,,삼성화재해상보험,호텔,6,0,35,2174,BIZ TOURIST HOTEL(CO.LTD),Tourist Accommodations (Tourist Hotel),0,0,,0,0,,0,2174,,0,,,,,,,190000000,,,,2174,관광호텔업
954,관광숙박업,03_11_01_P,5670000,CDFI2260032005100001,2005.11.4,,1,영업/정상,13,영업중,,,,,055-245-0070,,631-860,경상남도 창원시 마산합포구 오동동 303,경상남도 창원시 마산합포구 수산1길 285 (오동동),51713,(주)마산관광호텔,2022.7.4 9:23,U,2022.7.6 2:40,,344206.3871,190796.484,관광숙박업,관광사업,상업지역,10,유흥업소밀집지역,,,호텔,10,0,42,3146,MASAN TOURIST HOTEL(CO.LTD),TOURIST ACCOMMODATIONS(TOURIST HOTEL),0,0,,0,0,,0,1306.2,,0,,,,,,,100000000,,,,1306,관광호텔업
955,관광숙박업,03_11_01_P,5670000,CDFI2260032005200001,2005.2.28,,1,영업/정상,13,영업중,,,,,055-543-6900,,645-500,경상남도 창원시 진해구 가주동 31-1,경상남도 창원시 진해구 가주로 42 (가주동),51602,호텔 라움,2021.11.22 10:24,U,2021.11.24 2:40,,367734.0519,180543.5285,관광숙박업,관광사업,주거지역,7,기타,,DB손해보험(재난배상책임보험),호텔,6,1,35,0,Hotel Raum,Tourist Accommodations (Tourist Hotel),0,0,,0,0,,0,1875.42,,0,,,,,,,200000000,,,,1875,관광호텔업
956,관광숙박업,03_11_01_P,3510500,CDFI2260032014000001,2014.3.20,,1,영업/정상,13,영업중,,,,,"032-429-8228,8338",,402-201,인천광역시 미추홀구 주안동 86-14번지,인천광역시 미추홀구 주안중로 22-1 (주안동),22140,썬플라워 관광호텔,2017.2.3 16:08,I,2018.8.31 23:59,,171891.6541,439854.2823,관광숙박업,,일반상업지역,,유흥업소밀집지역,,,,10,1,50,3133,,,,,,,,,,3133.03,,,,,,,,,,,,,3133,관광호텔업
957,관광숙박업,03_11_01_P,4810000,CDFI2260032018000030,2018.5.11,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 돌산읍 우두리 755-33,전라남도 여수시 돌산읍 백초길 74,59767,뷰포레스파펜션,2022.12.9 11:31,U,2022.12.11 2:40,,268687.874,137195.3226,관광숙박업,,자연녹지지역,4,기타,,,숙박시설,3,1,,,,,,,,,,,,925.26,,,,,,,,,1797000000,,,,925,호스텔업
958,관광숙박업,03_11_01_P,4810000,CDFI2260032017000026,2017.8.2,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 돌산읍 평사리 1385-14,전라남도 여수시 돌산읍 돌산로 3100,59777,폴라리스 호스텔,2022.8.18 13:26,U,2022.8.20 2:40,,269761.6506,133672.5676,관광숙박업,,자연녹지지역,4,기타,,,숙박시설,4,,16,1393,,,,,,,,,,382.77,,,,,,,,,2300000000,,,,383,호스텔업
959,관광숙박업,03_11_01_P,4810000,CDFI2260032017000027,2017.8.11,,1,영업/정상,13,영업중,,,,,061 666 2875,,,전라남도 여수시 돌산읍 평사리 1274-4번지,전라남도 여수시 돌산읍 무술목길 83,59771,라메르 호스텔,2019.2.7 9:21,U,2019.2.9 2:40,,271423.9665,132719.325,관광숙박업,,자연녹지지역,3,기타,,,숙박시설,3,1,8,668,,,,,,,,,,217.99,,,,,,,,,500000000,,,,218,호스텔업
960,관광숙박업,03_11_01_P,4810000,CDFI2260032017000028,2017.8.11,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 소호동 441-6번지,전라남도 여수시 소호6길 7-9 (소호동),59669,쉼 호스텔,2019.7.4 11:03,U,2019.7.6 2:40,,259417.3287,138136.9829,관광숙박업,,일반주거지역,3,기타,,,숙박시설,3,,6,361,,,,,,,,,,203.7,,,,,,,,,35000000,,,,204,호스텔업
961,관광숙박업,03_11_01_P,4810000,CDFI2260032018000008,2018.4.13,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 공화동 1047-11번지,전라남도 여수시 공화남2길 12 (공화동),59743,꿀잠호텔,2018.8.10 14:24,I,2018.8.31 23:59,,267965.9986,138798.3553,관광숙박업,,일반상업지역,5,학교정화(상대),,,숙박시설,5,,,,,,,,,,,,,1093.49,,,,,,,,,,,,,1093,호스텔업
962,관광숙박업,03_11_01_P,4810000,CDFI2260032018000009,2018.4.23,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 돌산읍 평사리 1404-32번지,전라남도 여수시 돌산읍 돌산로 3155-19,59771,비고리조트 1,2019.10.1 15:42,U,2019.10.3 2:40,,269179.3907,134179.3111,관광숙박업,,자연녹지지역,2,기타,,,숙박시설,2,,,,,,,,,,,,,118.4,,,,,,,,,340000000,,,,118,호스텔업
963,관광숙박업,03_11_01_P,4810000,CDFI2260032018000010,2018.4.23,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 돌산읍 평사리 1404-33번지,전라남도 여수시 돌산읍 돌산로 3155-18,59771,비고리조트 2,2019.10.1 15:42,U,2019.10.3 2:40,,269176.1507,134161.7348,관광숙박업,,자연녹지지역,2,기타,,,숙박시설,2,,,,,,,,,,,,,118.4,,,,,,,,,340000000,,,,118,호스텔업
