"기관ID","주소","병원분류","병원분류명","응급의료기관코드","응급의료기관코드명","응급실운영여부","비고","기관설명상세","간이약도","기관명","대표전화1","응급실전화","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업시간"
"A1100016","서울특별시 노원구 동일로 1342 상계백병원 (상계동)","A","종합병원","G006","지역응급의료센터","1","산부인과 진료시간 기준 산부인과 응급진료 및 분만은 24시간 가능합니다.","안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료 약침 추나치료를 위주로 하고있으며  그외 여성질환 자동차보험치료 피부질환치료 산후관리 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani","중계역 1번 출구","인제대학교상계백병원","02-950-1114","02-950-1119","1700","1700","1700","1700","1700","1200","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","017","57","127.06311619032102","37.6485812672986","2022-07-07 14:55:30.0"
"A1100033","서울특별시 중구 마른내로 9 (저동2가)","A","종합병원","G007","지역응급의료기관","1","산부인과 진료시간 기준 산부인과 응급진료 및 분만은 24시간 가능합니다.","안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료 약침 추나치료를 위주로 하고있으며  그외 여성질환 자동차보험치료 피부질환치료 산후관리 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani","을지로3가역 12번 출구","인제대학교서울백병원","02-2270-0114","02-2270-0119","1700","1700","1700","1700","1700","1200","1300","1300","0830","0830","0830","0830","0830","0830","0900","0900","045","51","126.98884533055192","37.5650731684839","2022-07-07 14:55:30.0"
"A1122381","서울특별시 성동구 왕십리로 382 (하왕십리동)","B","병원","G009","응급실운영신고기관","1","건강검진 평일 8:00 ~ 17:00","24째 토요일 휴진/","내방역 7번 출구 인근","재단법인베스티안재단베스티안서울병원","02-3452-7575","02-6211-7965","1800","1800","1800","1800","1800","1300","1500","1500","0900","0900","0900","0900","0900","0900","0900","0900","047","01","127.028019796271","37.5651102845783","2022-07-07 14:55:31.0"
"A1100018","서울특별시 강남구 도곡로 429 (대치동 베스티안병원 2층일부 제외)","A","종합병원","G009","응급실운영신고기관","1","지역응급의료기관 취소(자진반납 2018.06.01.)","보건복지부지정 화상질환 전문병원 및 종합병원 - 응급실에서는 화상진료 및 드레싱위주로 진료합니다. 내과는 진료가능여부 확인 후 방문해주세요","한티역 2번출구","재단법인베스티안재단베스티안서울병원","02-3452-7575","070-7609-9902","1800","1800","1800","1800","1800","1300","1500","1500","0900","0900","0900","0900","0900","0900","0900","0900","062","08","127.05726710883552","37.49807126965969","2020-12-07 14:53:31.0"
"A1100009","서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동)","A","종합병원","G006","지역응급의료센터","1","공휴일은 응급진료만 가능 토요일 성형외과","24째 토요일 휴진/","잠실나루역 셔틀버스","재단법인아산사회복지재단서울아산병원","02-3010-3114","02-3010-3333","1700","1700","1700","1700","1700","1130","1500","1500","0900","0900","0900","0900","0900","0900","0900","0900","055","05","127.10823825113607","37.526563966361216","2022-07-07 14:55:31.0"
"A1100003","서울특별시 동작구 흑석로 102 (흑석동)","A","종합병원","G006","지역응급의료센터","1","목요일 진료 없음","점심시간 1~2시 공휴일은 전화 확인 후 방문","지하철 9호선 흑석역 4번 출구에서 도보 3분","중앙대학교병원","18001114","02-6299-1338","1630","1630","1630","1630","1630","1200","1500","1600","0830","0830","0830","0830","0830","0830","0900","0900","069","73","126.96079378447554","37.50707428493414","2022-07-07 14:55:32.0"
"A1100057","서울특별시 강남구 논현로 566 강남차병원(역삼동650-9 606-4 605외2필지(지하7층~지하1층 지상2층~7층)) (역삼동)","A","종합병원","G009","응급실운영신고기관","1","점심시간 13:00~14:00","점심시간 12:30~13:30 / 산부인과 토요일 오후진료 13:30~13:30(환자접수 13:30~16:00) - 산부인과만 응급실 초진가능하며 내과소아과는 약처방만 가능합니다.","언주역 5 6번 출구","차의과학대학교강남차병원","02-3468-3000","02-3468-3060","1730","1730","1730","1730","1730","1230","1300","1700","0900","0900","0900","0900","0900","0900","0900","0900","061","35","127.03466865188072","37.506800025850865","2022-07-07 14:55:32.0"
"A1100012","서울특별시 서초구 반포대로 222 (반포동)","A","종합병원","G006","지역응급의료센터","1","접수마감 끝나기 30분전","예약제로 운영하며 검진전문/일반진료안함 진료시간은 검진 종료시간임","고속터미널역 3번 출구","학교법인가톨릭학원가톨릭대학교서울성모병원","1588-1511","02-2258-2002","1700","1700","1700","1700","1700","1200","1300","1300","0800","0800","0800","0800","0800","0800","0900","0900","065","91","127.00472725970137","37.501800804785276","2022-07-07 14:55:35.0"
"A1100163","서울특별시 영등포구 영등포로 83 한강수병원 (양평동1가)","B","병원","G009","응급실운영신고기관","1","응급실 야간진료시간 평일 야간 19:00~22:00/ 토요일 야간 14:00~22:00/ 일요일 & 공휴일 09:00~22:00 위 진료시간 변동될 수 있으므로 내원시 1800-7119로 연락주시기 바랍니다.","주간/ 야간/ 휴일에 성형외과 전문의가 항시 상주합니다.  응급실 주간/야간/휴일 진료분야는 화상(30~40% 이하 및 넓은 범위는 별도협의) 외상 안면부 골절 타박상 및 염좌(교통사고/ 산재사고 등) 입니다.","양남사거리 인근","한강수병원","02-1800-7119","02-2063-8413","1800","1800","1800","1800","1800","1300","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","072","62","126.89091283086371","37.522405143743","2022-07-07 14:55:35.0"
"A1100053","서울특별시 강동구 진황도로61길 53 (둔촌동)","A","종합병원","G006","지역응급의료센터","1","외래진료없이 입원상담만 진행함","한국공항공사 서울지역본부 구조소방센터 입니다.","9호선 중앙보훈병원역 2번 출구","한국보훈복지의료공단중앙보훈병원","02-2225-1111","02-2225-1100","1730","1730","1730","1730","1730","1100","1100","1300","0900","0900","0900","0900","0900","0730","0730","0900","053","68","127.14671886173552","37.528220900896635","2022-07-07 14:55:35.0"
"A1100027","서울특별시 노원구 노원로 75 한국원자력의학원 (공릉동)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","일반인진료불가","공릉역 2번 출구 도보 10분","한국원자력의학원원자력병원","02-970-2114","02-970-2620","1730","1730","1730","1730","1730","1300","1100","1300","0900","0900","0900","0900","0900","0900","0730","0900","018","12","127.08269315796588","37.628815981330355","2022-07-07 14:55:35.0"
"A1100055","서울특별시 영등포구 신길로 1 (대림동 강남성심병원)","A","종합병원","G006","지역응급의료센터","1","수요일 휴진","점심 12:30~13:30","대림삼거리 인근","한림대학교강남성심병원","02-829-5114","02-829-5119","1630","1630","1630","1630","1630","1200","1500","1500","0830","0830","0830","0830","0830","0830","1000","1000","074","41","126.9086725295","37.4932492859","2022-07-07 14:55:35.0"
"A1100038","서울특별시 영등포구 버드나루로7길 12 (영등포동7가 한강성심병원)","A","종합병원","G009","응급실운영신고기관","1","진료과에따라 상이함(연락 후 내원 바람)","점심 12:30~13:30","서울특별시 영등포구 버드나루로7길 12 (영등포동 7가 94-200)","한림대학교한강성심병원","02-2639-5114","02-2639-5555","1630","1630","1630","1630","1630","1200","1500","1500","0900","0900","0900","0900","0900","0830","1000","1000","072","47","126.91033000120589","37.52346674579277","2022-07-07 14:55:35.0"
"A1100013","서울특별시 성동구 왕십리로 222-1 (사근동)","A","종합병원","G001","권역응급의료센터","1","점심시간: 13시~14시","관절염/류마티스 전문/","한양대역 1번 출구","한양대학교병원","02-2290-8114","02-2290-8284","1800","1800","1800","1800","1800","1230","1300","1300","0900","0900","0900","0900","0900","0900","0930","0900","047","63","127.04488284061982","37.559944533564746","2022-07-07 14:55:35.0"
"A1100051","서울특별시 광진구 자양로 85 (자양동)","A","종합병원","G007","지역응급의료기관","1","점심시간 13:00~14:00","24시간 전문의 진료가 가능한 서울 동북부 지역 거점병원입니다.","2호선 구의역 4번출구 직진방향 5분 거리","혜민병원","02-2049-9000","02-2049-9119","1730","1700","1700","1700","1700","1230","1300","1300","0830","0830","0830","0830","0830","0830","0900","0900","050","56","127.08360130258502","37.535315660180416","2022-07-07 14:55:36.0"
"A1100019","서울특별시 양천구 목동로 225 홍익병원본관 (신정동)","A","종합병원","G007","지역응급의료기관","1","평일 30분전 접수마감 토요일 13시 접수마감","후두내시경O/수액처치O","목동역 2번 출구","홍익병원","02-2693-5555","02-2600-0777","1800","1700","1700","1700","1700","1300","1500","1300","0900","0900","0900","0900","0900","0900","1000","1000","079","37","126.8636640030062","37.52844147447355","2022-07-07 14:55:36.0"
"A1100049","서울특별시 금천구 시흥대로 244 (시흥동)","A","종합병원","G007","지역응급의료기관","1","점심시간 12:00-13:00","24째 토요일휴진","금천구청역 1번 출구","희명병원","02-804-0002","02-809-0122","1730","1730","1730","1730","1730","1230","1700","1400","0830","0830","0830","0830","0830","0830","1000","1000","086","26","126.90056251863875","37.45567063464179","2022-07-07 14:55:37.0"
