번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),법인구분명,구분명
356,무료직업소개소,11_50_01_P,4020000,2.0074E+18,2007.4.27,,1,영업/정상,20,영업중,,,,,,,,경기도 군포시 당동 784번지 9호,"경기도 군포시 군포로 508, 203호 (당동)",15855,친친청소년무료직업소개소,2020.5.18 15:17,U,2020.5.20 2:40,,195066.3971,427723.535,법인,무료
357,무료직업소개소,11_50_01_P,4020000,2.0164E+18,2016.1.25,,1,영업/정상,20,영업중,,,,,031427 8157,,,,"경기도 군포시 대야1로 8, 305호 (대야미동, 대성프라자)",15887,군포건설취업알선센터,2020.9.11 9:59,U,2020.9.13 2:40,,192704.6442,425003.9439,개인,무료
358,무료직업소개소,11_50_01_P,3210000,2.01032E+18,2010.1.28,,1,영업/정상,20,영업중,,,,,02  20550909,,,서울특별시 서초구 서초동 380번지,서울특별시 서초구 남부순환로340길 15 (서초동),137-070,(사)서울가톨릭사회복지회 한우리정보문화센터,2023.7.31 14:43,U,2023.8.2 2:40,,202129.9289,442217.1562,법인,무료
359,무료직업소개소,11_50_01_P,3210000,2.01032E+18,2010.3.26,,1,영업/정상,20,영업중,,,,,02  747 9121,,137-824,서울특별시 서초구 방배동 537번지 33호 지하,"서울특별시 서초구 효령로14다길 13 (방배동, 지하)",137-824,한국정신문화공동체,2014.12.21 15:13,I,2018.8.31 23:59,,199151.5867,441792.4578,개인,무료
360,무료직업소개소,11_50_01_P,3210000,2.01032E+18,2010.9.3,,1,영업/정상,20,영업중,,,,,02  578 5706,,,양재동 145번지 5호 IT직업전문학교 601호,"서울특별시 서초구 바우뫼로 87, 6층 (양재동, IT직업전문학교)",137-131,(재)한국아이티교육재단,2023.6.9 11:09,U,2023.6.11 2:40,,202664.681,441331.8074,법인,무료
361,무료직업소개소,11_50_01_P,3010000,1.9973E+18,2012.2.24,,1,영업/정상,20,영업중,,,,,02  951 0187,,139-242,서울특별시 노원구 공릉2동 408번지 4호,서울특별시 노원구 공릉로 187 (공릉동),,(사)한국YWCA연합회후원회  서울YWCA노원여성인력개발센터,2013.1.18 18:16,I,2018.8.31 23:59,,206895.2055,458235.6224,법인,무료
362,무료직업소개소,11_50_01_P,3010000,2.0033E+18,2003.1.8,,1,영업/정상,20,영업중,,,,,,,,경기도 이천시 마장면 관리 1108호 1통,경기도 이천시 마장면 마도로223번길 219-16,,동작구지회,2004.3.16 10:29,I,2018.8.31 23:59,,230350.7225,418791.6393,법인,무료
363,무료직업소개소,11_50_01_P,3210000,2.01832E+18,2017.10.11,,1,영업/정상,20,영업중,,,,,02  324 7324,,,서울특별시 서초구 서초동 1718번지 6호,"서울특별시 서초구 서초대로 251, 401호 (서초동)",6595,사단법인 해피맘,2020.9.22 16:27,U,2020.9.24 2:40,,200744.7972,443379.0746,법인,무료
364,무료직업소개소,11_50_01_P,3010000,2.0033E+18,2015.4.7,,1,영업/정상,20,영업중,,,,,02  796 8737,,140-012,서울특별시 용산구 한강로2가 93번지 5호,서울특별시 용산구 한강대로48길 3 (한강로2가),140-012,(사)한국외식업중앙회 용산구지회,2015.4.7 13:45,I,2018.8.31 23:59,,197358.978,447732.6607,법인,무료
365,무료직업소개소,11_50_01_P,4640000,2.01946E+18,2019.8.2,,1,영업/정상,20,영업중,,,,,063 253 1007,,,,"전라북도 전주시 완산구 소태정5길 18-5, 1층 (효자동2가)",55065,사단법인 예람,2020.2.13 17:38,U,2020.2.15 2:40,,208789.4794,256037.6026,법인,무료
366,무료직업소개소,11_50_01_P,3070000,2.01931E+18,2019.10.14,,1,영업/정상,20,영업중,,,,,02  21359968,,,,"서울특별시 성북구 안암로 79, 대한노인회성북구지회 (안암동5가)",2856,성북시니어클럽,2022.9.6 8:08,U,2022.9.8 2:40,,202562.1107,453442.7543,법인,무료
367,무료직업소개소,11_50_01_P,3150000,2.01932E+18,2019.10.10,,1,영업/정상,20,영업중,,,,,,,,,"서울특별시 강서구 방화동로 124-1, 4층 (방화동)",7604,서울강서시니어클럽,2022.3.4 13:52,U,2022.3.6 2:40,,183338.1395,452154.9532,법인,무료
368,무료직업소개소,11_50_01_P,4400000,2.01944E+18,2019.12.20,,1,영업/정상,20,영업중,,,,,043 6443905,,,,"충청북도 제천시 숭의로 48, 제천시여성회관 1층 (화산동)",27184,제천여성새로일하기센터,2023.7.6 17:45,U,2023.7.8 2:40,,307522.1809,403925.2086,법인,무료
369,무료직업소개소,11_50_01_P,4440000,2.01544E+18,2019.12.19,,1,영업/정상,20,영업중,,,,,,,,충청북도 영동군 영동읍 부용리 388번지 1호,"충청북도 영동군 영동읍 성안길 8, (여성회관 3층)",29149,(사)레인보우영동개발원 영동여성새로일하기센터,2022.9.13 10:50,U,2022.9.15 2:40,,269327.5669,297579.0405,법인,무료
370,무료직업소개소,11_50_01_P,4390000,2.01944E+18,2019.12.20,,1,영업/정상,20,영업중,,,,,043 855 7400,,,,"충청북도 충주시 예성로 208, 교현안림동주민센터 (교현동)",27384,충주시니어클럽,2019.12.20 16:03,I,2019.12.22 0:23,,,,법인,무료
371,무료직업소개소,11_50_01_P,3290000,2.01933E+18,2013.2.13,,1,영업/정상,20,영업중,,,,,051 600 1786,,,부산광역시 연제구 연산동 702-1 프라임시티,"부산광역시 연제구 중앙대로 1090, 프라임시티 (연산동)",47596,(재)부산경제진흥원 부산청년일자리센터,2022.5.31 15:11,U,2022.6.2 2:40,,389488.7068,189270.7765,법인,무료
372,무료직업소개소,11_50_01_P,4070000,2.01941E+18,2019.10.25,,1,영업/정상,20,영업중,,,,,316333961,,,,"경기도 이천시 이섭대천로 1119, 이천상공회의소 (증일동)",17380,이천상공회의소,2023.1.12 9:27,U,2023.5.26 8:48,,239435.0073,418803.1854,법인,무료
373,무료직업소개소,11_50_01_P,5690000,2.01957E+18,2019.11.15,,1,영업/정상,20,영업중,,,,,044 863 7305,,,세종특별자치시 집현동 726 지식산업센터 B동 901~2호,"세종특별자치시 집현중앙7로 6, 지식산업센터 B동 901, 902호 (집현동)",30141,사단법인 한국문화산업협회,2023.6.21 16:09,U,2023.6.23 2:40,,229603.6584,333091.5431,법인,무료
374,무료직업소개소,11_50_01_P,4670000,2.01947E+18,2019.11.29,,1,영업/정상,20,영업중,,,,,063  4424599,,,,"전라북도 군산시 둔배미길 6-2, 희망의쉼터 (미원동)",54028,사회복지법인 규란복지재단 희망의쉼터,2019.11.29 14:15,I,2019.12.1 0:23,,174184.1824,275663.4316,법인,무료
375,무료직업소개소,11_50_01_P,3360000,2.01934E+18,2019.11.8,,1,영업/정상,20,영업중,,,,,051 7118800,,,,부산광역시 강서구 대저로273번길 32 (대저1동),46702,(사)부산밥퍼나눔공동체,2019.11.8 8:58,I,2019.11.10 0:23,,380455.8552,192334.7654,법인,무료
376,무료직업소개소,11_50_01_P,3780000,2.01938E+18,2019.11.19,,1,영업/정상,20,영업중,,,,,031 782 3000,,,,"경기도 성남시 분당구 성남대로331번길 8, 킨스타워 7층층 (정자동)",13558,재단법인 성남산업진흥원,2020.2.10 10:25,U,2020.2.12 2:40,,209375.866,429348.1493,법인,무료
377,무료직업소개소,11_50_01_P,3680000,2.01937E+18,2019.12.18,,1,영업/정상,20,영업중,,,,,070 78426070,,,대전광역시 대덕구 오정동 464-5,"대전광역시 대덕구 대전로1032번길 51, 3층 (오정동)",34435,참살이사회적협동조합,2023.2.14 11:11,U,2023.2.16 2:40,,237583.7967,316530.4286,법인,무료
378,무료직업소개소,11_50_01_P,3670000,2.01937E+18,2019.11.20,,1,영업/정상,20,영업중,,,,,,,,,"대전광역시 유성구 가정북로 104, 대전중소기업청 214동 1호 (장동)",34111,중소기업기술혁신협회 대전세종충남지회,2023.6.8 14:09,U,2023.6.10 2:40,,232183.1788,321389.751,법인,무료
379,무료직업소개소,11_50_01_P,3450000,2.01935E+18,2019.11.27,,1,영업/정상,20,영업중,,,,,533414321,,,,"대구광역시 북구 옥산로7길 3-1, 1층 (노원동1가)",41589,대구북구시니어클럽,2023.5.18 10:15,U,2023.5.26 8:48,,342619.2107,266252.7071,개인,무료
380,무료직업소개소,11_50_01_P,4390000,2.02044E+18,2020.1.2,,1,영업/정상,20,영업중,,,,,043 846 3906,,,,"충청북도 충주시 탄금대안길 33, 충주문화원 (칠금동)",27440,충주문화원,2020.1.2 14:49,I,2020.1.4 0:23,,279988.4092,387743.1398,법인,무료
381,무료직업소개소,11_50_01_P,4390000,2.02044E+18,2020.1.2,,1,영업/정상,20,영업중,,,,,043 724 3345,,,,"충청북도 충주시 신촌8길 1, 남부노인복지관 (지현동)",27416,충주시노인복지관,2020.12.16 14:54,U,2020.12.18 2:40,,,,법인,무료
382,무료직업소개소,11_50_01_P,6520000,2.02265E+18,2022.2.17,,1,영업/정상,20,영업중,,,,,647620729,,,,"제주특별자치도 서귀포시 칠십리로72번길 9, 서귀포시 장애인복지회관 5층 (서귀동)",63596,고치글라,2022.2.17 14:42,I,2022.2.19 0:22,,159347.9337,-28392.02783,법인,무료
383,무료직업소개소,11_50_01_P,4540000,2.02245E+18,2022.4.5,,1,영업/정상,20,영업중,,,,,417341010,,,,충청남도 논산시 부적면 계백로1546번길 38,32917,논산시사람꽃복지관,2022.4.5 10:59,I,2022.4.7 0:22,,213284.2769,300954.7299,법인,무료
384,무료직업소개소,11_50_01_P,5690000,2.02257E+18,2022.3.29,,1,영업/정상,20,영업중,,,,,,,,,"세종특별자치시 한누리대로 2129, 스타힐타워Ⅱ 2동 3층 309호 (보람동)",30150,케어믹스 사회적협동조합,2022.3.29 17:45,I,2022.3.31 0:22,,225892.3272,330884.2083,법인,무료
385,무료직업소개소,11_50_01_P,4050000,2.02256E+18,2022.4.5,,1,영업/정상,20,영업중,,,,,,,,,"경기도 용인시 처인구 중부대로 1428, 2층 (김량장동)",17062,한국장애인체육지원센터,2023.5.11 10:32,U,2023.5.26 8:48,,217941.7733,414540.5309,법인,무료
386,무료직업소개소,11_50_01_P,3220000,2.02232E+18,2022.3.29,,1,영업/정상,20,영업중,,,,,02  62404803,,,서울특별시 강남구 삼성동 142-26,서울특별시 강남구 테헤란로69길 5(삼성동),6160,한국표준협회,2022.6.3 14:45,U,2022.6.5 2:40,,204562.8575,444890.0194,법인,무료
387,무료직업소개소,11_50_01_P,4520000,2.02245E+18,2022.1.28,,1,영업/정상,20,영업중,,,,,415326644,,,충청남도 아산시 풍기동 211-9,"충청남도 아산시 온천대로 1626-4, 제일동 1층 103호 (풍기동)",31526,(사)50플러스충남,2023.3.29 14:21,U,2023.4.1 2:40,,200946.7223,366467.2852,법인,무료
388,무료직업소개소,11_50_01_P,3160000,2.02232E+18,2022.2.8,,1,영업/정상,20,영업중,,,,,7043276099,,,,"서울특별시 구로구 디지털로33길 11, 에이스테크노타워8차 910호 (구로동)",8380,사단법인 한국창직협회,2022.11.28 7:36,U,2022.11.30 2:40,,190688.7475,442618.7857,법인,무료
389,무료직업소개소,11_50_01_P,3540000,2.02235E+18,2021.4.16,,1,영업/정상,20,영업중,,,,,,,,인천광역시 부평구 부평동 378-4,"인천광역시 부평구 부흥로 337, 5층 (부평동)",21360,고용과미래 사회적협동조합,2023.1.10 17:37,U,2023.1.12 2:40,,176011.6782,444065.3299,법인,무료
390,무료직업소개소,11_50_01_P,3630000,2.02336E+18,2023.2.1,,1,영업/정상,20,영업중,,,,,,,,,광주광역시 광산구 사암로92번길 119-2(우산동),62374,사단법인 참,2023.2.7 14:23,U,2023.5.26 8:48,,182980.5371,183724.0616,법인,무료
391,무료직업소개소,11_50_01_P,3530000,2.02235E+18,2022.2.9,,1,영업/정상,20,영업중,,,,,032 719 8008,,,,"인천광역시 남동구 소래로 634, 민속빌딩 4층 (만수동)",21594,사단법인 장애인자립선언 부설 누리장애인자립생활센터,2022.2.9 8:58,I,2022.2.11 0:22,,176314.8243,438261.7092,법인,무료
392,무료직업소개소,11_50_01_P,3270000,2.02233E+18,2022.2.9,,1,영업/정상,20,영업중,,,,,514651942,,,부산광역시 동구 초량동 1203-2,"부산광역시 동구 중앙대로196번길 12-3, 3층 (초량동)",48821,부산광역시 장애인일자리통합지원센터,2023.1.10 13:09,U,2023.1.12 2:40,,385975.0035,181329.8052,법인,무료
393,무료직업소개소,11_50_01_P,3530000,2.02235E+18,2022.3.17,,1,영업/정상,20,영업중,,,,,322676080,,,,"인천광역시 남동구 문화서로62번길 13, 남동구노인복지관 1층 (구월동)",21559,남동시니어클럽,2022.10.28 9:13,U,2022.10.30 2:40,,173142.5405,438793.2434,법인,무료
394,무료직업소개소,11_50_01_P,3160000,2.02232E+18,2022.3.25,,1,영업/정상,20,영업중,,,,,,,,,"서울특별시 구로구 디지털로 271, 벽산디지털밸리Ⅲ 1001호 (구로동)",8381,구로조은장애인자립생활센터,2022.11.28 7:34,U,2022.11.30 2:40,,190528.4501,442352.7704,법인,무료
395,무료직업소개소,11_50_01_P,3270000,2.02233E+18,2022.2.16,,1,영업/정상,20,영업중,,,,,,,,,"부산광역시 동구 중앙대로196번길 12-3, (초량동, 부산장애인종합회관 부산광역시 장애인일자리지원센터) 3층 (초량동)",48821,부산광역시 장애인일자리지원센터,2022.2.16 11:03,I,2022.2.18 0:22,,,,법인,무료
396,무료직업소개소,11_50_01_P,3040000,2.0223E+18,2022.3.30,,1,영업/정상,20,영업중,,,,,,,,서울특별시 광진구 군자동 463-8,"서울특별시 광진구 천호대로102길 4, 5층 (군자동)",4994,국제한류대중문화교류협회,2022.11.25 16:08,U,2022.11.27 2:40,,206470.7928,450732.2173,법인,무료
397,무료직업소개소,11_50_01_P,6510000,2.02265E+18,2022.3.2,,1,영업/정상,20,영업중,,,,,,,,,제주특별자치도 제주시 서문로4길 13(용담일동),63154,아름다운 노후(시니어아름),2022.3.2 11:11,I,2022.3.4 0:22,,155104.5969,1731.510067,법인,무료
398,무료직업소개소,11_50_01_P,3090000,2.02231E+18,2022.3.7,,1,영업/정상,20,영업중,,,,,29978254,,,,"서울특별시 도봉구 도봉로 499, 3층 (쌍문동)",1442,삶터사회적협동조합(위드잡북부지사),2022.9.14 9:39,U,2022.9.16 2:40,,203044.803,460873.2212,법인,무료
399,무료직업소개소,11_50_01_P,3630000,2.02236E+18,2022.2.28,,1,영업/정상,20,영업중,,,,,629742513,,,,"광주광역시 광산구 첨단중앙로124번길 54, 4층 (월계동)",62276,사단법인스스로나눔복지,2022.2.28 14:15,I,2022.3.2 0:22,,185837.128,190795.4062,법인,무료
400,무료직업소개소,11_50_01_P,3020000,2.0223E+18,2015.3.20,,1,영업/정상,20,영업중,,,,,02  702 4048,,,서울특별시 용산구 한강로3가 40-427 한국여성단체협의회,"서울특별시 용산구 한강대로21길 25, 한국여성단체협의회 502호 (한강로3가)",4379,(사)한국비서사무협회,2022.2.21 17:16,U,2022.2.23 2:40,,196722.2095,447202.4575,법인,무료
401,무료직업소개소,11_50_01_P,4070000,2.02241E+18,2022.3.4,,1,영업/정상,20,영업중,,,,,316332034,,,,경기도 이천시 영창로163번길 28(창전동),17365,이천시니어클럽,2023.2.24 17:02,U,2023.5.26 8:48,,239036.5796,420242.6557,법인,무료
402,무료직업소개소,11_50_01_P,4690000,2.02247E+18,2022.3.4,,1,영업/정상,20,영업중,,,,,063 535 5101,,,,전라북도 정읍시 충정로 203-2(장명동),56165,정읍시니어클럽,2022.3.4 9:55,I,2022.3.6 0:22,,187085.8682,229773.8224,법인,무료
403,무료직업소개소,11_50_01_P,4730000,2.02247E+18,2022.3.28,,1,영업/정상,20,영업중,,,,,,,,,"전라북도 전주시 완산구 전주천서로 267, 전주기전대학 (중화산동1가)",54989,진안군 일자리센터,2022.3.28 15:36,I,2022.3.30 0:22,,212172.9115,257499.2474,법인,무료
404,무료직업소개소,11_50_01_P,4640000,2.02346E+18,2023.6.5,,1,영업/정상,20,영업중,,,,,632130912,,,,"전라북도 전주시 덕진구 원만성로 106, 한국탄소산업진흥원 (팔복동2가)",54853,(사)전주시중소기업인연합회,2023.6.5 13:57,I,2023.6.8 0:19,,208015.0251,261939.4842,법인,무료
405,무료직업소개소,11_50_01_P,4291000,2.01743E+18,2017.4.28,,1,영업/정상,20,영업중,,,,,335622577,,,,강원특별자치도 정선군 정선읍 봉양7길 16,26130,대한노인회 정선군지부,2023.3.21 9:05,I,2023.6.13 0:00,,347359.6994,431968.3225,법인,무료
406,무료직업소개소,11_50_01_P,4291000,2.01943E+18,2019.12.18,,1,영업/정상,20,영업중,,,,,335620325,,,강원특별자치도 정선군 정선읍 봉양리 144번지 5호,"강원특별자치도 정선군 정선읍 봉양7길 16, 정선종합사회복지회관 별관 1층",26130,정선시니어클럽,2021.4.7 15:10,I,2023.6.13 0:00,,347359.6994,431968.3225,법인,무료
407,무료직업소개소,11_50_01_P,4211000,1.99442E+18,1994.4.1,,1,영업/정상,20,영업중,,,,,5313007,,,강원특별자치도 동해시 발한동 216-15 동해 YWCA,"강원특별자치도 동해시 발한로 182, 동해 YWCA 1층 (발한동)",25725,동해YWCA무료직업소개소,2023.3.22 11:15,I,2023.6.13 0:00,,386093.8918,451485.0575,법인,무료
408,무료직업소개소,11_50_01_P,4211000,2.01742E+18,2017.1.11,,1,영업/정상,20,영업중,,,,,033 532 8848,,,,"강원특별자치도 동해시 천곡로 6, 2층 (천곡동, 대한노인회동해시지부)",25764,대한노인회 동해시지회,2022.4.18 14:00,I,2023.6.13 0:00,,386110.2021,449097.6426,법인,무료
409,무료직업소개소,11_50_01_P,4211000,2.02042E+18,2020.2.14,,1,영업/정상,20,영업중,,,,,,,,,"강원특별자치도 동해시 중앙로 152, 태영 201호 (천곡동)",25777,동해시니어클럽,2021.3.23 8:54,I,2023.6.13 0:00,,387279.5745,447985.5402,법인,무료
410,무료직업소개소,11_50_01_P,4221000,2.00642E+18,2006.9.15,,1,영업/정상,20,영업중,,,,,335525881,,,강원특별자치도 태백시 소도동 19호 9통 6반 한솔아파트 2 210,"강원특별자치도 태백시 소도1길 71, 2동 210호 (소도동,한솔아파트)",,진폐재해인 무료직업소개소,2010.2.5 17:44,I,2023.6.13 0:00,,375449.03,405722.549,법인,무료
411,무료직업소개소,11_50_01_P,4221000,2.01342E+18,2013.9.26,,1,영업/정상,20,영업중,,,,,335541248,,,,강원특별자치도 태백시 광장로 45 (황지동),235-801,(사)대한노인회 태백시지회,2022.8.3 9:10,I,2023.6.13 0:00,,376465.1428,410489.1138,법인,무료
412,무료직업소개소,11_50_01_P,4221000,2.02242E+18,2022.12.20,,1,영업/정상,20,영업중,,,,,335817733,,,,"강원특별자치도 태백시 태백로 1565, 태백시니어클럽 (문곡동)",26044,태백시니어클럽,2022.12.20 15:36,I,2023.6.13 0:00,,377980.2988,404775.724,법인,무료
413,무료직업소개소,11_50_01_P,4251000,2.01743E+18,2017.3.21,,1,영업/정상,20,영업중,,,,,334330662,,,,강원특별자치도 홍천읍 희망로4길 10,25134,대한노인회홍천군지회,2021.1.19 9:14,I,2023.6.13 0:00,,278002.1609,465947.3266,법인,무료
414,무료직업소개소,11_50_01_P,3730000,2.02337E+18,2023.6.8,,1,영업/정상,20,영업중,,,,,,,,울산광역시 울주군 청량읍 상남리 528-12,"울산광역시 울주군 청량읍 덕하로 272, 3층",44984,울산사회서비스정보센터,2023.6.8 9:38,I,2023.6.10 0:19,,409185.2154,224143.3071,법인,무료
415,무료직업소개소,11_50_01_P,3470000,2.02335E+18,2023.6.8,,1,영업/정상,20,영업중,,,,,535816160,,,,"대구광역시 달서구 용산로 230, 401호 (용산동)",42627,밀알 무료직업소개소,2023.6.8 13:25,I,2023.6.10 0:19,,338203.4053,263062.8651,법인,무료
416,무료직업소개소,11_50_01_P,4201000,2.01242E+18,2012.6.8,,1,영업/정상,20,영업중,,,,,033 643 4411,,210-922,강원특별자치도 강릉시 교2동 349번지 2호,강원특별자치도 강릉시 종합운동장길 88 (교동),210-922,강릉상공회의소,2018.12.18 8:33,I,2023.6.13 0:00,,367021.0738,475991.5773,법인,무료
417,무료직업소개소,11_50_01_P,4201000,2.01342E+18,2013.8.19,,1,영업/정상,20,영업중,,,,,033 652 9070,,,강원특별자치도 강릉시 병산동 337번지 3호,강원특별자치도 강릉시 공항길 19 (병산동),210-290,강릉시니어클럽,2020.7.9 16:26,I,2023.6.13 0:00,,370749.6982,475101.78,법인,무료
418,무료직업소개소,11_50_01_P,4201000,2.01342E+18,2013.9.3,,1,영업/정상,20,영업중,,,,,033 641 6085,,,강원특별자치도 강릉시 홍제동 96번지 54호,강원특별자치도 강릉시 경강로 1956 (홍제동),210-948,대한노인회 강릉시지회,2020.7.9 16:25,I,2023.6.13 0:00,,365979.8306,473358.9734,법인,무료
419,무료직업소개소,11_50_01_P,4201000,2.02342E+18,2023.1.18,,1,영업/정상,20,영업중,,,,,,,,,"강원특별자치도 강릉시 성덕포남로 183, 4층 (포남동)",25545,강릉시 지적발달자립지원센터,2023.1.18 15:48,I,2023.6.13 0:00,,368101.1748,475649.5925,법인,무료
420,무료직업소개소,11_50_01_P,3130000,2.02331E+18,2023.6.9,,1,영업/정상,20,영업중,,,,,232801138,,,,"서울특별시 마포구 백범로 130, 5층 (염리동)",4149,(사)국민재난안전총연합회,2023.6.9 13:43,I,2023.6.11 0:19,,195080.453,449320.3046,법인,무료
421,무료직업소개소,11_50_01_P,3320000,2.00933E+18,2009.2.6,,1,영업/정상,20,영업중,,,,,051 337 5959,,,부산광역시 북구 구포3동 1255번지 2호,부산광역시 북구 시랑로114번길 45 (구포동),,실버벨노인종합복지관,2022.9.22 10:05,U,2022.9.24 2:40,,382865.8971,190186.8278,법인,무료
422,무료직업소개소,11_50_01_P,3300000,2.00733E+18,2007.3.7,,1,영업/정상,20,영업중,,,,,051 503 7268,,,,부산광역시 동래구 충렬대로126번길 5 (온천동),607-836,부산동래여성인력개발센터 직업소개소,2020.10.27 9:42,U,2020.10.29 2:40,,388838.7592,191576.5852,법인,무료
423,무료직업소개소,11_50_01_P,3380000,2.01734E+18,2017.12.19,,1,영업/정상,20,영업중,,,,,051 622 1987,,,,"부산광역시 수영구 수영로540번길 8, 2층 (광안동)",48300,대한노인회 수영구지회 취업지원센터,2021.2.8 17:30,U,2021.2.10 2:40,,392435.056,185884.6229,법인,무료
424,무료직업소개소,11_50_01_P,3260000,2.01133E+18,2011.2.11,,1,영업/정상,20,영업중,,,,,051 244 6700,,,부산광역시 서구 서대신동3가 360-1,부산광역시 서구 대영로45번길 80(서대신동3가),49226,사회복지법인 내원 부산서구시니어클럽,2022.12.8 11:09,U,2022.12.10 2:40,,383611.6227,181170.4243,법인,무료
425,무료직업소개소,11_50_01_P,3330000,2.01233E+18,2012.12.14,,1,영업/정상,20,영업중,,,,,051 790 1040,,,부산광역시 해운대구 우동 1457번지 부산디자인센터 307호,부산광역시 해운대구 센텀동로 57 (우동),612-020,재단법인 부산디자인센터,2019.6.24 11:57,U,2019.6.26 2:40,,393918.6438,188170.1963,법인,무료
426,무료직업소개소,11_50_01_P,3330000,2.01333E+18,2013.9.16,,1,영업/정상,20,영업중,,,,,051 784 9141,,,부산광역시 해운대구 반송동 259번지 113호 어른신일자리문화센터,"부산광역시 해운대구 반송순환로 158, 3층 (반송동, 어르신일자리문화센터)",48015,해운대시니어클럽,2016.8.18 14:35,I,2018.8.31 23:59,,395875.0292,193819.6794,법인,무료
427,무료직업소개소,11_50_01_P,3350000,2.01034E+18,2010.3.9,,1,영업/정상,20,영업중,,,,,5105163045,,,부산광역시 금정구 남산동 335번지 16호,"부산광역시 금정구 팔송로39번길 109 (남산동, 범어사사회복지센타)",46222,금정시니어클럽,2020.6.26 17:23,U,2020.6.28 2:40,,389976.2638,198428.9904,법인,무료
428,무료직업소개소,11_50_01_P,3350000,2.01534E+18,2015.11.18,,1,영업/정상,20,영업중,,,,,051 8027172,,,,"부산광역시 금정구 중앙대로1719번길 23, 5층 501호 (부곡동, 우남빌딩)",46277,(주)소암,2020.2.5 10:09,U,2020.2.7 2:40,,390263.9546,195148.8144,법인,무료
429,무료직업소개소,11_50_01_P,3370000,2.01034E+18,2010.2.1,,1,영업/정상,20,영업중,,,,,051 861 8834,,,부산광역시 연제구 거제3동 457번지 10호 이안빌딩 8층,"부산광역시 연제구 거제천로 89, 8층 (거제동, 이안빌딩)",611-801,부산희망리본사회적협동조합,2023.6.13 14:51,U,2023.6.15 2:40,,388767.1807,188975.2412,법인,무료
430,무료직업소개소,11_50_01_P,3370000,2.01634E+18,2011.1.26,,1,영업/정상,20,영업중,,,,,5108646300,,,부산광역시 연제구 거제동 450번지 16호 오대빌딩 4층,"부산광역시 연제구 거제대로 215, 4층 (거제동, 오대빌딩)",47526,사회복지법인 동주(동주무료직업소개소),2019.7.17 16:27,U,2019.7.19 2:40,,388687.3233,189540.8524,법인,무료
431,무료직업소개소,11_50_01_P,3360000,2.01834E+18,2018.2.12,,1,영업/정상,20,영업중,,,,,051 9736105,,,,부산광역시 강서구 공항로811번가길 30 (대저2동),46720,부산강서시니어클럽,2022.12.5 10:19,U,2023.5.26 8:48,,378181.2806,188364.6064,법인,무료
432,무료직업소개소,11_50_01_P,3570000,2.01836E+18,2018.7.12,,1,영업/정상,20,영업중,,,,,032 932 2292,,,인천광역시 강화군 강화읍 관청리 8통 그랑프리타워 508호,"인천광역시 강화군 강화읍 강화대로404번길 7, 4층 401호 (그랑프리)",23031,지역고용전략연구소,2020.10.13 16:03,U,2020.10.15 2:40,,154634.4614,471812.7241,개인,무료
433,무료직업소개소,11_50_01_P,3520000,2.01635E+18,2016.10.12,,1,영업/정상,20,영업중,,,,,032 818 2111,,,인천광역시 연수구 동춘동 950번지 1호 농원마을 경로당,"인천광역시 연수구 동곡재로 156, 농원마을 경로당 3층 (동춘동)",21964,연수구노인인력개발센터,2022.11.29 17:20,U,2022.12.1 2:40,,170386.9113,434652.7625,법인,무료
434,무료직업소개소,11_50_01_P,3520000,2.01635E+18,2016.12.16,,1,영업/정상,20,영업중,,,,,,,,,"인천광역시 연수구 갯벌로 12 (송도동, (재)인천테크노파크)",21999,(재)인천테크노파크(JST지점),2023.1.27 12:39,U,2023.5.26 8:48,,169347.6225,431201.101,법인,무료
435,무료직업소개소,11_50_01_P,3500000,2.00435E+18,2004.6.29,,1,영업/정상,20,영업중,,,,,,,,서울특별시 은평구 응암동 242번지 142호 16통 4반  지층 좌,,,송림종합사회복지관,2008.7.31 12:53,I,2018.8.31 23:59,,,,법인,무료
436,무료직업소개소,11_50_01_P,3530000,2.00935E+18,2009.1.21,,1,영업/정상,20,영업중,,,,,032 431 8161,,,인천광역시 남동구 구월동 1131번지 12호 4층,"인천광역시 남동구 구월남로 118 (구월동,4층)",,인천YMCA 무료직업소개소,2023.2.3 14:23,U,2023.2.5 2:40,,173604.5808,439020.8526,법인,무료
437,무료직업소개소,11_50_01_P,3530000,2.00935E+18,2000.9.22,,1,영업/정상,20,영업중,,,,,032 438 0420,,,인천광역시 남동구 간석동 26번지 3호 인천광역시 사회복지회관 301호,"인천광역시 남동구 용천로 208, 301호 (간석동, 인천광역시 사회복지회관)",21511,(사)한국장애인재활협회인천시지부 무료직업소개소,2020.10.23 8:32,U,2020.10.25 2:40,,174634.8912,440727.6241,법인,무료
