번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
319,식용얼음판매업,07_22_21_P,3520000,3520000-111-1999-00004,1999.6.7,,3,폐업,2,폐업,2008.8.27,,,,032 8115102,7.3,406-814,인천광역시 연수구 연수동 571-1 지상1층,,,가나얼음,2004.8.30 0:00,I,2018.8.31 23:59,식용얼음판매업,171706.7974,435222.0778,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
320,식용얼음판매업,07_22_21_P,3520000,3520000-111-2000-00001,2000.10.17,,3,폐업,2,폐업,2010.9.16,,,,032 8188989,2.8,406-831,인천광역시 연수구 청학동 494-4 지상1층,,,연수얼음,2009.9.14 13:00,I,2018.8.31 23:59,식용얼음판매업,171255.9669,435214.3206,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
321,식용얼음판매업,07_22_21_P,4610000,4610000-111-2009-00001,2009.1.6,,3,폐업,2,폐업,2016.4.1,,,,3321080,,340-853,충청남도 예산군 광시면 광시리 79-2,,,광시농협하나로마트,2009.1.6 14:47,I,2018.8.31 23:59,식용얼음판매업,179779.1806,338801.4345,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
322,식용얼음판매업,07_22_21_P,4500000,4500000-111-1987-00001,1987.9.9,,3,폐업,2,폐업,2019.4.4,,,,041 8552578,,314-050,충청남도 공주시 중동 147-107,충청남도 공주시 먹자1길 17 (중동),32547,공주얼음,2019.4.4 16:08,U,2019.4.6 2:40,식용얼음판매업,210971.4453,328345.3869,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
323,식용얼음판매업,07_22_21_P,4500000,4500000-111-2001-00001,2001.6.1,,3,폐업,2,폐업,2002.6.17,,,,041 8564889,,314-030,충청남도 공주시 산성동 189-3,,,시장얼음,2001.10.9 0:00,I,2018.8.31 23:59,식용얼음판매업,210985.2745,328687.9138,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
324,식용얼음판매업,07_22_21_P,4570000,4570000-111-1993-00001,1993.7.22,,3,폐업,2,폐업,2019.5.17,,,,041 8329298,,323-805,충청남도 부여군 부여읍 구아리 344,충청남도 부여군 부여읍 사비로99번길 8-1,33145,코롱얼음,2019.5.17 17:29,U,2019.5.19 2:40,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
325,식용얼음판매업,07_22_21_P,4570000,4570000-111-1996-00001,1996.7.2,,3,폐업,2,폐업,2007.9.3,,,,041 8351412,,323-842,충청남도 부여군 홍산면 남촌리 162-11,,,태양슈퍼,2001.7.31 0:00,I,2018.8.31 23:59,식용얼음판매업,178292.1426,301478.0423,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
326,식용얼음판매업,07_22_21_P,4570000,4570000-111-2007-00001,2007.8.3,,3,폐업,2,폐업,2015.6.12,,,,041 832 7720,,323-805,충청남도 부여군 부여읍 구아리 392,충청남도 부여군 부여읍 성왕로 192,33145,중앙얼음,2013.12.30 13:45,I,2018.8.31 23:59,식용얼음판매업,191789.8041,309004.4706,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
327,식용얼음판매업,07_22_21_P,4510000,4510000-111-1993-00001,1993.4.6,,3,폐업,2,폐업,2002.6.17,,,,,,355-936,충청남도 보령시 동대동 983-53,,,남포쌀집,2003.12.9 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
328,식용얼음판매업,07_22_21_P,4510000,4510000-111-2002-00005,1994.4.7,,3,폐업,2,폐업,2021.12.22,,,,,,355-944,충청남도 보령시 신흑동 1088-2 신흑동,충청남도 보령시 머드로 1088-2 (신흑동),,삼원어름판매소,2022.3.21 14:16,U,2022.3.23 2:40,식용얼음판매업,,,식용얼음판매업,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
329,식용얼음판매업,07_22_21_P,4510000,4510000-111-2002-00006,1995.3.2,,3,폐업,2,폐업,2021.12.22,,,,,,355-851,충청남도 보령시 웅천읍 관당리 806,충청남도 보령시 웅천읍 열린바다1길 35,33508,무창포얼음,2022.3.21 14:24,U,2022.3.23 2:40,식용얼음판매업,158142.2698,304741.0273,식용얼음판매업,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
330,식용얼음판매업,07_22_21_P,4510000,4510000-111-2002-00001,1979.7.4,,3,폐업,2,폐업,2013.6.18,,,,,,355-853,충청남도 보령시 웅천읍 대창리 442,,,웅천어름집,2002.2.25 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
331,식용얼음판매업,07_22_21_P,4510000,4510000-111-2002-00002,1979.7.19,,3,폐업,2,폐업,2021.12.22,,,,,,355-944,충청남도 보령시 신흑동 1235 신흑동 1235,충청남도 보령시 머드로 1235 (신흑동),,광천어름집,2022.3.21 14:34,U,2022.3.23 2:40,식용얼음판매업,,,식용얼음판매업,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
332,식용얼음판매업,07_22_21_P,4510000,4510000-111-2002-00003,1980.7.16,,3,폐업,2,폐업,2008.11.21,,,,,,355-944,충청남도 보령시 신흑동 1122-1,,,용궁어름판매소,2002.2.25 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
333,식용얼음판매업,07_22_21_P,4510000,4510000-111-2002-00004,1981.7.18,,3,폐업,2,폐업,2021.12.22,,,,,,355-944,충청남도 보령시 신흑동 1122-1 신흑동,충청남도 보령시 머드로 1122-1 (신흑동),,정환어름집,2022.3.21 14:11,U,2022.3.23 2:40,식용얼음판매업,,,식용얼음판매업,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
334,식용얼음판매업,07_22_21_P,4170000,4170000-111-2012-00002,2012.5.23,,3,폐업,2,폐업,2019.5.31,,,,031 773 8241,39.2,476-802,경기도 양평군 양평읍 양근리 299-18 (1층),경기도 양평군 양평읍 한빛길 4 (1층),12562,양평종합상사 로즈버드,2019.5.31 11:49,U,2019.6.2 2:40,식용얼음판매업,243486.5773,443038.9514,식용얼음판매업,,,,,,,,,,,임대,,,N,0,,,
335,식용얼음판매업,07_22_21_P,3820000,3820000-111-1986-00001,1986.4.24,,3,폐업,2,폐업,2015.3.30,,,,031 8455218,9.75,480-843,경기도 의정부시 의정부동 188-15 지상1층,"경기도 의정부시 호국로1298번길 11 (의정부동,지상1층)",11692,금강얼음,2012.11.2 15:41,I,2018.8.31 23:59,식용얼음판매업,204191.6958,471171.312,식용얼음판매업,,,,,상수도전용,,0,0,0,0,,,,N,0,,,
336,식용얼음판매업,07_22_21_P,3820000,3820000-111-1989-00001,1989.4.13,,3,폐업,2,폐업,1999.9.29,,,,,0,480-814,경기도 의정부시 가능동 651-12,,,형제얼음,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,203614.4803,471666.0223,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
337,식용얼음판매업,07_22_21_P,3820000,3820000-111-1994-00001,1994.5.4,,3,폐업,2,폐업,2006.12.22,,,,031 8758485,7.1,480-845,경기도 의정부시 의정부동 303-6,,,덕도어름,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,203267.6503,469815.7383,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
338,식용얼음판매업,07_22_21_P,3740000,3740000-111-2013-00002,2013.3.18,,3,폐업,2,폐업,2013.4.1,,,,031 256 2241,29.2,440-830,경기도 수원시 장안구 정자동 2-18,경기도 수원시 장안구 수성로349번길 22 (정자동),,용인상사,2013.3.18 15:38,I,2020.8.5 0:23,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
339,식용얼음판매업,07_22_21_P,3820000,3820000-111-1996-00004,1996.8.14,,3,폐업,2,폐업,2007.4.26,,,,031 8784924,12.5,480-841,경기도 의정부시 의정부동 94-5,,,하나얼음,2001.8.8 0:00,I,2018.8.31 23:59,식용얼음판매업,204502.6047,470512.1096,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
340,식용얼음판매업,07_22_21_P,3820000,3820000-111-1998-00001,1998.6.23,,3,폐업,2,폐업,2010.1.18,,,,031 8432138,14.62,480-823,경기도 의정부시 금오동 388-13,,,금오어름,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,204612.8657,471864.7815,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
341,식용얼음판매업,07_22_21_P,3820000,3820000-111-1999-00001,1999.3.24,,3,폐업,2,폐업,2002.4.1,,,,031 8441118,23.4,480-840,경기도 의정부시 의정부동 8-32,,,한국어름,2002.4.1 0:00,I,2018.8.31 23:59,식용얼음판매업,204507.6494,471416.4497,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
342,식용얼음판매업,07_22_21_P,3820000,3820000-111-1999-00002,1999.6.2,,3,폐업,2,폐업,2010.7.1,,,,031 8738098,10.14,480-849,경기도 의정부시 의정부동 552-1,,,부흥석유,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,203431.3917,470293.5963,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
343,식용얼음판매업,07_22_21_P,3820000,3820000-111-1999-00003,1999.6.5,,3,폐업,2,폐업,2020.4.27,,,,031 8751175,10.78,480-848,경기도 의정부시 의정부동 483-16,경기도 의정부시 둔야로45번길 24 (의정부동),11673,동남얼음,2020.4.27 15:35,U,2020.4.29 2:40,식용얼음판매업,203303.0428,470847.1668,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
344,식용얼음판매업,07_22_21_P,3820000,3820000-111-2000-00001,2000.5.18,,3,폐업,2,폐업,2000.6.23,,,,,0,480-839,경기도 의정부시 용현동 391-19 건통,,,롯데,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,206913.8997,470484.7024,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
345,식용얼음판매업,07_22_21_P,4050000,5620000-111-1998-00001,1998.6.2,,3,폐업,2,폐업,1998.7.13,,,,3344825,,,경기도 용인시 처인구 이동읍 천리 759-2,,,천리얼음,2001.10.26 0:00,I,2018.8.31 23:59,식용얼음판매업,218275.002,410328.7814,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
346,식용얼음판매업,07_22_21_P,4050000,5640000-111-2000-00001,2000.3.15,,3,폐업,2,폐업,2004.7.6,,,,2652610,,448-833,경기도 용인시 수지구 신봉동 21-4,,,요한얼음,2001.12.26 0:00,I,2018.8.31 23:59,식용얼음판매업,206894.5349,424577.7617,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
347,식용얼음판매업,07_22_21_P,4050000,5620000-111-2005-00001,2005.10.17,,3,폐업,2,폐업,2011.10.4,,,,031 3385256,4.32,449-823,경기도 용인시 처인구 양지면 양지리 465-2,,,유진에너지,2010.7.30 9:57,I,2018.8.31 23:59,식용얼음판매업,225229.2633,414914.1983,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
348,식용얼음판매업,07_22_21_P,3820000,3820000-111-2003-00001,2003.3.10,,3,폐업,2,폐업,2020.10.6,,,,031 8468635,14.72,480-842,경기도 의정부시 의정부동 124-20 지상1층,"경기도 의정부시 호국로1336번길 104 (의정부동,지상1층)",11694,시장얼음,2020.10.6 13:08,U,2020.10.8 2:40,식용얼음판매업,204573.982,470800.0296,식용얼음판매업,,,,,상수도전용,,0,0,0,0,,,,N,0,,,
349,식용얼음판매업,07_22_21_P,3820000,3820000-111-2007-00001,2007.4.26,,3,폐업,2,폐업,2007.5.11,,,,,,480-841,경기도 의정부시 의정부동 94-5 지상1층,,,육거리얼음,2007.4.26 0:00,I,2018.8.31 23:59,식용얼음판매업,204502.6047,470512.1096,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
350,식용얼음판매업,07_22_21_P,3740000,3740000-111-2002-00001,2002.4.30,,3,폐업,2,폐업,2012.7.19,,,,031 2253425,11.2,442-844,경기도 수원시 팔달구 매교동 175-10,,,우리얼음,2008.1.12 14:59,I,2020.8.5 0:23,식용얼음판매업,201427.0438,418197.449,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
351,식용얼음판매업,07_22_21_P,3740000,3740000-111-2008-00001,2008.3.10,,3,폐업,2,폐업,2010.8.9,,,,,900,442-845,경기도 수원시 팔달구 매교동 211-19,,,대성식품유통,2008.3.10 17:21,I,2020.8.5 0:23,식용얼음판매업,201541.3642,418695.6416,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
352,식용얼음판매업,07_22_21_P,3740000,3740000-111-2008-00002,2008.3.25,,3,폐업,2,폐업,2008.5.28,,,,,29.25,440-830,경기도 수원시 장안구 정자동 2-18,,,용인상사,2008.3.25 16:59,I,2020.8.5 0:23,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
353,식용얼음판매업,07_22_21_P,3820000,3820000-111-1996-00002,1996.5.16,,3,폐업,2,폐업,2005.4.7,,,,031 8732414,11.62,480-854,경기도 의정부시 호원동 64-8,,,대영상사,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
354,식용얼음판매업,07_22_21_P,3820000,3820000-111-1996-00003,1996.6.2,,3,폐업,2,폐업,2003.5.30,,,,031 8749944,5.76,480-813,경기도 의정부시 가능동 605-4,,,신촌얼음,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,203070.3748,472065.5835,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
355,식용얼음판매업,07_22_21_P,3740000,3740000-111-2013-00005,2013.5.23,,3,폐업,2,폐업,2020.3.5,,,,031 232 2811,12,441-862,경기도 수원시 권선구 세류동 184-9 1층,"경기도 수원시 권선구 덕영대로963번길 7, 1층 (세류동)",16591,제일얼음,2020.3.5 17:16,I,2020.8.5 0:23,식용얼음판매업,200239.6847,417910.0398,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
356,식용얼음판매업,07_22_21_P,3820000,3820000-111-1974-00001,1974.5.2,,3,폐업,2,폐업,2002.4.29,,,,031 8468635,9.46,480-842,경기도 의정부시 의정부동 124-20,,,로타리어름,2002.4.29 0:00,I,2018.8.31 23:59,식용얼음판매업,204573.982,470800.0296,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
357,식용얼음판매업,07_22_21_P,3820000,3820000-111-1995-00001,1995.5.17,,3,폐업,2,폐업,2001.5.14,,,,031 8720051,0,480-819,경기도 의정부시 가능동 743-9,,,한일어름,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,203150.617,471112.7554,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
358,식용얼음판매업,07_22_21_P,3820000,3820000-111-1995-00002,1995.6.21,,3,폐업,2,폐업,2014.9.12,,,,031 8766532,20.3,480-812,경기도 의정부시 가능동 738-31 지상 1층,"경기도 의정부시 호국로1183번길 11, 지상 1층 (가능동)",11667,삼거리어름,2014.1.7 9:44,I,2018.8.31 23:59,식용얼음판매업,203038.3938,471262.4961,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
359,식용얼음판매업,07_22_21_P,3820000,3820000-111-1996-00001,1996.4.4,,3,폐업,2,폐업,2000.3.21,,,,,0,480-840,경기도 의정부시 의정부동 32-8,,,짱이네얼음,2001.8.7 0:00,I,2018.8.31 23:59,식용얼음판매업,204624.307,470972.0647,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
360,식용얼음판매업,07_22_21_P,3640000,3640000-111-1988-00001,1988.4.14,,3,폐업,2,폐업,2002.5.13,,,,042 6721818,17,300-812,대전광역시 동구 삼성동 111-1,,,삼성하치장(얼음),2001.8.10 0:00,I,2018.8.31 23:59,식용얼음판매업,238588.9708,315173.6653,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
361,식용얼음판매업,07_22_21_P,3640000,3640000-111-1993-00001,1993.6.8,,3,폐업,2,폐업,2007.1.16,,,,042 6263314,16.65,300-823,대전광역시 동구 용전동 47-13,,,우리얼음,2001.8.10 0:00,I,2018.8.31 23:59,식용얼음판매업,238852.8205,317273.7274,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
362,식용얼음판매업,07_22_21_P,5350000,5350000-111-1980-00001,1980.7.21,,3,폐업,2,폐업,2008.5.7,,,,,,621-020,경상남도 김해시 동상동 792-8,,,김해얼음집,2001.10.6 0:00,I,2018.8.31 23:59,식용얼음판매업,371487.7042,194510.0526,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
363,식용얼음판매업,07_22_21_P,5350000,5350000-111-1985-00001,1985.6.5,,3,폐업,2,폐업,2007.10.1,,,,055 336 7040,,621-040,경상남도 김해시 봉황동 5,,,경남얼음집,2007.9.27 14:33,I,2018.8.31 23:59,식용얼음판매업,371075.0619,193944.8344,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
364,식용얼음판매업,07_22_21_P,5350000,5350000-111-1995-00002,1995.5.26,,3,폐업,2,폐업,2007.10.4,,,,055 343 4449,,621-912,경상남도 김해시 삼정동 210-33,,,활천얼음,2007.9.27 14:28,I,2018.8.31 23:59,식용얼음판매업,372419.6602,194127.7018,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
365,식용얼음판매업,07_22_21_P,5350000,5350000-111-1997-00001,1997.5.8,,3,폐업,2,폐업,2007.10.1,,,,055 3386072,,621-845,경상남도 김해시 주촌면 선지리 274-4,,,제일상회,2007.9.27 14:37,I,2018.8.31 23:59,식용얼음판매업,366973.7364,195600.2007,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
366,식용얼음판매업,07_22_21_P,5350000,5350000-111-1997-00002,1997.6.11,,3,폐업,2,폐업,2008.1.15,,,,055 3219363,,621-907,경상남도 김해시 부원동 837,,,삼보정얼음,2007.9.27 15:14,I,2018.8.31 23:59,식용얼음판매업,371182.4918,194035.2983,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
367,식용얼음판매업,07_22_21_P,5350000,5350000-111-1997-00003,1997.8.2,,3,폐업,2,폐업,2008.1.17,,,,055 3321674,,621-020,경상남도 김해시 동상동 867-2,,,수호얼음,2008.1.15 16:54,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
368,식용얼음판매업,07_22_21_P,5350000,5350000-111-2000-00001,2000.5.19,,3,폐업,2,폐업,2007.9.28,,,,,,621-210,경상남도 김해시 불암동 220-127,,,선암얼음,2007.9.27 14:21,I,2018.8.31 23:59,식용얼음판매업,375601.1955,193136.4906,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
369,식용얼음판매업,07_22_21_P,5350000,5350000-111-2002-00001,2002.4.15,,3,폐업,2,폐업,2007.2.22,,,,055 3219774,42,621-906,경상남도 김해시 부원동 67-4 부원상가빌딩 104호,,,참얼음,2005.6.13 0:00,I,2018.8.31 23:59,식용얼음판매업,371721.9154,193932.9049,식용얼음판매업,,,,,,,0,0,0,0,자가,0,0,N,0,,,
370,식용얼음판매업,07_22_21_P,5350000,5350000-111-1995-00001,1995.3.4,,3,폐업,2,폐업,2007.9.19,,,,055 3222904,,621-020,경상남도 김해시 동상동 803-6,,,시장얼음집,2001.10.6 0:00,I,2018.8.31 23:59,식용얼음판매업,371449.3542,194621.5225,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
371,식용얼음판매업,07_22_21_P,5350000,5350000-111-2002-00002,2002.5.15,,3,폐업,2,폐업,2020.3.11,,,,055 3360355,33,621-919,경상남도 김해시 외동 1192-3,경상남도 김해시 함박로31번길 26 (외동),50955,수정얼음,2020.3.11 16:34,U,2020.3.13 2:40,식용얼음판매업,369160.0084,194437.7891,식용얼음판매업,,,,,,,0,0,0,0,임대,0,0,N,0,,,
372,식용얼음판매업,07_22_21_P,5350000,5350000-111-2009-00001,2009.2.26,,3,폐업,2,폐업,2009.3.16,,,,055 334 9941,50.5,621-909,경상남도 김해시 삼방동 166-10,,,대광유통,2009.2.26 10:39,I,2018.8.31 23:59,식용얼음판매업,373404.6357,195931.2043,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
373,식용얼음판매업,07_22_21_P,5310000,5310000-111-1991-00001,1991.4.1,,3,폐업,2,폐업,2006.2.23,,,,,15.64,660-040,경상남도 진주시 봉곡동 18-16,,,배달얼음집,2002.2.5 0:00,I,2018.8.31 23:59,식용얼음판매업,298136.3927,188855.5788,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
374,식용얼음판매업,07_22_21_P,5310000,5310000-111-1995-00001,1995.5.13,,3,폐업,2,폐업,2010.8.13,,,,055 7525335,5.46,660-997,경상남도 진주시 하대동 328-46,,,하대동 얼음집,2005.6.22 0:00,I,2018.8.31 23:59,식용얼음판매업,301861.6883,188607.1258,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
375,식용얼음판매업,07_22_21_P,3700000,3700000-111-1973-00001,1973.5.27,,3,폐업,2,폐업,1986.5.31,,,,,,680-050,울산광역시 남구 매암동 383-28,,,삼양상회,2001.11.5 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
376,식용얼음판매업,07_22_21_P,3700000,3700000-111-1976-00001,1976.4.17,,3,폐업,2,폐업,1987.3.30,,,,,,680-821,울산광역시 남구 신정동 3 주택공사3호,,,재향군인회얼음판매소,2001.11.5 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
377,식용얼음판매업,07_22_21_P,3700000,3700000-111-1979-00001,1979.5.28,,3,폐업,2,폐업,1995.12.5,,,,,,680-834,울산광역시 남구 야음동 453-4,,,현대얼음집,2001.11.5 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
378,식용얼음판매업,07_22_21_P,3700000,3700000-111-1980-00001,1980.5.24,,3,폐업,2,폐업,1995.9.16,,,,,,680-818,울산광역시 남구 선암동 185-1,,,선암상회,2001.11.5 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
379,식용얼음판매업,07_22_21_P,3700000,3700000-111-1983-00001,1983.4.29,,3,폐업,2,폐업,1995.9.18,,,,,,680-828,울산광역시 남구 신정동 1203-5,,,로타리얼음,2001.11.5 0:00,I,2018.8.31 23:59,식용얼음판매업,409267.8004,228684.1021,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
380,식용얼음판매업,07_22_21_P,3700000,3700000-111-1983-00002,1983.6.4,,3,폐업,2,폐업,1995.9.16,,,,,,680-832,울산광역시 남구 신정동 1112-8,,,양지상회,2001.11.5 0:00,I,2018.8.31 23:59,식용얼음판매업,409013.1094,228162.4835,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
381,식용얼음판매업,07_22_21_P,3700000,3700000-111-1985-00001,1985.3.5,,3,폐업,2,폐업,2003.1.14,,,,2745349,,680-800,울산광역시 남구 달동 131-5,,,울산식품,2001.12.21 0:00,I,2018.8.31 23:59,식용얼음판매업,410663.6412,228595.169,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
382,식용얼음판매업,07_22_21_P,3700000,3700000-111-1989-00001,1989.5.24,,3,폐업,2,폐업,1995.12.5,,,,,,680-835,울산광역시 남구 야음동 362-10,,,삼일얼음,2001.11.5 0:00,I,2018.8.31 23:59,식용얼음판매업,412001.5743,226668.8633,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
383,식용얼음판매업,07_22_21_P,3700000,3700000-111-1997-00001,1997.11.1,,3,폐업,2,폐업,2006.7.28,,,,052 2655807,,680-821,울산광역시 남구 신정동 12-4,,,그린유통,2001.12.21 0:00,I,2018.8.31 23:59,식용얼음판매업,410465.2327,230174.5182,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
384,식용얼음판매업,07_22_21_P,4690000,4690000-111-2007-00004,2007.8.17,,3,폐업,2,폐업,2021.1.28,,,,063 536 2050,1.9,580-060,전라북도 정읍시 시기동 356-7,전라북도 정읍시 중앙로 158-2 (시기동),56164,하나마트,2021.1.28 15:30,U,2021.1.30 2:40,식용얼음판매업,186810.5183,229500.8074,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
385,식용얼음판매업,07_22_21_P,4690000,4690000-111-2008-00002,2008.5.19,,3,폐업,2,폐업,2009.5.18,,,,063 532 8805,3,580-804,전라북도 정읍시 수성동 959-13,,,금강수산,2008.5.19 14:29,I,2018.8.31 23:59,식용얼음판매업,186759.0789,230851.8972,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
386,식용얼음판매업,07_22_21_P,4690000,4690000-111-2007-00001,2007.8.17,,3,폐업,2,폐업,2010.2.12,,,,063 531 6755,,580-060,전라북도 정읍시 시기동 406-20,,,정읍냉동,2007.8.17 13:38,I,2018.8.31 23:59,식용얼음판매업,186806.3913,229196.757,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
387,식용얼음판매업,07_22_21_P,4690000,4690000-111-2007-00002,2007.8.17,,3,폐업,2,폐업,2009.4.23,,,,063 535 6042,,580-805,전라북도 정읍시 연지동 29-24,,,정읍얼음,2007.8.17 14:11,I,2018.8.31 23:59,식용얼음판매업,185984.4165,230594.2291,식용얼음판매업,,,,,,,,,,,,,,N,0,,,
388,식용얼음판매업,07_22_21_P,4540000,4540000-111-1989-00001,1989.7.13,,3,폐업,2,폐업,2008.2.11,,,,041 7352370,20.3,320-800,충청남도 논산시 대교동 117-8,,,동광얼음,2001.11.8 0:00,I,2018.8.31 23:59,식용얼음판매업,207272.8694,300721.6811,식용얼음판매업,,,,,,,0,0,0,0,,,,N,0,,,
389,식용얼음판매업,07_22_21_P,4520000,4520000-111-2008-00001,2008.4.16,,3,폐업,2,폐업,2008.9.30,,,,041 542 9821,32.25,336-801,충청남도 아산시 모종동 551-8,,,가나유통,2008.4.30 13:35,I,2018.8.31 23:59,식용얼음판매업,201028.2134,365001.15,식용얼음판매업,,,,,상수도전용,,1,0,0,0,임대,,,N,0,,,
390,식용얼음판매업,07_22_21_P,4060000,4060000-111-2011-00001,2011.4.11,,3,폐업,2,폐업,2013.10.21,,,,031947 8818,49.5,413-120,경기도 파주시 문발동 616-5 1층,"경기도 파주시 책향기숲길 8 (문발동,1층)",10884,교하어름,2011.4.11 15:39,I,2018.8.31 23:59,식용얼음판매업,174284.2374,468521.709,식용얼음판매업,,,,,,,,,,,자가,,,N,0,,,
391,식용얼음판매업,07_22_21_P,4060000,4060000-111-1976-00001,1976.2.28,,3,폐업,2,폐업,2015.8.12,,,,3109412703,0,413-814,경기도 파주시 금촌동 64-0,,,금촌얼음,2005.3.23 0:00,I,2018.8.31 23:59,식용얼음판매업,,,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
392,식용얼음판매업,07_22_21_P,4060000,4060000-111-1976-00002,1976.2.28,,3,폐업,2,폐업,1998.10.19,,,,,0,413-904,경기도 파주시 문산읍 문산리 4-1,,,삼성빙고,2001.7.26 0:00,I,2018.8.31 23:59,식용얼음판매업,181087.341,484039.499,식용얼음판매업,,,,,,,0,0,0,0,,0,0,N,0,,,
