시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호
사랑의 지역아동센터,B4031,(아동) 지역아동센터,아동복지시설,자치구,최용규,1154500000,금천구,서울특별시 금천구 시흥대로104길 36 (독산동),19,18,02-893-1112,8617
으뜸지역아동센터,B4055,(아동) 지역아동센터,아동복지시설,자치구,이성희,1130500000,강북구,서울특별시 강북구 4.19로 23나-2호 (수유동),19,17,02-918-0865,1026
경향지역아동센터,B4057,(아동) 지역아동센터,아동복지시설,자치구,이은숙,1150000000,강서구,서울특별시 강서구 화곡로63길 19(등촌동) ,19,18,02-3664-1516,7590
망원무지개지역아동센터,B4104,(아동) 지역아동센터,아동복지시설,자치구,조지혜,1144000000,마포구,서울특별시 마포구 월드컵로25길 583층 망원무지개지역아동센터 (망원동),39,39,02-335-6831,3964
선유지역아동센터,B4126,(아동) 지역아동센터,아동복지시설,자치구,박민자,1156000000,영등포구,서울특별시 영등포구 선유로24길 3-3,32,32,02-2679-8881,7262
구립서대문노인전문요양센터,B4161,(노인) 노인요양시설,노인의료복지시설,자치구,김희철,1141000000,서대문구,서울특별시 서대문구 홍지문2길 59 (홍은동),78,78,02-392-3080,3608
금천영재지역아동센터,B4197,(아동) 지역아동센터,아동복지시설,자치구,조원근,1154500000,금천구,서울특별시 금천구 시흥대로18길 163층 (시흥동)(시흥동),49,45,02-584-4967,8653
면목지역아동센터,B4198,(아동) 지역아동센터,아동복지시설,자치구,장예원,1126000000,중랑구,서울특별시 중랑구 면목로33길 79 (면목동347),23,23,02-2209-6010,2243
드림한누리지역아동센터,B4207,(아동) 지역아동센터,아동복지시설,자치구,김현주,1162000000,관악구,"서울특별시 관악구 구암길 106관리사무소 3층 (봉천동, 관악드림타운아파트)",19,13,02-888-1598,8725
차오름지역아동센터,B4226,(아동) 지역아동센터,아동복지시설,자치구,장미숙,1126000000,중랑구,서울특별시 중랑구 상봉로 493층,19,19,02-433-2077,2162
아담스지역아동센터,B4237,(아동) 지역아동센터,아동복지시설,자치구,최경화,1162000000,관악구,서울특별시 관악구 난곡로20길 173층,19,17,02-830-0374,8857
해피엘지역아동센터,B4248,(아동) 지역아동센터,아동복지시설,자치구,박효정,1121500000,광진구,서울특별시 광진구 자양번영로 16-02층,29,26,02-3436-6853,5098
행복무지개공부방지역아동센터,B4264,(아동) 지역아동센터,아동복지시설,자치구,강창구,1144000000,마포구,서울특별시 마포구 성미산로10길 362층 (서교동)(서교동),19,19,070-7504-0238,3998
살레시오양천나눔의집,B4271,(아동) 공동생활가정,아동복지시설,자치구,장호은,1147000000,양천구,서울특별시 양천구 남부순환로54길 374층 (신월동),7,6,070-8930-4104,7914
중동지역아동센터,B4277,(아동) 지역아동센터,아동복지시설,자치구,유미영,1120000000,성동구,서울특별시 성동구 서울숲6길 15,29,27,02-498-8544,4768
성모의집,B4291,(아동) 공동생활가정,아동복지시설,자치구,김에스텔,1138000000,은평구,"서울특별시 은평구 가좌로12길 15103동 101호 (신사동, 은평신사두산위브2차)",6,5,02-352-4643,3438
동그라미지역아동센터,B4306,(아동) 지역아동센터,아동복지시설,자치구,반지영,1126000000,중랑구,서울특별시 중랑구 겸재로9길 152층 ,29,27,02-492-8728,2134
서대문지역아동복지센터,B4307,(아동) 아동양육시설,아동복지시설,자치구,권명심,1141000000,서대문구,서울특별시 서대문구 송죽길 23,50,41,23963385,120861
빛나라공부방(지역아동센터),B4316,(아동) 지역아동센터,아동복지시설,자치구,박순녀,1117000000,용산구,서울특별시 용산구 한강대로104길 41 (동자동),19,19,02-756-3045,4324
흑석지역아동센터,B4331,(아동) 지역아동센터,아동복지시설,자치구,이숙희,1159000000,동작구,서울특별시 동작구 흑석동명수대현대아파트 B상가 401호,19,19,02-816-8031,156070
송천동지역아동센터,B4335,(아동) 지역아동센터,아동복지시설,자치구,오세옥,1130500000,강북구,서울특별시 강북구 솔샘로 2713층,35,32,02-984-2237,142804
상도푸른지역아동센터,B4338,(아동) 지역아동센터,아동복지시설,자치구,조미선,1159000000,동작구,서울특별시 동작구 양녕로28길 35-0,19,15,02-825-9111,7035
무지개지역아동센터,B4350,(아동) 지역아동센터,아동복지시설,자치구,윤선미,1132000000,도봉구,서울특별시 도봉구 방학로3길 116,33,33,070-8278-2147,1394
다락지역아동센터,B4363,(아동) 지역아동센터,아동복지시설,자치구,강선희,1141000000,서대문구,서울특별시 서대문구 독립문공원길95독립문극동아파트 제2관리사무소 3층,19,15,02-392-3335,120080
관악청소년 지역아동센터,B4369,(아동) 지역아동센터,아동복지시설,자치구,한성진,1162000000,관악구,서울특별시 관악구 난곡로63길 653층,29,28,02-859-6357,151894
나래지역아동센터,B8141,(아동) 지역아동센터,아동복지시설,자치구,김지영,1174000000,강동구,서울특별시 강동구 천중로53길 212층 (길동),23,23,02-474-2103,5304
메리워드지역아동센터,B8143,(아동) 지역아동센터,아동복지시설,자치구,최미혜,1153000000,구로구,"서울특별시 구로구 고척로 49210동 상가동 3층 (오류동, 동부골든아파트)",19,18,02-2618-6530,8253
좋은친구들,B8144,(아동) 지역아동센터,아동복지시설,자치구,조수진,1159000000,동작구,서울특별시 동작구 동작대로13길 342층,29,24,02-587-0203,7012
좋은사람들지역아동센터,B8149,(아동) 지역아동센터,아동복지시설,자치구,황수미,1150000000,강서구,서울특별시 강서구 화곡로31길 392층,19,19,02-2604-5550,7700
살레시오신월3동나눔의집,B8178,(아동) 공동생활가정,아동복지시설,자치구,박진영,1147000000,양천구,"서울특별시 양천구 남부순환로54길 372,3층",7,4,02-2693-6811,7914
서라벌아카데미지역아동센터,B8182,(아동) 지역아동센터,아동복지시설,자치구,박중규,1130500000,강북구,서울특별시 강북구 삼양로 6173층,29,29,02-998-5621,1005
한살림서울생활협동조합 용산지역아동센터 ,B8191,(아동) 지역아동센터,아동복지시설,자치구,최지원,1117000000,용산구,서울특별시 용산구 효창원로94길 234층 (청파동1가),19,19,02-711-8111,4306
동방영아일시보호소,B8200,(아동) 아동양육시설,아동복지시설,자치구,,1141000000,서대문구,서울특별시 서대문구 연희로 26동방사회복지회,106,35,02-334-4903,3784
새터민청소년그룹홈<가족>,B8201,(아동) 공동생활가정,아동복지시설,자치구,김태훈,1129000000,성북구,"서울특별시 성북구 북악산로1다길 7북악산로 1다길 3, 1층",7,5,02-911-7817,2821
늘사랑지역아동센터,B8208,(아동) 지역아동센터,아동복지시설,자치구,김영신,1132000000,도봉구,서울특별시 도봉구 마들로11길 25동산빌딩 401호,32,31,02-951-1498,132899
서울특별시아동복지센터,B8214,(아동) 아동종합시설,아동복지시설,자치구,이기영,1168000000,강남구,서울특별시 강남구 광평로34길 124서울특별시아동복지센터수서동,50,,02-2040-4237,6362
동방사회복지회 서울아동상담소,B8217,(아동) 아동양육시설,아동복지시설,자치구,,1141000000,서대문구,서울특별시 서대문구 연희로26(창천동 493번지),30,25,02-324-0862,3784
우신지역아동센터,B8242,(아동) 지역아동센터,아동복지시설,자치구,이향란,1153000000,구로구,"서울특별시 구로구 오리로 1265우신상가 304호 (궁동, 우신빌라)",19,19,02-2611-8041,8257
씨앗지역아동센터,B8245,(아동) 지역아동센터,아동복지시설,자치구,이동성,1132000000,도봉구,서울특별시 도봉구 도봉로 901부성빌딩 202호,36,34,02-954-0045,1303
풍성한지역아동센터,B8250,(아동) 지역아동센터,아동복지시설,자치구,유재인,1117000000,용산구,서울특별시 용산구 보광로 542층 (보광동),37,37,02-794-4060,4414
돈암동교회모퉁이돌지역아동센터,B8340,(아동) 지역아동센터,아동복지시설,자치구,이영희,1129000000,성북구,서울특별시 성북구 아리랑로6가길 37,19,10,070-7136-4403,2827
길동지역아동센터,B8344,(아동) 지역아동센터,아동복지시설,자치구,임완주,1174000000,강동구,서울특별시 강동구 천호대로187길 302층 (길동),19,19,02-485-5551,5350
나눔플러스지역아동센터,B8348,(아동) 지역아동센터,아동복지시설,자치구,강석환,1132000000,도봉구,서울특별시 도봉구 도봉로 109길40,35,33,02-997-5579,1444
보물섬지역아동센터,B8368,(아동) 지역아동센터,아동복지시설,자치구,이현직,1138000000,은평구,"서울특별시 은평구 갈현로15길 46102호 (구산동, 명남빌라트)",29,27,02-388-0145,3428
동방지역아동센터,B8375,(아동) 지역아동센터,아동복지시설,자치구,최정희,1138000000,은평구,서울특별시 은평구 갈현로 29신사코아아파트 상가 202호,19,19,02-382-9387,3435
새하늘지역아동센터,B8381,(아동) 지역아동센터,아동복지시설,자치구,이은혜,1150000000,강서구,서울특별시 강서구 화곡로24길 161층,19,19,02-2608-2538,7717
장안지역아동센터,B8386,(아동) 지역아동센터,아동복지시설,자치구,유세정,1123000000,동대문구,서울특별시 동대문구 한천로 85인오빌딩 4층,29,29,02-2246-3323,2611
기쁨지역아동센터,B8390,(아동) 지역아동센터,아동복지시설,자치구,이미숙,1171000000,송파구,서울특별시 송파구 송이로34길 551층,23,25,02-430-7058,5809
중랑재미지역아동센터,B8393,(아동) 지역아동센터,아동복지시설,자치구,최경희,1126000000,중랑구,서울특별시 중랑구 용마공원로 7-3,19,19,070-7787-5154,131805
소망의집지역아동센터,B8404,(아동) 지역아동센터,아동복지시설,자치구,이민화,1138000000,은평구,서울특별시 은평구 역말로10길 30-13층,19,19,070-4624-3371,3392
좋은친구청소년지역아동센터,B8405,(아동) 지역아동센터,아동복지시설,자치구,박민선,1150000000,강서구,"서울특별시 강서구 가로공원로 237-0(화곡동, 2층)",25,22,02-2065-0369,7720
갈현지역아동센터,B8408,(아동) 지역아동센터,아동복지시설,자치구,하혜영,1138000000,은평구,서울특별시 은평구 갈현로 282,49,49,02-356-7942,3329
희망샘지역아동센터,B8409,(아동) 지역아동센터,아동복지시설,자치구,이경선,1121500000,광진구,서울특별시 광진구 긴고랑로 137,29,27,070-4138-0060,4944
솔로몬지역아동센터,B8420,(아동) 지역아동센터,아동복지시설,자치구,피윤희,1156000000,영등포구,서울특별시 영등포구 양평로30가길 1919-0 2층,31,31,02-2678-7934,7201
성산교회부설 한우리지역아동센터,B8422,(아동) 지역아동센터,아동복지시설,자치구,오현아,1162000000,관악구,서울특별시 관악구 낙성대역14가길 72층,45,40,02-884-1026,8797
동원지역아동센터,B8473,(아동) 지역아동센터,아동복지시설,자치구,김강자,1126000000,중랑구,서울특별시 중랑구 면목로56길 38,19,19,02-433-3324,131813
원광지역아동센터,B8481,(아동) 지역아동센터,아동복지시설,자치구,황미정,1123000000,동대문구,서울특별시 동대문구 사가정로15길 47 (전농동),19,19,070-7011-3334,2507
이레지역아동센터,B8512,(아동) 지역아동센터,아동복지시설,자치구,강명옥,1138000000,은평구,서울특별시 은평구 연서로 35-04층,43,33,02-355-8680,3421
푸르미지역아동센터,B8523,(아동) 지역아동센터,아동복지시설,자치구,방호식,1153000000,구로구,"서울특별시 구로구 경서로 47502호, 503호 (고척동)",33,33,02-816-1515,8232
베다니꿈나무지역아동센터,B8544,(아동) 지역아동센터,아동복지시설,자치구,박계숙,1147000000,양천구,서울특별시 양천구 남부순환로65길 12-22층,19,17,02-6403-5081,7927
위캔지역아동센터,B8545,(아동) 지역아동센터,아동복지시설,자치구,최선영,1150000000,강서구,서울특별시 강서구 까치산로12길 8-164층,22,22,02-2690-0157,7677
청솔지역아동센터,B8558,(아동) 지역아동센터,아동복지시설,자치구,김철희,1162000000,관악구,서울특별시 관악구 남부순환로161가길 712층,29,26,02-857-5599,151873
"오,예스청소년지역아동센터",B8561,(아동) 지역아동센터,아동복지시설,자치구,이숙희,1154500000,금천구,서울특별시 금천구 독산로64길 50 (독산동),33,31,02-803-2340,8561
사비오그룹홈,B8574,(아동) 공동생활가정,아동복지시설,자치구,백명옥,1121500000,광진구,서울특별시 광진구 자양로44길 149-02층,7,5,02-458-1317,4959
멘토지역아동센터,B8589,(아동) 지역아동센터,아동복지시설,자치구,장희주,1154500000,금천구,서울특별시 금천구 독산로40길 261층,19,19,02-802-0034,8568
푸른하늘지역아동센터,B8600,(아동) 지역아동센터,아동복지시설,자치구,김희경,1129000000,성북구,서울특별시 성북구 장위로40길 6,27,27,070-8162-9757,136833
영라이프그룹홈,B8635,(아동) 공동생활가정,아동복지시설,자치구,김영화,1138000000,은평구,서울특별시 은평구 연서로37가길 23-1201호,7,6,02-352-0361,3339
제일강동지역아동센터,B8654,(아동) 지역아동센터,아동복지시설,자치구,이수정,1174000000,강동구,서울특별시 강동구 양재대로128길 53301호 (길동),35,33,070-8654-7542,5298
신나는지역아동센터,B8665,(아동) 지역아동센터,아동복지시설,자치구,엄창식,1135000000,노원구,서울특별시 노원구 중계로14가길 293층 (중계동)(중계동),19,17,02-934-4927,1725
세림지역아동센터,B8694,(아동) 지역아동센터,아동복지시설,자치구,김일부,1154500000,금천구,서울특별시 금천구 금하로 658,29,23,02-809-0004,8628
조원지역아동센터,B8700,(아동) 지역아동센터,아동복지시설,자치구,이소영,1162000000,관악구,서울특별시 관악구 조원중앙로2길 711층,19,19,02-838-9031,8766
참솔지역아동센터,B8722,(아동) 지역아동센터,아동복지시설,자치구,서행심,1132000000,도봉구,서울특별시 도봉구 시루봉로 193-02층,35,32,02-932-4738,1315
행복한지역아동센터,B8728,(아동) 지역아동센터,아동복지시설,자치구,이지현,1138000000,은평구,"서울특별시 은평구 연서로 392층,3층",45,33,02-386-3246,3418
도서관 속 별난학교 지역아동센터,B8747,(아동) 지역아동센터,아동복지시설,자치구,최지선,1132000000,도봉구,서울특별시 도봉구 방학로 200-202층 (방학동),19,19,070-8638-1972,1359
살구지역아동센터,B8752,(아동) 지역아동센터,아동복지시설,자치구,이윤경,1154500000,금천구,서울특별시 금천구 시흥대로148길 27 (독산동),19,18,02-861-3007,8539
아름다운지역아동센터,B8768,(아동) 지역아동센터,아동복지시설,자치구,장경필,1132000000,도봉구,서울특별시 도봉구 도봉로104길 632층,49,37,02-904-2641,132920
하늘지역아동센터,B8801,(아동) 지역아동센터,아동복지시설,자치구,유승재,1154500000,금천구,서울특별시 금천구 문성로 122층,34,33,02-837-2305,8552
성동지역아동복지센터,B8814,(아동) 지역아동센터(지역아동복지센터),아동복지시설,자치구,이소영,1120000000,성동구,서울특별시 성동구 왕십리로21라길 11(하왕십리동),30,30,02-2292-0149,4714
겨레얼학교지역아동센터,B8834,(아동) 지역아동센터,아동복지시설,자치구,순영옥,1147000000,양천구,서울특별시 양천구 가로공원로60길 15 (신월동),40,35,02-2602-9560,7911
무학지역아동센터,B8863,(아동) 지역아동센터,아동복지시설,자치구,박은정,1120000000,성동구,서울특별시 성동구 왕십리로31나길 292층 (하왕십리동),24,19,02-2294-0388,4710
행복한지역아동센터,B8873,(아동) 지역아동센터,아동복지시설,자치구,김현지,1162000000,관악구,서울특별시 관악구 법원단지13길 22 (신림동)(신림동),29,25,02-6397-8961,8852
우리지역아동센터,B8875,(아동) 지역아동센터,아동복지시설,자치구,이용순,1147000000,양천구,서울특별시 양천구 중앙로51길 362층,25,23,070-4306-6712,7934
한길지역아동센터,B8928,(아동) 지역아동센터,아동복지시설,자치구,김옥열,1150000000,강서구,서울특별시 강서구 공항대로65길 21-0상가 1층,19,19,02-3665-8733,7561
예사랑지역아동센터,B8939,(아동) 지역아동센터,아동복지시설,자치구,이수영,1159000000,동작구,서울특별시 동작구 장승배기로10가길 124-02층(예사랑교회),47,36,02-815-5229,6966
아이들의울타리지역아동센터,B8944,(아동) 지역아동센터,아동복지시설,자치구,박미경,1159000000,동작구,서울특별시 동작구 장승배기로20길 8201호,25,25,28140287,6925
아름다운지역아동센터,B8953,(아동) 지역아동센터,아동복지시설,자치구,신정애,1171000000,송파구,서울특별시 송파구 중대로16길 9301호,25,23,24494859,5824
독산1동지역아동센터,B8963,(아동) 지역아동센터,아동복지시설,자치구,유명철,1154500000,금천구,서울특별시 금천구 벚꽃로 73상가 306호,32,32,02-6677-1112,8596
Ah'늘함께지역아동복지센터,B8968,(아동) 지역아동센터,아동복지시설,자치구,조성아,1138000000,은평구,서울특별시 은평구 갈현로11길30 (구산동) 은평천사원내,60,44,7071135617,3428
동그라미지역아동센터,B8969,(아동) 지역아동센터,아동복지시설,자치구,이애자,1138000000,은평구,서울특별시 은평구 갈현로41길 9 (갈현동),29,29,23838883,3318
푸른나무지역아동센터,B8993,(아동) 지역아동센터,아동복지시설,자치구,설현순,1159000000,동작구,서울특별시 동작구 흑석한강로 134층 (흑석동),27,26,28257267,6982
흑석희망지역아동센터,B9042,(아동) 지역아동센터,아동복지시설,자치구,심후석,1159000000,동작구,서울특별시 동작구 흑석동10번지 명수대현대아파트 B상가 4층 402호,19,18,28168031,6904
금천행복한지역아동센터,B9052,(아동) 지역아동센터,아동복지시설,자치구,김용희,1154500000,금천구,"서울특별시 금천구 독산로119, 3층 (시흥동)",33,33,02-895-9561,8625
청소년1318해피존나무를심는학교,B9053,(아동) 지역아동센터,아동복지시설,자치구,이바울,1141000000,서대문구,서울특별시 서대문구 북아현로14길 55,19,18,070-8156-2147,3749
나누리지역아동센터,B9071,(아동) 지역아동센터,아동복지시설,자치구,황삼연,1123000000,동대문구,서울특별시 동대문구 전농로17길 7나누리지역아동센터,35,30,02-2247-7103,2546
신광지역아동센터,B9098,(아동) 지역아동센터,아동복지시설,자치구,유수현,1154500000,금천구,"서울특별시 금천구 한내로69-15, 주공13단지 1316동 207호 (독산동)",19,18,070-8621-5762,8598
에듀존도봉지역아동센터,B9102,(아동) 지역아동센터,아동복지시설,자치구,구본영,1132000000,도봉구,서울특별시 도봉구 해등로 1114층,49,35,7041171511,1427
슬기의집,B9103,(아동) 공동생활가정,아동복지시설,자치구,정순란,1129000000,성북구,"서울특별시 성북구 성북로8다길 17403호 (성북동, 경완빌라)(성북동, 경완빌라)",7,4,02-984-4765,2835
푸른꿈나무지역아동센터,B9116,(아동) 지역아동센터,아동복지시설,자치구,박상현,1138000000,은평구,서울특별시 은평구 불광로 1213층,29,27,23890554,3353
예수그리스도의집,B9145,(아동) 공동생활가정,아동복지시설,자치구,김선명,1162000000,관악구,서울특별시 관악구 양지5길 36 (신림동),7,4,02-889-6124,8846
창동드림지역아동센터,B9148,(아동) 지역아동센터,아동복지시설,자치구,조래연,1132000000,도봉구,서울특별시 도봉구 우이천로4다길32(창동478-2)32 (창동),28,28,29978790,1479
생명강지역아동센터,B9153,(아동) 지역아동센터,아동복지시설,자치구,곽태성,1126000000,중랑구,서울특별시 중랑구 동일로123길 21,40,40,02-438-0118,2108
친구네지역아동센터,B9193,(아동) 지역아동센터,아동복지시설,자치구,이정연,1111000000,종로구,서울특별시 종로구 창신동창신길 59 4층,29,23,27450794,3097
세종지역아동센터,B9214,(아동) 지역아동센터,아동복지시설,자치구,신민경,1111000000,종로구,서울특별시 종로구 통일로12길 10-142층,19,19,27309791,3029
사랑의지역아동센터,B9228,(아동) 지역아동센터,아동복지시설,자치구,이정애,1130500000,강북구,서울특별시 강북구 삼양로20길53 (미아동),19,19,02-986-5788,1208
암사지역아동센터,B9254,(아동) 지역아동센터,아동복지시설,자치구,선순제,1174000000,강동구,서울특별시 강동구 고덕로27길 28 (암사동),35,35,02-481-9711,5236
행복한지역아동센터,B9260,(아동) 지역아동센터,아동복지시설,자치구,김지연,1121500000,광진구,"서울특별시 강서구 강서로 532106동 306호 (가양동, 동신아파트,대아아파트)(가양동, 동신아파트,대아아파트)",26,25,24548891,7524
섬기는지역아동센터,B9264,(아동) 지역아동센터,아동복지시설,자치구,박숙희,1153000000,구로구,서울특별시 구로구 개봉로17아길 51-12 (개봉동),34,33,070-7806-1414,8339
우애의집,B9273,(아동) 공동생활가정,아동복지시설,자치구,전인옥,1129000000,성북구,"서울특별시 성북구 장위로 31103호 (장위동, 신장위아파트)",7,5,29824345,2754
여의칸지역아동센터,B9284,(아동) 지역아동센터,아동복지시설,자치구,김계순,1165000000,서초구,서울특별시 서초구 서초대로 532층 (방배동),23,23,25881519,6570
구립석관동꿈나무키우미돌봄센터,B9302,(아동) 지역아동센터,아동복지시설,자치구,전해숙,1129000000,성북구,서울특별시 성북구 한천로79길 14-14 (석관동),35,31,02-959-8790,2783
새숲공부방,B9304,(아동) 지역아동센터,아동복지시설,자치구,이선희,1162000000,관악구,"서울특별시 관악구 광신길 160101동 101호/106호 (신림동, 신림1단지주공아파트)",19,17,28843572,8848
푸른우리집,B9309,(아동) 공동생활가정,아동복지시설,자치구,한정희,1174000000,강동구,"서울특별시 강동구 아리수로76길 36-0(고덕동, 1,2층 201호)",7,6,29009860,5219
서초꿈,B9322,(아동) 아동양육시설,아동복지시설,자치구,조휘옥,1165000000,서초구,서울특별시 서초구 서초대로 114-14 (방배동),5,3,25950235,6664
구립광현청소년 지역아동센터,B9323,(아동) 지역아동센터,아동복지시설,자치구,송재화,1138000000,은평구,서울특별시 은평구 연서로27길 31-7지층 (갈현동),34,34,23583004,3332
새비전지역아동센터,B9329,(아동) 지역아동센터,아동복지시설,자치구,임후남,1171000000,송파구,"서울특별시 송파구 거마로7길 4444-5, 201호 (거여동)",25,25,7089528028,5736
드림홈스쿨,B9330,(아동) 지역아동센터,아동복지시설,자치구,한경미,1154500000,금천구,"서울특별시 금천구 가산로 106(202호, 주상복합두산아파트) (가산동, 주상복합두산아파트)",33,33,070-7798-5405,8532
비전스쿨지역아동센터,B9332,(아동) 지역아동센터,아동복지시설,자치구,문장한,1138000000,은평구,서울특별시 은평구 가좌로7나길 172층,19,18,070-7502-4812,3481
늘푸른청소년미래,B9336,(아동) 공동생활가정,아동복지시설,자치구,기영희,1162000000,관악구,서울특별시 관악구 약수암1길 6-8 (신림동),7,5,02-887-1070,8823
맑은지역아동센터,B9340,(아동) 지역아동센터,아동복지시설,자치구,이인아,1138000000,은평구,서울특별시 은평구 진흥로9길 8-172층,29,29,23876988,122896
구립예꿈터지역아동센터,B9352,(아동) 지역아동센터,아동복지시설,자치구,송선용,1141000000,서대문구,서울특별시 서대문구 문화촌길6-4 (홍제동),40,38,02-379-2313,120650
동산비젼스쿨지역아동센터,B9359,(아동) 지역아동센터,아동복지시설,자치구,김경숙,1130500000,강북구,서울특별시 강북구 오현로 103층,19,18,02-945-5240,1216
두날개지역아동센터,B9365,(아동) 지역아동센터,아동복지시설,자치구,문제영,1156000000,영등포구,서울특별시 영등포구 가마산로 333 유현빌딩 3층 (대림동),35,33,02-824-3796,7378
행복한우리,B9398,(아동) 공동생활가정,아동복지시설,자치구,권혜경,1171000000,송파구,"서울특별시 송파구 올림픽로47길9-10, 301호 (풍납동)",7,6,260845526,5538
서울영아일시보호소,B9400,(아동) 아동일시보호시설,아동복지시설,자치구,강신혜,1168000000,강남구,서울특별시 강남구 논현로86길 214층 (역삼동),15,0,25521018,6220
꿈사랑방지역아동센터,B9406,(아동) 지역아동센터,아동복지시설,자치구,박은자,1123000000,동대문구,"서울특별시 동대문구 답십리동80호 청솔우성아파트상가3층 308,309",25,21,222125777,130650
오륜레인보우지역아동센터,B9416,(아동) 지역아동센터,아동복지시설,자치구,이문용,1174000000,강동구,서울특별시 강동구 강동대로53길 73 (성내동),35,35,7078645994,5406
CLC희망학교,B9436,(아동) 지역아동센터,아동복지시설,자치구,조진희,1154500000,금천구,"서울특별시 금천구 시흥대로306, 3층 (독산동)",35,31,02-6268-1419,8619
새터민청소년그룹홈<한식구>,B9447,(아동) 공동생활가정,아동복지시설,자치구,이태현,1129000000,성북구,서울특별시 성북구 정릉2동북악산로 1다길 3 2층 (정릉동),7,6,29117817,2721
봄채,B9462,(아동) 공동생활가정,아동복지시설,자치구,윤설희,1171000000,송파구,서울특별시 송파구 동남로24길 114층,7,7,7042446801,5740
예원,B9467,(아동) 공동생활가정,아동복지시설,자치구,김필저,1150000000,강서구,"서울특별시 강서구 강서로45길138, 804호 (내발산동)",7,6,226900874,7638
샘지역아동센터,B9475,(아동) 지역아동센터,아동복지시설,자치구,지정의,1138000000,은평구,서울특별시 은평구 연서로11길 7-2,19,17,262055237,3413
구립상계1동지역아동센터,B9515,(아동) 지역아동센터,아동복지시설,자치구,강지현,1135000000,노원구,서울특별시 노원구 동일로1697 (상계동) 상계1동주민센터 2층,19,16,221162734,1604
행복한지역아동센터,B9536,(아동) 지역아동센터,아동복지시설,자치구,서영숙,1123000000,동대문구,서울특별시 동대문구 외대역동로75 (이문동),39,31,29575090,2427
안젤라의집,B9552,(아동) 공동생활가정,아동복지시설,자치구,김인옥,1129000000,성북구,서울특별시 성북구 장위로32길장위로32길 11,7,6,29168778,2746
방화지역아동센터,B9555,(아동) 지역아동센터,아동복지시설,자치구,이동훈,1150000000,강서구,"서울특별시 강서구 양천로6길28, 3층 301호 (방화동)",39,38,02-2662-6277,7611
한빛지역아동센터,B9556,(아동) 지역아동센터,아동복지시설,자치구,서란,1129000000,성북구,"서울특별시 성북구 동소문로34길24, 304,305호 (돈암동, 삼성아파트 제비상가)",25,18,02-921-8411,2807
구립상계3.4동지역아동센터,B9557,(아동) 지역아동센터,아동복지시설,자치구,서경하,1135000000,노원구,"서울특별시 노원구 덕릉로859, 3층 (상계동)",35,32,29525748,1633
우등생지역아동센터,B9559,(아동) 지역아동센터,아동복지시설,자치구,김미숙,1174000000,강동구,서울특별시 강동구 진황도로23길 7 (천호동),29,23,220417871,5334
구립월계지역아동센터,B9569,(아동) 지역아동센터,아동복지시설,자치구,김보경,1135000000,노원구,"서울특별시 노원구 초안산로 1길51, 2층 (월계동, 월계종합사회복지관)",35,35,29974216,1881
구립상계숲속지역아동센터,B9573,(아동) 지역아동센터,아동복지시설,자치구,조호미나,1135000000,노원구,서울특별시 노원구 동일로227길106,23,20,02-3391-7889,1618
구립공릉지역아동센터,B9578,(아동) 지역아동센터,아동복지시설,자치구,이지연,1135000000,노원구,서울특별시 노원구 공릉동708번지 공릉종합사회복지관 3층,29,29,29752464,1851
구립종암동꿈나무키우미돌봄센터,B9579,(아동) 지역아동센터,아동복지시설,자치구,나경훈,1129000000,성북구,서울특별시 성북구 종암로19길18 (종암동),49,45,070-4348-2084,2804
해오름지역아동센터,B9595,(아동) 지역아동센터,아동복지시설,자치구,김경이,1171000000,송파구,"서울특별시 송파구 백제고분로40길23, 2층 (석촌동)",25,23,24137661,5686
함께하는사랑밭독산지역아동센터,B9614,(아동) 지역아동센터,아동복지시설,자치구,김연정,1154500000,금천구,서울특별시 금천구 문성로44 (독산동),49,34,7087813808,8551
강북구 공립지역아동센터,B9628,(아동) 지역아동센터,아동복지시설,자치구,김경화,1130500000,강북구,서울특별시 강북구 도봉로96다길15 (번동),32,30,02-900-1987,1060
풍성한지역아동센터,B9650,(아동) 지역아동센터,아동복지시설,자치구,김경진,1138000000,은평구,서울특별시 은평구 증산로15길 62-12층 (신사동),19,16,23585489,3443
초록나무학교,B9651,(아동) 지역아동센터,아동복지시설,자치구,나영학,1147000000,양천구,서울특별시 양천구 오목로38길29 (신정동),19,19,7073970312,8027
구립초안산숲속지역아동센터,B9654,(아동) 지역아동센터,아동복지시설,자치구,김혜숙,1135000000,노원구,서울특별시 노원구 덕릉로60길 199 (월계동),19,15,29053900,1870
다사랑영등포지역아동센터,B9689,(아동) 지역아동센터,아동복지시설,자치구,박상민,1156000000,영등포구,"서울특별시 영등포구 신길로42길35, 111동 903호 (신길동, 삼성래미안아파트)",23,23,070-7779-5007,7362
구립가재울지역아동센터,B9698,(아동) 지역아동센터,아동복지시설,자치구,임미심,1141000000,서대문구,"서울특별시 서대문구 거북골로195-1, 2층 (북가좌동, 서대문꿈나무지원센터)",40,40,02-376-1262,3714
조이드림지역아동센터,B9706,(아동) 지역아동센터,아동복지시설,자치구,안미숙,1156000000,영등포구,서울특별시 영등포구 당산로38길 9-3 (당산동4가),19,16,070-4257-9191,7220
