일반명코드,제형구분코드,제형,일반명,분류번호,투여,함량,단위
215902ATR,TR,서방형정제,potassium citrate,259,내복,1.08,g
216001BIJ,IJ,주사제,potassium phosphate monobasic,339,주사,136.1,mg/20ml
216002BIJ,IJ,주사제,potassium phosphate monobasic,339,주사,204.15,mg/30ml
216003BIJ,IJ,주사제,potassium phosphate monobasic,339,주사,2041.5,mg/300ml
216004BIJ,IJ,주사제,potassium phosphate monobasic,339,주사,680.5,mg/100ml
216030BIJ,IJ,주사제,potassium phosphate monobasic,339,주사,2.722,g(0.1361g/mL)
216101COS,OS,점안제(점안액),povidone,131,외용,20,mg
216102COS,OS,점안제(점안액),povidone,131,외용,50,mg
216103COS,OS,점안제(점안액),povidone,131,외용,25,mg
216104COS,OS,점안제(점안액),povidone,131,외용,40,mg
216105CLQ,LQ,액제,povidone,131,외용,12.5,mg
216130COS,OS,점안제(점안액),povidone,131,외용,25,mg(50mg/mL)
216131COS,OS,점안제(점안액),povidone,131,외용,40,mg(50mg/mL)
216133COS,OS,점안제(점안액),povidone,131,외용,0.14,g(20mg/mL)
216134COS,OS,점안제(점안액),povidone,131,외용,0.2,g(20mg/mL)
216135COS,OS,점안제(점안액),povidone,131,외용,0.3,g(20mg/mL)
216136COS,OS,점안제(점안액),povidone,131,외용,0.5,g(50mg/mL)
216201CDS,DS,스폰지 및 드레싱,povidone iodine,263,외용,0.1,g
216201CLQ,LQ,액제,povidone iodine,261,외용,0.1,g
216201COM,OM,연고제,povidone iodine,261,외용,100,mg
216202CLQ,LQ,액제,povidone iodide,231,외용,1,mg
216202COM,OM,연고제,povidone iodine,261,외용,1,mg
216203CSP,SP,좌제,povidone iodine,255,외용,0.2,g
216204COS,OS,점안제(점안액),povidone iodide,131,외용,20,mg
216205CLQ,LQ,액제,povidone iodide,231,외용,7.5,mg
216206CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,75,mg
216206CLQ,LQ,액제,povidone iodine,261,외용,75,mg
216207CLQ,LQ,액제,povidone iodine,259,외용,100,mg
216208CDS,DS,스폰지 및 드레싱,povidone iodide,261,외용,130,mg
216209CLQ,LQ,액제,povidone iodide,231,외용,4.5,mg
216209CSI,SI,분무제 및 흡입제,povidone iodine,231,외용,4.5,mg
216210CDS,DS,스폰지 및 드레싱,povidone iodide,261,외용,140,mg
216211CDS,DS,스폰지 및 드레싱,povidone iodide,261,외용,196,mg
216212CAE,AE,에어로솔제,povidone iodine,262,외용,50,mg
216212CCM,CM,"크림제,겔제,젤리",povidone iodine,131,외용,50,mg
216212CLQ,LQ,액제,povidone iodide,131,외용,50,mg
216213CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,15,g
216214CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,10,g
216215CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,8,g
216216CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,1.5,g(75mg/mL)
216227CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,2.25,g
216228CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,0.11,g
216228CLQ,LQ,액제,povidone iodine,261,외용,110,mg
216229CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,150,mg
216230CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,5,g
216231CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,10,mg
216232CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,1.875,g(75mg/mL)
216234CSI,SI,분무제 및 흡입제,Povidone Iodine,261,외용,25,mg
216240CLQ,LQ,액제,povidone iodine,231,외용,0.75,g(7.5mg/mL)
216241CLQ,LQ,액제,povidone iodine,231,외용,0.9,g(7.5mg/mL)
216242CLQ,LQ,액제,povidone iodine,231,외용,7.5,g(7.5mg/mL)
216243CLQ,LQ,액제,povidone iodine,259,외용,25,g(0.1g/mL)
216244CLQ,LQ,액제,povidone iodine,231,외용,30,g(7.5mg/mL)
216245COM,OM,연고제,povidone iodine,261,외용,45,g(0.1g/g)
216246CLQ,LQ,액제,povidone iodine,259,외용,100,g(0.1g/mL)
216247CLQ,LQ,액제,povidone iodine,259,외용,400,g(0.1g/mL)
216248CSI,SI,분무제 및 흡입제,povidone iodine,231,외용,0.225,g(4.5mg/mL)
216249CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,1.125,g(75mg/mL)
216250CDS,DS,스폰지 및 드레싱,povidone iodine,261,외용,1.125,g
216252CLQ,LQ,액제,povidone iodine,259,외용,9,g(0.1g/mL)
216301ATB,TB,"정제,저작정",pralidoxime HCl,392,내복,500,mg
216301BIJ,IJ,주사제,pralidoxime HCl,392,주사,500,mg
216401ACH,CH,경질캡슐제,pranlukast hydrate,149,내복,0.1125,g
216402ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",pranlukast hydrate,149,내복,0.1,g
216402ASY,SY,"시럽제,건조시럽",pranlukast hydrate,149,내복,100,mg
216403ACH,CH,경질캡슐제,pranlukast hydrate,149,내복,0.1125,g/회
216404ATB,TB,"정제,저작정",pranlukast hydrate,149,내복,75,mg
216405ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",pranlukast hydrate,149,내복,50,mg
216405ATB,TB,"정제,저작정",pranlukast hydrate,149,내복,50,mg
216406ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",pranlukast hydrate,149,내복,70,mg
216407ASS,SS,"현탁액제,현탁액용정제,현탁액용산제",pranlukast hydrate,149,내복,0.14,g
216408ATB,TB,"정제,저작정",pranlukast hydrate,149,내복,50,mg
216430ASY,SY,"시럽제,건조시럽",pranlukast hydrate,149,내복,50,mg(0.1g/g)
216431ASY,SY,"시럽제,건조시럽",pranlukast hydrate,149,내복,70,mg(0.1g/g)
216432ASY,SY,"시럽제,건조시럽",pranlukast hydrate,149,내복,0.1,g(0.1g/g)
216433ASY,SY,"시럽제,건조시럽",pranlukast hydrate,149,내복,10,g(0.1g/g)
216501ASY,SY,"시럽제,건조시럽",pranoprofen,114,내복,15,mg
216502COS,OS,점안제(점안액),pranoprofen,131,외용,1,mg
216503ASY,SY,"시럽제,건조시럽",pranoprofen,114,내복,7.5,mg
216504ACH,CH,경질캡슐제,pranoprofen,114,내복,75,mg
216504ATB,TB,"정제,저작정",pranoprofen,114,내복,75,mg
216530COS,OS,점안제(점안액),pranoprofen,131,외용,5,mg(1mg/mL)
216531COS,OS,점안제(점안액),pranoprofen,131,외용,6,mg(1mg/mL)
216532ASY,SY,"시럽제,건조시럽",pranoprofen,114,내복,0.45,g(7.5mg/mL)
216533ASY,SY,"시럽제,건조시럽",pranoprofen,114,내복,0.75,g(7.5mg/mL)
216534ASY,SY,"시럽제,건조시럽",pranoprofen,114,내복,3.75,g(7.5mg/mL)
216535ASY,SY,"시럽제,건조시럽",pranoprofen,114,내복,7.5,g(7.5mg/mL)
216536ASY,SY,"시럽제,건조시럽",pranoprofen,114,내복,15,mg (15mg/mL)
216601ATB,TB,"정제,저작정",pravastatin sodium,218,내복,10,mg
216602ATB,TB,"정제,저작정",pravastatin sodium,218,내복,5,mg
216603ATB,TB,"정제,저작정",pravastatin sodium,218,내복,20,mg
216604ATB,TB,"정제,저작정",pravastatin sodium,218,내복,40,mg
216701ATB,TB,"정제,저작정",praziquantel,642,내복,150,mg
216702ATB,TB,"정제,저작정",praziquantel,642,내복,0.6,g
216703ATR,TR,서방형정제,praziquantel,642,내복,300,mg
216801ATB,TB,"정제,저작정",prazosin HCl,214,내복,1,mg
216802ATB,TB,"정제,저작정",prazosin HCl,214,내복,2,mg
216803ATB,TB,"정제,저작정",prazosin HCl,214,내복,5,mg
216901CCM,CM,"크림제,겔제,젤리",prednicarbate,269,외용,2.5,mg
216901CLQ,LQ,액제,prednicarbate,269,외용,2.5,mg
216901CLT,LT,로션제,prednicarbate,269,외용,2.5,mg
216901COM,OM,연고제,prednicarbate,269,외용,2.5,mg
216902CCM,CM,"크림제,겔제,젤리",prednicarbate,269,외용,1,mg
216930CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,10,mg(1mg/g)
216931CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,12.5,mg(2.5mg/g)
216931COM,OM,연고제,prednicarbate,264,외용,12.5,mg(2.5mg/g)
216932CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,25,mg(2.5mg/g)
216932COM,OM,연고제,prednicarbate,264,외용,25,mg(2.5mg/g)
216933CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,37.5,mg(2.5mg/g)
216933COM,OM,연고제,prednicarbate,264,외용,37.5,mg(2.5mg/g)
216934COM,OM,연고제,prednicarbate,264,외용,45,mg(2.5mg/g)
216935CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,50,mg(2.5mg/g)
216935CLT,LT,로션제,prednicarbate,264,외용,50,mg(2.5mg/g)
216935COM,OM,연고제,prednicarbate,264,외용,50,mg(2.5mg/g)
216936CLQ,LQ,액제,prednicarbate,264,외용,50,mg(2.5mg/mL)
216937COM,OM,연고제,prednicarbate,264,외용,55,mg(2.5mg/g)
216938COM,OM,연고제,prednicarbate,264,외용,62.5,mg(2.5mg/g)
216939CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,75,mg(2.5mg/g)
216939COM,OM,연고제,prednicarbate,264,외용,75,mg(2.5mg/g)
216940CLQ,LQ,액제,prednicarbate,264,외용,75,mg(2.5mg/mL)
216941CLQ,LQ,액제,prednicarbate,264,외용,87.5,mg(2.5mg/mL)
216942CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,0.125,g(2.5mg/g)
216943CLQ,LQ,액제,prednicarbate,264,외용,0.125,g(2.5mg/mL)
216944COM,OM,연고제,prednicarbate,264,외용,0.1375,g(2.5mg/g)
216945CLT,LT,로션제,prednicarbate,264,외용,0.15,g(2.5mg/g)
216946CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,1.125,g(2.5mg/g)
216946COM,OM,연고제,prednicarbate,264,외용,1.125,g(2.5mg/g)
216947CCM,CM,"크림제,겔제,젤리",prednicarbate,264,외용,1.25,g(2.5mg/g)
216947CLT,LT,로션제,prednicarbate,264,외용,1.25,g(2.5mg/g)
216947COM,OM,연고제,prednicarbate,264,외용,1.25,g(2.5mg/g)
216948CLQ,LQ,액제,prednicarbate,264,외용,1.25,g(2.5mg/mL)
216949CLQ,LQ,액제,prednicarbate,264,외용,0.1475,g(2.5mg/mL)
217001ATB,TB,"정제,저작정",prednisolone,245,내복,5,mg
217002CCM,CM,"크림제,겔제,젤리",prednisolone,269,외용,2.5,mg
217002CLQ,LQ,액제,prednisolone,269,외용,2.5,mg
217002CLT,LT,로션제,prednisolone,269,외용,2.5,mg
217003ASY,SY,"시럽제,건조시럽",prednisolone,245,내복,1,mg
217004ASY,SY,"시럽제,건조시럽",prednisolone,245,내복,3,mg
217030ASY,SY,"시럽제,건조시럽",prednisolone,245,내복,3,mg(3mg/mL)
217032CCM,CM,"크림제,겔제,젤리",prednisolone,269,외용,25,mg(2.5mg/g)
217033CLT,LT,로션제,prednisolone,269,외용,0.25,g(2.5mg/mL)
217034ASY,SY,"시럽제,건조시럽",prednisolone,245,내복,0.5,g(1mg/mL)
217035ASY,SY,"시럽제,건조시럽",prednisolone,245,내복,1.5,g(3mg/mL)
217101BIJ,IJ,주사제,prednisolone acetate,245,주사,110,mg
217102COS,OS,점안제(점안액),prednisolone acetate,131,외용,1.2,mg
217103COS,OS,점안제(점안액),prednisolone acetate,131,외용,10,mg
217104BIJ,IJ,주사제,prednisolone acetate,245,주사,100,mg
217130COS,OS,점안제(점안액),prednisolone acetate,131,외용,12,mg(1.2mg/mL)
217131COS,OS,점안제(점안액),prednisolone acetate,131,외용,50,mg(10mg/mL)
217132COS,OS,점안제(점안액),prednisolone acetate,131,외용,0.1,g(10mg/mL)
217133COS,OS,점안제(점안액),prednisolone acetate,131,외용,6,mg(1.2mg/mL)
217134BIJ,IJ,주사제,prednisolone acetate,245,주사,0.1,g(5mg/mL)
217135COS,OS,점안제(점안액),prednisolone acetate,131,외용,4,mg(10mg/mL)
217136COS,OS,점안제(점안액),prednisolone acetate,131,외용,85,mg(10mg/mL)
217137COS,OS,점안제(점안액),prednisolone acetate,131,외용,75,mg(10mg/mL)
217138COS,OS,점안제(점안액),prednisolone acetate,131,외용,65,mg(10mg/mL)
217139COS,OS,점안제(점안액),prednisolone acetate,131,외용,60,mg(10mg/mL)
217201COS,OS,점안제(점안액),prednisolone sodium phosphate,131,외용,1,mg
217301BIJ,IJ,주사제,prednisolone sodium succinate,245,주사,1,g
217302BIJ,IJ,주사제,prednisolone sodium succinate,245,주사,0.25,g
217401ATB,TB,"정제,저작정",prednisolone stearylglycolate,245,내복,6.65,mg
217501CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,269,외용,3,mg
217501CLT,LT,로션제,prednisolone valeroacetate,269,외용,3,mg
217501COM,OM,연고제,prednisolone valeroacetate,264,외용,3,mg
217530CLT,LT,로션제,prednisolone valeroacetate,264,외용,15,mg(3mg/g)
217531CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,30,mg(3mg/g)
217531CLT,LT,로션제,prednisolone valeroacetate,264,외용,30,mg(3mg/g)
217531COM,OM,연고제,prednisolone valeroacetate,264,외용,30,mg(3mg/g)
217532CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,45,mg(3mg/g)
217532CLT,LT,로션제,prednisolone valeroacetate,264,외용,45,mg(3mg/g)
217532COM,OM,연고제,prednisolone valeroacetate,264,외용,45,mg(3mg/g)
217533CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,60,mg(3mg/g)
217534CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,90,mg(3mg/g)
217535CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,0.18,g(3mg/g)
217535CLT,LT,로션제,prednisolone valeroacetate,264,외용,0.18,g(3mg/g)
217536CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,1.35,g(3mg/g)
217536COM,OM,연고제,prednisolone valeroacetate,264,외용,1.35,g(3mg/g)
217537CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,1.5,g(3mg/g)
217538CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,22.5,mg(1.5mg/g)
217539CCM,CM,"크림제,겔제,젤리",prednisolone valeroacetate,264,외용,0.675,g(1.5mg/g)
217601ATB,TB,"정제,저작정",pridinol mesylate,122,내복,2,mg
217601BIJ,IJ,주사제,pridinol mesylate,122,주사,2,mg
217602ATB,TB,"정제,저작정",pridinol mesylate,122,내복,4,mg
217630BIJ,IJ,주사제,pridinol mesylate,122,주사,2,mg(2mg/mL)
217701ATB,TB,"정제,저작정",primaquine phosphate (as primaquine),641,내복,15,mg
217801ATB,TB,"정제,저작정",primidone,113,내복,0.25,g
217901ATB,TB,"정제,저작정",probenecid,394,내복,500,mg
218001ATB,TB,"정제,저작정",probucol,218,내복,0.25,g
218101ACH,CH,경질캡슐제,procainamide HCl,212,내복,250,mg
218102BIJ,IJ,주사제,procainamide HCl,212,주사,1000,mg
218201BIJ,IJ,주사제,procaine HCl,121,주사,20,mg
218202BIJ,IJ,주사제,procaine hydrochloride,121,주사,400,mg
218203BIJ,IJ,주사제,procaine hydrochloride,121,주사,200,mg
218204BIJ,IJ,주사제,procaine hydrochloride,121,주사,0.2,g(20mg/mL)
218230BIJ,IJ,주사제,procaine hydrochloride,121,주사,0.4,g(20mg/mL)
218301ATB,TB,"정제,저작정",procaterol hydrochloride,222,내복,25,μg
218302ATB,TB,"정제,저작정",procaterol hydrochloride,222,내복,50,μg
218303ASY,SY,"시럽제,건조시럽",procaterol HCl,222,내복,5,㎍
218304CSI,SI,분무제 및 흡입제,Procaterol HCl(micronized),222,외용,2,mg
218305CAE,AE,에어로솔제,procaterol HCl,222,외용,10,㎍
218330CSI,SI,분무제 및 흡입제,Procaterol hydrochloride(micronized),222,외용,2,mg(10μg/회)
218401ATB,TB,"정제,저작정",procyclidine hydrochloride,119,내복,5,mg
218501BIJ,IJ,주사제,progesterone,247,주사,500,mg
218502CCM,CM,"크림제,겔제,젤리",progesterone,247,외용,10,mg
218503CCM,CM,"크림제,겔제,젤리",progesterone,247,외용,90,mg
218504CSP,SP,좌제,progesterone,247,외용,0.2,g
218505BIJ,IJ,주사제,progesterone,247,주사,50,mg
218506BIJ,IJ,주사제,progesterone,247,주사,100,mg
218507BIJ,IJ,주사제,progesterone,247,주사,25,mg
218508CSP,SP,좌제,progesterone,247,외용,0.4,g
218530BIJ,IJ,주사제,progesterone,247,주사,0.5,g(50mg/mL)
218531BIJ,IJ,주사제,progesterone,247,주사,50,mg(50mg/mL)
218532BIJ,IJ,주사제,progesterone,247,주사,0.1,g(50mg/mL)
218601ACH,CH,경질캡슐제,proglumetacin maleate,114,내복,0.15,g
218602ATB,TB,"정제,저작정",proglumetacin maleate,114,내복,0.3,g
218603ACH,CH,경질캡슐제,proglumetacin maleate,114,내복,75,mg
218701ATB,TB,"정제,저작정",proglumide,232,내복,200,mg
218702ATB,TB,"정제,저작정",proglumide,232,내복,400,mg
218801ATB,TB,"정제,저작정",proguanil,641,내복,100,mg
218901ATB,TB,"정제,저작정",promegestone,247,내복,250,㎍
218902ATB,TB,"정제,저작정",promegestone,247,내복,500,㎍
218903ATB,TB,"정제,저작정",promegestone,247,내복,125,㎍
219001CCM,CM,"크림제,겔제,젤리",promestriene,247,외용,10,mg
219001CCS,CS,연질캡슐제,promestriene,247,외용,10,mg
219030CCM,CM,"크림제,겔제,젤리",promestriene,255,외용,0.15,g(10mg/g)
219101ATB,TB,"정제,저작정",promethazine HCl,141,내복,12.5,mg
219102ATB,TB,"정제,저작정",promethazine HCl,141,내복,25,mg
219201ATB,TB,"정제,저작정",pronase,395,내복,0.133,g
219201ATE,TE,장용정제,pronase,395,내복,0.133,g
219202ACE,CE,장용캡슐제,pronase,395,내복,70,mg
219202ACH,CH,경질캡슐제,pronase,395,내복,70,mg
219202ATB,TB,"정제,저작정",pronase,395,내복,70,mg
219203ACH,CH,경질캡슐제,pronase,395,내복,9000,I.U
219301ATB,TB,"정제,저작정",pronase B,395,내복,36,mg
219301ATE,TE,장용정제,pronase B,395,내복,36,mg
219302APD,PD,산제,pronase B,799,내복,40,mg
219401BIJ,IJ,주사제,propacetamol hydrochloride,114,주사,1,g
219501ATB,TB,"정제,저작정",propafenone hydrochloride,212,내복,0.15,g
219502ATB,TB,"정제,저작정",propafenone hydrochloride,212,내복,0.3,g
219503ACR,CR,서방캡슐제,propafenone hydrochloride,212,내복,0.225,g
219504ACR,CR,서방캡슐제,propafenone hydrochloride,212,내복,0.325,g
219505ACR,CR,서방캡슐제,propafenone hydrochloride,212,내복,0.425,g
219530BIJ,IJ,주사제,propafenone hydrochloride,212,주사,70,mg(3.5mg/mL)
219601COS,OS,점안제(점안액),proparacaine HCl,121,외용,5,mg
219602COS,OS,점안제(점안액),proparacaine HCl,121,외용,4,mg
219630COS,OS,점안제(점안액),proparacaine hydrochloride,121,외용,4,mg(5mg/mL)
219631COS,OS,점안제(점안액),proparacaine hydrochloride,121,외용,75,mg(5mg/mL)
219701ATB,TB,"정제,저작정",propiverine hydrochloride,259,내복,10,mg
219702ATB,TB,"정제,저작정",propiverine hydrochloride,259,내복,20,mg
219801BIJ,IJ,주사제,propofol,111,주사,1000,mg
219802BIJ,IJ,주사제,propofol,111,주사,120,mg
219803BIJ,IJ,주사제,propofol,111,주사,200,mg
219804BIJ,IJ,주사제,propofol,111,주사,500,mg
219805BIJ,IJ,주사제,propofol,111,주사,100,mg
219806BIJ,IJ,주사제,propofol,111,주사,150,mg
219807BIJ,IJ,주사제,propofol,111,주사,50,mg
219808BIJ,IJ,주사제,propofol,111,주사,80,mg
219830BIJ,IJ,주사제,propofol,111,주사,50,mg(10mg/mL)
219831BIJ,IJ,주사제,propofol,111,주사,80,mg(10mg/mL)
219832BIJ,IJ,주사제,propofol,111,주사,0.1,g(10mg/mL)
219833BIJ,IJ,주사제,propofol,111,주사,0.12,g(10mg/mL)
219834BIJ,IJ,주사제,propofol,111,주사,0.15,g(10mg/mL)
219835BIJ,IJ,주사제,propofol,111,주사,0.2,g(10mg/mL)
219836BIJ,IJ,주사제,propofol,111,주사,0.5,g(10mg/mL)
219837BIJ,IJ,주사제,propofol,111,주사,1,g(10mg/mL)
219838BIJ,IJ,주사제,propofol,111,주사,1,g(20mg/mL)
219839BIJ,IJ,주사제,propofol,111,주사,0.18,g(10mg/mL)
219901ATB,TB,"정제,저작정",propranolol hydrochloride,212,내복,10,mg
219902BIJ,IJ,주사제,propranolol HCl,212,주사,1,mg
219903ATB,TB,"정제,저작정",propranolol hydrochloride,212,내복,20,mg
219904ATB,TB,"정제,저작정",propranolol hydrochloride,212,내복,40,mg
219905ACR,CR,서방캡슐제,propranolol hydrochloride,212,내복,0.16,g
219906ACR,CR,서방캡슐제,propranolol hydrochloride,212,내복,80,mg
219907ALQ,LQ,액제,propranolol hydrochloride,429,내복,0.5136,g(4.28mg/mL)
219908ALQ,LQ,액제,propranolol hydrochloride,429,내복,4.28,mg(4.28mg/mL)
220001ACR,CR,서방캡슐제,propranolol HCl,212,내복,160,mg
220002ACR,CR,서방캡슐제,propranolol HCl,212,내복,80,mg
220101ATB,TB,"정제,저작정",propylthiouracil,243,내복,50,mg
220102ATB,TB,"정제,저작정",propylthiouracil,243,내복,0.1,g
220201ACH,CH,경질캡슐제,prostenoglycine,391,내복,420,mg
220301BIJ,IJ,주사제,protamine sulfate,339,주사,50,mg
220330BIJ,IJ,주사제,protamine sulfate,339,주사,50,mg(10mg/mL)
220401ATB,TB,"정제,저작정",prothionamide,622,내복,0.125,g
220402ATB,TB,"정제,저작정",prothionamide,622,내복,250,mg
220501BIJ,IJ,주사제,protirelin,722,주사,200,㎍
220601BIJ,IJ,주사제,protirelin tartrate(as protirelin),219,주사,1,mg
220602BIJ,IJ,주사제,protirelin tartrate(as protirelin),219,주사,2,mg
220603BIJ,IJ,주사제,protirelin tartrate (as protirelin),219,주사,0.5,mg
220630BIJ,IJ,주사제,protirelin tartrate (as protirelin),219,주사,0.5,mg(0.5mg/mL)
220701ATB,TB,"정제,저작정",protoporphyrin disodium,391,내복,20,mg
220901ATB,TB,"정제,저작정",pseudoephedrine hydrochloride,222,내복,30,mg
220902ATB,TB,"정제,저작정",pseudoephedrine hydrochloride,222,내복,60,mg
220903ALQ,LQ,액제,pseudoephedrine hydrochloride,229,내복,3,mg
221001AGN,GN,"과립제,세립",psyllium husk,238,내복,0.65,g
221002APD,PD,산제,psyllium husk,238,내복,3.25,g
221003APD,PD,산제,psyllium husk,238,내복,3,g
221004APD,PD,산제,psyllium husk,238,내복,3.5,g
221101ACH,CH,경질캡슐제,pygeum africanum,255,내복,25,mg
221201ATB,TB,"정제,저작정",pyrazinamide,622,내복,0.25,g
221202ATB,TB,"정제,저작정",pyrazinamide,622,내복,0.5,g
221301ACH,CH,경질캡슐제,pyrazinobutazone,114,내복,0.3,g
221401ATB,TB,"정제,저작정",pyridostigmine bromide,123,내복,60,mg
221402BIJ,IJ,주사제,pyridostigmine bromide,123,주사,5,mg
221430BIJ,IJ,주사제,pyridostigmine bromide,123,주사,5,mg(5mg/mL)
221501BIJ,IJ,주사제,pyridoxal phosphate,313,주사,30,mg
221601ATB,TB,"정제,저작정",pyridoxine HCl,313,내복,100,mg
221601BIJ,IJ,주사제,pyridoxine hydrochloride,313,주사,100,mg
221602ATB,TB,"정제,저작정",pyridoxine HCl,313,내복,25,mg
221603ATB,TB,"정제,저작정",pyridoxine hydrochloride,313,내복,50,mg
221603BIJ,IJ,주사제,pyridoxine hydrochloride,313,주사,50,mg
221604BIJ,IJ,주사제,pyridoxine hydrochloride,313,주사,50,mg(50mg/mL)
221701ACH,CH,경질캡슐제,pyrisuccideanol maleate,119,내복,300,mg
221801ACH,CH,경질캡슐제,quercus stenophylla ext.,259,내복,0.225,g
221901ATB,TB,"정제,저작정",quinapril hydrochloride (as quinapril),214,내복,10,mg
222001ATB,TB,"정제,저작정",quinidine sulfate,212,내복,200,mg
222002ATB,TB,"정제,저작정",quinidine sulfate,212,내복,300,mg
222101ATB,TB,"정제,저작정",quinupramine,117,내복,2.5,mg
222102ATB,TB,"정제,저작정",quinupramine,117,내복,7.5,mg
222201ATB,TB,"정제,저작정",rabeprazole sodium,232,내복,10,mg
222201ATE,TE,장용정제,rabeprazole sodium,232,내복,10,mg
222202ATB,TB,"정제,저작정",rabeprazole sodium,232,내복,20,mg
222202ATE,TE,장용정제,rabeprazole sodium,232,내복,20,mg
222203ATE,TE,장용정제,rabeprazole sodium,232,내복,5,mg
222301BIJ,IJ,주사제,raltitrexed,421,주사,2,mg
222401ACH,CH,경질캡슐제,ramipril,214,내복,2.5,mg
222401ATB,TB,"정제,저작정",ramipril,214,내복,2.5,mg
222402ACH,CH,경질캡슐제,ramipril,214,내복,5,mg
222402ATB,TB,"정제,저작정",ramipril,214,내복,5,mg
222403ACH,CH,경질캡슐제,ramipril,214,내복,1.25,mg
222404ACH,CH,경질캡슐제,ramipril,214,내복,10,mg
222404ATB,TB,"정제,저작정",ramipril,214,내복,10,mg
222501BIJ,IJ,주사제,ramosetron,235,주사,0.3,mg
222601ATB,TB,"정제,저작정",ramosetron HCl,235,내복,0.1,mg
222601ATD,TD,"확산정,속붕정,구강붕해정",ramosetron hydrochloride,235,내복,0.1,mg
222602ATB,TB,"정제,저작정",ramosetron hydrochloride,239,내복,2.5,μg
222603ATB,TB,"정제,저작정",ramosetron hydrochloride,239,내복,5,μg
222630BIJ,IJ,주사제,ramosetron hydrochloride,235,주사,0.3,mg(0.15mg/mL)
222701ATB,TB,"정제,저작정",ranitidine bismuth citrate,232,내복,400,mg
222801ATB,TB,"정제,저작정",ranitidine hydrochloride (as ranitidine),232,내복,0.15,g
222802BIJ,IJ,주사제,ranitidine hydrochloride (as ranitidine),232,주사,100,mg
222803ATB,TB,"정제,저작정",ranitidine hydrochloride (as ranitidine),232,내복,0.3,g
222804BIJ,IJ,주사제,ranitidine hydrochloride (as ranitidine),232,주사,50,mg
222805ALQ,LQ,액제,ranitidine hydrochloride (as ranitidine),232,내복,75,mg
222805ATB,TB,"정제,저작정",ranitidine hydrochloride (as ranitidine),232,내복,75,mg
222806BIJ,IJ,주사제,ranitidine HCl(as ranitidine),232,주사,25,mg
222807ATB,TB,"정제,저작정",Ranitidine Hydrochloride,232,내복,84,mg
222808ATB,TB,"정제,저작정",ranitidine hydrochloride,232,내복,168,mg
222830BIJ,IJ,주사제,ranitidine hydrochloride (as ranitidine),232,주사,50,mg(25mg/mL)
222831BIJ,IJ,주사제,ranitidine hydrochloride (as ranitidine),232,주사,0.1,g(25mg/mL)
222901ATB,TB,"정제,저작정",rebamipide,232,내복,0.1,g
222902ATR,TR,서방형정제,rebamipide,232,내복,0.15,g
223001BIJ,IJ,주사제,redistilled turpentine oil oxidation products,229,주사,10,mg
223002ASY,SY,"시럽제,건조시럽",redistilled turpentine oil oxidation products,229,내복,2.4,mg
223003CSP,SP,좌제,redistilled turpentine oil oxidation products,229,외용,30,mg
223101ATB,TB,"정제,저작정",reserpine,214,내복,250,㎍
223102BIJ,IJ,주사제,reserpine,214,주사,1,mg
223201CCM,CM,"크림제,겔제,젤리",retinoic acid,265,외용,500,㎍
223301COO,OO,"안연고제,점안겔제",retinolpalmitat(vit.A),131,외용,1000,I.U
223301COS,OS,점안제(점안액),retinol palmitat(vit. A),131,외용,1000,I.U
223501BIJ,IJ,주사제,recombinant human tissue-type plasminogen activator,219,주사,20,mg
223502BIJ,IJ,주사제,recombinant human tissue-type plasminogen activator,219,주사,50,mg
