영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Cork International Airport,코크 국제공항,ORK,EICK,유럽,Ireland,아일랜드,Cork
Corlu Airport ,코르루 공항 ,TEQ,LTBU,유럽,Turkey,터키,Corlu
Cornel Ruiz Airport,커널 루이즈 공항,CIX,SPHI,중남미,Peru,페루,Chiclayo
Coronel FAP Carlos Ciriani Santa Rosa Airport,카피탄 FAP 카를로스 치리아니 산타 로사 공항,TCQ,SPTN,중남미,Peru,페루,Tacna
Coronel Felipe Varela Airport,커널 펠리페 바렐라 공항,CTC,SANC,중남미,Argentina,아르헨티나,Catamarca
Coronel Francisco Secada Airport,콜로널 프란치스코 세카다 공항,IQT,SPQT,중남미,Peru,페루,Iquitos
Corpus Christi International Airport,코퍼스크리스티 국제공항,CRP,KCRP,북미,United States,미국,Corpus Christi TX
Corrado Baccarini Airport,코라도 바카리니 공항,GRS,LIRS,유럽,Italy,이탈리아,Grosseto
Corrado Gex Airport,코래도 젝스 공항,AOT,LIMW,유럽,Italy,이탈리아,Aosta
Corumba International Airport,코룸바 국제공항,CMG,SBCR,중남미,Brazil,브라질,Corumba
Corvo Airport,코보 공항,CVU,LPCR,유럽,Portugal,포르투갈,Vila do Corvo
Cote d Azur Airport,코트 다쥐르 공항,NCE,LFMN,유럽,France,프랑스,Nice
Cotopaxi International Airport,Cotopaxi 국제공항,LTX,SELT,중남미,Ecuador,에콰도르,Latacunga
Cozumel International Airport,코즈멜 국제공항,CZM,MMCZ,중남미,Mexico,멕시코,Cozumel
Craiova Airport,크라이오바 공항,CRA,LRCV,유럽,Romania,루마니아,Craiova
Cranbrook / Canadian Rockies International Airport,크랜브룩 캐나디안 록키 국제공항,YXC,CYXC,북미,Canada,캐나다,Cranbrook BC
Cristoforo Colombo Airport ,크리스토포로 콜롬보 공항 ,GOA,LIMJ,유럽,Italy,이탈리아,Genoa
Crotone Airport ,코로톤 공항,CRV,LIBC,유럽,Italy,이탈리아,Crotone
Crown Point International Airport,크라운 포인트 국제공항,TAB,TTCP,중남미,Trinidad And Tobago,트리니다드토바고,Tobago
Cruzeiro do Sul International Airport,크루제이루도술 공항,CZS,SBCZ,중남미,Brazil,브라질,Cruzeiro Do Sul
Cubatao Airport,쿠바타오 공항,JOI,SBJV,중남미,Brazil,브라질,Joinville
Cuddapah Airport,쿠다파 공항,CDP,VOCP,아시아,India,인도,Kadapa
Cuyo Airport,쿠요 공항,CYU,RPLO,아시아,Philippines,필리핀,Cuyo Airport
D.Z. Romualdez Airport,D.Z 로무알데즈 공항,TAC,RPVA,아시아,Philippines,필리핀,Tacloban
Da Nang International Airport,다낭 국제공항,DAD,VVDN,아시아,Viet Nam,베트남,Da Nang
Dabolim Airport,다보림 공항,GOI,VAGO,아시아,India,인도,Goa
Daegu International Airport,대구 국제공항,TAE,RKTN,아시아,Republic of Korea,대한민국,Daegu
Daguocun Airport,다구오쿤 공항,SJW,ZBSJ,아시아,Macao,마카오,Shijiazhuang
Dakhla Airport,다클라 공항,VIL,GMMH,아프리카,Morocco,모로코,Dakhla
Dala Airport,달라 공항,BLE,ESSD,유럽,Sweden,스웨덴,Borlange
Dalaman Airport,달라만 공항,DLM,LTBS,유럽,Turkey,터키,Mugla
Dalbandin Airport,달반딘 공항,DBA,OPDB,아시아,Pakistan,파키스탄,Dalbandin
Dali Airport,달리 공항,DLU,ZPDL,아시아,China,중국,Dali
Dalian Zhoushuizi International Airport,다롄 쩌우쉬이지 국제공항,DLC,ZYTL,아시아,China,중국,Dalian
Dallas Fort Worth International Airport,달라스 포츠워스 국제공항,DFW,KDFW,북미,United States,미국,Dallas/Fort Worth TX
Dallas Love Field,댈러스 러브필드,DAL,KDAL,북미,United States,미국,Dallas TX
Dalma Airport,달마 공항,ZDY,OM이,중동,United Arab Emirates,UAE,ABU DHABI
Dandong Airport,단둥 공항,DDG,ZYDD,아시아,China,중국,Dandong
Dane County Regional Airport,데인 카운티 공항,MSN,KMSN,북미,United States,미국,Madison WI
Daniel Jurkic Airport,다니엘 후르킥 공항,RCQ,SATR,중남미,Argentina,아르헨티나,Reconquista
Daniel Oduber International Airport,대니얼 오두버 국제공항,LIR,MRLB,중남미,Costa Rica,코스타리카,Liberia
Daocheng Yading Airport,대청 야딩 공항,DCY,ZUDC,아시아,China,중국,Daocheng
Daqing Sartu Airport,다칭 사르트누 공항,DQA,ZYDQ,아시아,China,중국,Daqin
Dar Es Salaam International Airport,다르에스살람 국제공항,DAR,HTDA,아프리카,Tanzania,탄자니아,Dar Es Salaam
Darwin International Airport,다윈 국제공항,DRW,YPDN,대양주,Australia,오스트레일리아,Darwin
Dashte Naz Airport,다쉿 나즈 공항,SRY,OINZ,중동,Iran,이란,Dasht Naz
Datong Airport,다퉁 공항,DAT,ZBDT,아시아,China,중국,Datong
Dawadmi Domestic Airport,다웃드미 국내공항,DWD,OED ,중동,Saudi Arabia,사우디아라비아,Dawadmi
Dayrestan Airport,Dayrestan 공항,GSM,OIKQ,중동,Iran,이란,Gheshm
Daytona Beach International Airport,데이토너비치 국제공항,DAB,KDAB,북미,United States,미국,Daytona Beach FL
Dazhou Heshi Airport,대주 허시 공항,DAX,ZUDZ,아시아,China,중국,Dazhou
Deer Lake Regional Airport,디어 레이크 지역 공항,YDF,CYDF,북미,Canada,캐나다,Deer Lake NF
Del Bajio Airport ,델바지오 공항 ,BJX,MMLO,중남미,Mexico,멕시코,Leon/Guanajuato
Delingha Airport,델린가 공항,HXD,ZLDL,아시아,China,중국,Delingha
Demokritos Airport,데모크리토스 공항,AXD,LGAL,유럽,Greece,그리스,Alexandroupolis
Denver International Airport ,덴버 국제공항 ,DEN,KDEN,북미,United States,미국,Denver CO
Dera Ghazi Khan Airport,드라 카지칸 공항,DEA,OPDG,아시아,Pakistan,파키스탄,D.G. Khan
Dera Ismail Khan Airport,데라이스마일칸 공항,DSK,OPDI,아시아,Pakistan,파키스탄,D.I. Khan
Des Moines International Airport,디모인 국제공항,DSM,KDSM,북미,United States,미국,Des Moines IA
Detroit Metropolitan Wayne County Airport,디트로이트 메트로폴리탄 웨인 카운티 공항,DTW,KDTW,북미,United States,미국,Detroit MI
Devi Ahilyabai Holkar International Airport ,데비 아힐야바이 홀카 국제공항 ,IDR,VAID,아시아,India,인도,Indore
Devonport Airport,데번포트 공항,DPO,YDPO,대양주,Australia,오스트레일리아,Devonport
Diagoras Airport,디아고라스 공항,RHO,LGRP,유럽,Greece,그리스,Rhodes
Dijon longvic Airport ,디종 롱빅 공항 ,DIJ,LFSD,유럽,France,프랑스,Dijon
Dimapur Airport / Dimapur Air Force Base,디마푸르 공항,DMU,VEMR,아시아,India,인도,Dimapur
Dimitrios Vikelas Airport ,드미트리오스 비켈라스 공항 ,JSY,LGSO,유럽,Greece,그리스,Syros Island
Dionisios Solomos Airport ,디오니소스 솔로모스 공항 ,ZTH,LGZA,유럽,Greece,그리스,Zakynthos Island
Diori Hamani International Airport,디오리 히머니 국제공항,NIM,DRRN,아프리카,Niger,니제르,Niamey
Dipolog Airport,디폴로그 공항,DPL,RPMG,아시아,Philippines,필리핀,Dipolog
Diqing Shangri-La Airport,디칭 샹그릴라 공항,DIG,ZPDQ,아시아,China,중국,Diqing
Diu Airport,디우 공항,DIU,VA1P,아시아,India,인도,Diu
Diyarbakir Airport,디야르바키르 공항,DIY,LTCC,유럽,Turkey,터키,Diyarbakir
Dnipropetrovsk International Airport,드네프로페트로브스크 국제공항,DNK,UKDD,유럽,Ukraine,우크라이나,Dnepropetrovsk
Dodge City Regional Airport,닷지 시티 지역공항,DDC,KDDC,북미,United States,미국,Dodge City KS
Doha International Airport,도하 국제공항,DOH,OTBD,중동,Qatar,카타르,Doha
Dole Tavaux Airport,돌 타보 공항,DLE,LFGJ,유럽,France,프랑스,Dole
Dolomiti Airport ,돌로미티 공항 ,BZO,LIPB,유럽,Italy,이탈리아,Bolzano
Domodedovo International Airport,도모도데보 국제공항,DME,UUDD,유럽,Russia,러시아,Moscow
Don Mueang International,방콕 국제공항 ,DMK,VTBD,아시아,Thailand,태국,Bangkok
Dong Hoi Airport,동호이 공항,VDH,VVDH,아시아,Viet Nam,베트남,Dong Hoi City
Dong Tac Airport,동 탁 공항,TBB,VVTH,아시아,Viet Nam,베트남,Tuy Hoa
Dongying Airport,동잉 공항,DOY,ZSDY,아시아,China,중국,Dongying
Dortheys Hiyo Eluay International Airport,도르테스 히요 엘루아이 국제공항,DJJ,WAJJ,아시아,Indonesia,인도네시아,Sentani 
Dortmund Airport,도르트문트 공항,DTM,EDLW,유럽,Germany,독일,Dortmund
Dothan Regional Airport,도탄 지역공항,DHN,KDHN,북미,United States,미국,Dothan AL
Douala International Airport,두알라 국제공항,DLA,FKKD,아프리카,Cameroon,카메룬,Douala
Dr Gastao Vidigal Airport,닥터 구아스토 바이디잘 공항,MII,SBML,중남미,Brazil,브라질,Marilia
Dr. Ambedkar International Airport ,암베드카 국제공항 ,NAG,VANP,아시아,India,인도,Nagpur
Dresden Klotzsche Airport,드레스덴 클로츠 공항,DRS,EDDC,유럽,Germany,독일,Dresden
Dubai International Airport,두바이 국제공항,DXB,OMDB,중동,United Arab Emirates,UAE,Dubai
Dubbo Airport,두보 공항,DBO,YSDU,대양주,Australia,오스트레일리아,Dubbo
Dublin International Airport,더블린 국제공항,DUB,EIDW,유럽,Ireland,아일랜드,Dublin
Dubrovnik Airport,두브로브니크 공항,DBV,LDDU,유럽,Croatia,크로아티아,Dubrovnik
Dubuque Regional Airport,더뷰크 지역공항,DBQ,KDBQ,북미,United States,미국,Dubuque IA
Dundee Airport,던디 공항,DND,EGPN,유럽,United Kingdom,영국,Dundee
Dunedin International Airport,두네딘 국제공항,DUD,NZDN,대양주,New Zealand,뉴질랜드,Dunedin
Dunhuang Airport,둔황 공항,DNH,ZLDH,아시아,China,중국,Dunhuang
Duong Dang Airport,두옹 당 공항,PQC,VVPQ,아시아,Viet Nam,베트남,Phu Quoc
Duqm Airport,두쿰 공항,DQM,OODQ,중동,Oman,오만,Duqm 
Durango-La Plata County Airport,두랑고 라플라타 카운티 공항,DRO,KDRO,북미,United States,미국,Durango CO
Durham Tees Valley Airport ,더햄티즈 공항 ,MME,EGNV,유럽,United Kingdom,영국,Teeside
Dyce Airport ,다이스 공항,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen
Dzaoudzi Pamandzi Airport,쟈우지 파만지 공항,DZA,FMCZ,아프리카,Mayotte,마요트,Dzaoudzi
Eagle County Regional Airport,이글카운티 지역공항,EGE,KEGE,북미,United States,미국,Eagle CO
East London Airport,이스트런던 공항,ELS,FAEL,아프리카,South Africa,남아프리카,East London
Echterdingen Airport,에흐테르뎅겐 공항,STR,EDDS,유럽,Germany,독일,Stuttgart
Edinburgh Airport,에든버러 공항,EDI,EGPH,유럽,United Kingdom,영국,Edinburgh
Edmonton International Airport,에드먼턴 국제공항,YEG,CYEG,북미,Canada,캐나다,Edmonton AB
Edremit Korfez Airport,에드레밋 코르페즈 공항,EDO,LTFD,유럽,Turkey,터키,Balikesir
Eduardo Gomes Airport,에두와르토 고메즈 공항,MAO,SBEG,중남미,Brazil,브라질,Manaus
Edward River Airport,폼퓨라오 공항,EDR,YPMP,대양주,Australia,오스트레일리아,Pormpuraaw
Edwards County Airport,에드워즈 카운티 공항,ECU,KECU,유럽,Spain,스페인,Madrid (
Eelde Airport,엘데 공항,GRQ,EHGG,유럽,Netherlands,네덜란드,Groningen
Egilsstadir Airport,에질스타더 공항,EGS,BIEG,유럽,Iceland,아이슬란드,EgilsstaSir
Eglinton Airport,에글린튼 공항,LDY,EGAE,유럽,United Kingdom,영국,Derry
Eindhoven Airport,에인트호벤 공항,EIN,EHEH,유럽,Netherlands,네덜란드,Eindhoven
Ejin Banner Taolai Airport,에진 배너 도라이 공항,EJN,ZBEN,아시아,China,중국,Ejin Banner
El Alto Airport,엘 알토 공항,LPB,SLLP,중남미,Bolivia,볼리비아,La Paz
El Alto International Airport,엘 알토 국제공항,LBP,SLLP,아시아,Malaysia,말레이시아,Long Banga 
El Bagre Airport,엘바그레 공항,EBG,SKEB,중남미,Colombia,콜롬비아,El Bagre
El Bayadh Airport,El Bayadh Airport,EBH,DAOY,아프리카,Algeria,알제리,El Bayadh
El Cadillal Airport ,엘 카디럴 공항 ,JUJ,SASJ,중남미,Argentina,아르헨티나,Jujuy
El Carano Airport,엘 카라노 공항,UIB,SKUI,중남미,Colombia,콜롬비아,Quibdo
El Eden Airport,엘 에덴 공항,AXM,SKAR,중남미,Colombia,콜롬비아,Armenia
El Embrujo Airport,엘 엠부르조 공항,PVA,SKPV,중남미,Colombia,콜롬비아,Providencia
El Maou Airport,엘 마오우 공항,SFA,DTTX,아프리카,Tunisia,튀니지,Sfax
El Nohza Airport,엘 노흐자 공항,ALY,HEAX,아프리카,Egypt,이집트,Alexandria
El Palomar Airport,엘 팔로마 공항,EPA,SADP,중남미,Argentina,아르헨티나,El Palomar
El Paso International Airport,엘패소 국제공항,ELP,KELP,북미,United States,미국,El Paso TX
El Plumerillo Airport,엘 풀루메릴로 공항,MDZ,SAME,중남미,Argentina,아르헨티나,Mendoza
El Pucu Airport ,엘 퍼쿠 공항 ,FMA,SARF,중남미,Argentina,아르헨티나,Formosa
El Tajin National Airport,엘 타진 내셔널공항,PAZ,MMPA,중남미,Mexico,멕시코,Poza Rica
El Tehuelche Airport,엘 테휴엘체 공항,PMY,SAVY,중남미,Argentina,아르헨티나,Puerto Madryn
El Yopal Airport,엘 여팔 공항,EYP,SKYP,중남미,Colombia,콜롬비아,Yopal
Elazig Airport,엘라지그 공항,EZS,LTCA,유럽,Turkey,터키,Elazig
Eldorado Airport,엘도라도 공항,BOG,SKBO,중남미,Colombia,콜롬비아,Bogota
Eldoret Airport,엘도렛 공항,EDL,HKEL,아프리카,Kenya,케냐,Eldoret
Eleftherios Venizelos International Airport,엘레프테리오스 베니젤로스 국제공항,ATH,LGAV,유럽,Greece,그리스,Athens
Eliat Airport ,엘라트 공항 ,ETH,LLET,중동,Israel,이스라엘,Eilath
Ellington Airport,엘링튼 공항,EFD,KEFD,북미,United States,미국,Houston TX
Elmas Airport,엘마스 공항,CAG,LIEE,유럽,Italy,이탈리아,Cagliari
Eloy Alfaro International Airport,엘로이 알파로 국제공항,MEC,SEMT,중남미,Ecuador,에콰도르,Manta
Eltari Airport,엘타리 공항,KOE,WATT,아시아,Indonesia,인도네시아,Kupang
Emerald Airport,에머럴드 공항,EMD,YEML,대양주,Australia,오스트레일리아,Emerald
Enfidha-Hammamet International Airport,Enfidha-Hammamet 국제공항,NBE,DTNH,아프리카,Tunisia,튀니지,Enfidha
Ennis Big Sky Airport,에니스 빅 스카이 에어포트,EKS,KEKS,유럽,Russia,러시아,Shakhtyorsk 
Enontekio Airport,에논테키외 공항,ENF,EFET,유럽,Finland,핀란드,Enontekio
Enrique Olaya Herrera Airport ,엔리케 울라야 헤레라 공항,EOH,SKMD,중남미,Colombia,콜롬비아,Medellin
Ensheim Airport,안사임 공항,SCN,EDDR,유럽,Germany,독일,Saarbruecken
Enshi Xujiaping Airport,엔시 서가핑 공항,ENH,ZHES,아시아,China,중국,Enshi
Entebbe International Airport,엔테베 / 캄팔라 국제공항,EBB,HUEN,아프리카,Uganda,우간다,Entebbe
Entzheim Airport ,앙쯔하임 공항 ,SXB,LFST,유럽,France,프랑스,Strasbourg
Eppley Airfield Airport,에플리 필드,OMA,KOMA,북미,United States,미국,Omaha NE
Erbil International Airport,에르빌 국제공항,EBL,ORER,중동,Iraq,이라크,Erbil
Erenhot Saiwusu International Airport,Erenhot Saiwusu 국제 공항,ERL,ZBER,아시아,China,중국,Erlianhaote
Erfurt Airport,에르푸르트 공항,ERF,EDDE,유럽,Germany,독일,Erfurt
Erik Nielsen Whitehorse International Airport,에릭 닐슨 화이트호스 국제공항,YXY,CYXY,북미,Canada,캐나다,Whitehorse YT
Ernesto Cortissoz Airport,에르네스토 코르티쇼즈 공항,BAQ,SKBQ,중남미,Colombia,콜롬비아,Barranquilla
Eros Airport,에로스 공항,ERS,FYWE,아프리카,Namibia,나미비아,Windhoek
Erzincan Airport,에르진잔 공항,ERC,LTCD,유럽,Turkey,터키,Erzincan
Erzurum Airport,에르주룸 공항,ERZ,LTCE,유럽,Turkey,터키,Erzurum
Es Senia Airport,에 세니아 공항,ORN,DAOO,아프리카,Algeria,알제리,Oran
Esbjerg Airport,에스비에르 공항,EBJ,EKEB,유럽,Denmark,덴마크,Esbjerg
Esenboga Airport,에센보가 공항,ESB,LTAC,유럽,Turkey,터키,Ankara
Esperance Airport,에스페란스 공항,EPR,YESP,대양주,Australia,오스트레일리아,Esperance
Esquel Airport,에스퀄 공항,EQS,SAVE,중남미,Argentina,아르헨티나,Esquel
Essendon Airport,에션던 공항,MEB,YMEN,대양주,Australia,오스트레일리아,Melbourne
Eugene Airport / Mahlon Sweet Field,유진 공항 ,EUG,KEUG,북미,United States,미국,Eugene OR
Eugenio M. de Hostos Airport,에우제니오 M. 데 호스토스 공항,MAZ,TJMZ,중남미,Puerto Rico,푸에르토리코,Mayaguez
Eurico Sales Airport,에우리코 살레즈 공항,VIX,SBVT,중남미,Brazil,브라질,Vitoria
EuroAirport Basel-Mulhouse-Freiburg,유로공항,BSL,LFSB,유럽,Switzerland,스위스,Basel
Evansville Regional Airport,에번즈빌 지역공항,EVV,KEVV,북미,United States,미국,Evansville IN
Evelio Javier Airport,에벨리오 하비에르 공항,EUQ,RPVS,아시아,Philippines,필리핀,San Jose de Buenavista 
Evenes Airport,에베네스 공항,EVE,ENEV,유럽,Norway,노르웨이,Harstad
Exeter International Airport,엑서터 국제공항,EXT,EGTE,유럽,United Kingdom,영국,Exeter
Faaa International Airport,파아 공항,PPT,NTAA,대양주,French Plynesia,프랑스령폴리네시아,Papeete
Faaite Airport,Faaite 공항,FAC,NTKF,대양주,French Plynesia,프랑스령폴리네시아,Faaite
Fabio Alberto Leon Bentley Airport,파비오 알베르토 레옹 벤틀레이 공항,MVP,SKMU,중남미,Colombia,콜롬비아,Mitu
Fairbanks International Airport,페어뱅크스 국제공항,FAI,PAFA,북미,United States,미국,Fairbanks AK
Fairwood Common Airport,페어우드 커몬 공항,SWS,EGFH,유럽,United Kingdom,영국,Swansea
Faisalabad International Airport,피살라바드 국제공항,LYP,OPFA,아시아,Pakistan,파키스탄,Faisalabad
Fakahina Airport,파카히나 공항,FHZ,NTKH,대양주,French Plynesia,프랑스령폴리네시아,Fakahina
Fakarava Airport,파카라바 공항,FAV,NTGF,대양주,French Plynesia,프랑스령폴리네시아,Fakarava
Falconara Airport,팔코나라 공항,AOI,LIPY,유럽,Italy,이탈리아,Ancona
Faleolo International Airport,팔레오로 공항,APW,NSFA,대양주,Samoa,사모아,Apia
Fangatau Airport,팡가토 공항,FGU,NTGB,대양주,French Plynesia,프랑스령폴리네시아,Fangatau
Fare Airport,파레 공항,HUH,NTTH,대양주,French Plynesia,프랑스령폴리네시아,Huahine
Faro Airport,파루 공항,FAO,LPFR,유럽,Portugal,포르투갈,Faro
Fascene Airport,페신 공항,NOS,FMNN,아프리카,Madagascar,마다가스카르,Nosy Be
Fatmawati Soekarno Airport,파트마와티 수카르노 공항,BKS,WIGG,아시아,Indonesia,인도네시아,BENGKULU
Federal de Bachigualato Airport,페데럴 데 바치구알라토 공항,CUL,MMCL,중남미,Mexico,멕시코,Culiacan
Federal del Valle del Fuerte International Airport,페데랄 델 발 델 푸어트 국제공항,LMM,MMLM,중남미,Mexico,멕시코,Los Mochis
Felix Eboue Airport,로샹보 공항,CAY,SOCA,중남미,French Guiana,프랑스령기아나,Cayenne
Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP,아프리카,Cote dIvoire,코트디부아르,Abidjan
Ferihegy Airport,페리헤기 공항,BUD,LHBP,유럽,Hungary,헝가리,Budapest
Fertilia Airport,퍼틸랴 공항,AHO,LIEA,유럽,Italy,이탈리아,Alghero
Fisherton Airport ,피셔튼 공항 ,ROS,SAAR,중남미,Argentina,아르헨티나,Rosario
Fiumicino Airport ,피우미치노 공항 ,FCO,LIRF,유럽,Italy,이탈리아,Rome
Flamingo International Airport ,플라밍고 국제공항 ,BON,TNCB,중남미,Netherlands Antilles,네덜란드령 카리브,Kralendijk
Flesland Airport,플레스랜드 공항,BGO,ENBR,유럽,Norway,노르웨이,Bergen
Flinders Island Airport,플린더스아일랜드 공항,FLS,YFLI,대양주,Australia,오스트레일리아,Whitemark
Flores Airport,플로레스 공항,FLW,LPFL,유럽,Portugal,포르투갈,Flores
Floro Airport ,플로로 공항,FRO,ENFL,유럽,Norway,노르웨이,Floro
Fontanarossa Airport ,폰타가로싸 공항 ,CTA,LICC,유럽,Italy,이탈리아,Catania
Forbes Field,포브스 필드,FOE,KFOE,북미,United States,미국,Topeka KS
Forli Airport,포를리 공항,FRL,LIPK,유럽,Italy,이탈리아,Forli 
Forrest Hill Airport,포레스트 힐 공항,WGA,YSWG,대양주,Australia,오스트레일리아,Wagga Wagga
Fort Lauderdale-Hollywood International Airport,포트 로더데일 할리우드 국제공항,FLL,KFLL,북미,United States,미국,Fort Lauderdale FL
Fort McMurray Airport,포트맥머레이 공항,YMM,CYMM,북미,Canada,캐나다,Fort McMurray AB
Fort Smith Regional Airport,포트스미스 지역공항,FSM,KFSM,북미,United States,미국,Fort Smith AR
Fort Wayne International Airport,포트웨인 국제공항,FWA,KFWA,북미,United States,미국,Fort Wayne IN
Fort Worth Alliance Airport,포트워스 앨리언스 공항,AFW,KAFW,북미,United States,미국,Fort Worth TX
Foshan Shadi Airport,불산 샤디 공항,FUO,ZGFS,아시아,China,중국,Foshan
Franca Airport,프랑카 공항,FRC,SBFC,중남미,Brazil,브라질,Franca
Francisco Carle Airport,프란시스코 칼레 공항,JAU,SPJJ,중남미,Peru,페루,Jauja 
Francisco Mendes Airport ,프란시스코 멘데스 국제공항,RAI,GVNP,아프리카,Cabo Verde,카보베르데,Praia
Francisco Pereira Lopes Airport,프란치스코 페레이라 로페즈 공항,QSC,SDSC,중남미,Brazil,브라질,Sao Carlos
Francisco Sa Carneiro Airport ,프란치스코 사 카르네이로 공항 ,OPO,LPPR,유럽,Portugal,포르투갈,Porto
Francisco Sarabia International Airport ,프란시스 사라비아 국제공항 ,TRC,MMTC,중남미,Mexico,멕시코,Torreon
Francistown Airport,프란시스타운 공항,FRW,FBFT,아프리카,Botswana,보츠와나,Francistown
Frankfurt International Airport ,프랑크푸르트 국제공항 ,FRA,EDDF,유럽,Germany,독일,Frankfurt
Frankton Airport,프랭크톤 공항,ZQN,NZQN,대양주,New Zealand,뉴질랜드,Queenstown
Frans Kaisiepo Airport ,프랭크 캐시에포 공항 ,BIK,WABB,아시아,Indonesia,인도네시아,Biak
Fresno Yosemite International Airport,프레즈노 요세미티 국제공항,FAT,KFAT,북미,United States,미국,Fresno CA
Friedman Memorial Airport,프라이드먼 미모리얼 공항,SUN,KSUN,북미,United States,미국,Sun Valley ID
Friedrichshafen Airport,프리드리히스하펜 공항 ,FDH,EDNY,유럽,Germany,독일,Friedrichshafen
Froso Airport,프로소 공항,OSD,ESNZ,유럽,Sweden,스웨덴,Ostersund
Fuaamotu International Airport,후아모투 국제공항,TBU,NFTF,대양주,Tonga,통가,NukuAlofa
Fuerteventura Airport,푸에르트벤츄라 공항,FUE,GCFV,유럽,Spain,스페인,Fuerteventura
Fuhlsbuettel Airport,풀쉬비텔 공항,HAM,EDDH,유럽,Germany,독일,Hamburg
Fukui Airport,후쿠이 공항,FKJ,RJNF,아시아,Japan,일본,Fukui
Fukuoka Airport,후쿠오카 공항,FUK,RJFF,아시아,Japan,일본,Fukuoka
Fukushima Airport,후쿠시마 공항,FKS,RJSF,아시아,Japan,일본,Sukagawa
Fuyang Airport,푸양 공항,FUG,ZSFY,아시아,China,중국,Fuyang
Fuyuan Dongji Airport,부유 동지 공항,FYJ,ZYFY,아시아,China,중국,Fuyuan
Fuyun Koktokay Airport,Fuyun Koktokay Airport,FYN,ZWFY,아시아,China,중국,Fuyun
Fuzhou Chengle International Airport,푸저우 쳉글 국제공항,FOC,ZSFZ,아시아,China,중국,Fuzhou
Gabes Airport,게이브스 공항,GAE,DTTG,아프리카,Tunisia,튀니지,Gabes
Gafsa Airport,가프사 공항,GAF,DTTF,아프리카,Tunisia,튀니지,Gafsa
Gaggal Airport,개갈 공항,DHM,VIGG,아시아,India,인도,Gaggal
Gainesville Regional Airport,게인즈빌 공항,GNV,KGNV,북미,United States,미국,Gainesville FL
Galileo Galilei Airport ,갈릴레오 갈릴레이 공항 ,PSA,LIRP,유럽,Italy,이탈리아,Pisa
Gallatin Field Airport,갤러틴 필드 공항,BZN,KBZN,북미,United States,미국,Bozeman MT
Gallivare Airport,옐리바레 공항,GEV,ESNG,유럽,Sweden,스웨덴,Gallivare
Gander International Airport,갠더 국제공항,YQX,CYQX,북미,Canada,캐나다,Gander NF
Gandhidham Airport ,간디햄 ,IXY,VAKE,아시아,India,인도,Kandla
Ganja International Airport ,지안쟈 국제공항,KVD,UBBG,아시아,Azerbaijan,아제르바이잔,Ganja
Gannan Xiahe Airport,간난 하하 공항,GXH,ZLXH,아시아,Macao,마카오,Xiahe
Ganzhou Airport,간저우 공항,KOW,ZSGZ,아시아,China,중국,Ganzhou
Gap Tallard Airport,갭 탤러드 공항,GAT,LFNA,유럽,France,프랑스,Gap-Tallard
Garden City Regional Airport,가든시티 지역공항,GCK,KGCK,북미,United States,미국,Garden City KS
Garoua International Airport,가루아 국제공항,GOU,FKKR,아프리카,Cameroon,카메룬,Garoua
Gary/Chicago International Airport,게리 시카고 국제공항,GYY,KGYY,북미,United States,미국,Gary IN
Garze Gesar Airport,가르제 게사르 공항,GZG,ZUGZ,아시아,China,중국,Garze Tibetan Autonomous Prefecture 
Gasa Airport ,가사 공항 ,JHG,ZPJH,아시아,Macao,마카오,Xishuangbanna
Gassim Regional Airport,가심 지역공항,ELQ,OEGS,중동,Saudi Arabia,사우디아라비아,Gassim
Gatwick Airport,개트윅 공항,LGW,EGKK,유럽,United Kingdom,영국,London
Gaya Airport,가야 공항,GAY,VEGY,아시아,India,인도,Gaya
Gazipasa Alanya Airport,Gazipasa-Alanya 공항,GZP,LTFG,유럽,Turkey,터키,Gazipasa
Gelendzhik Airport,겔렌즈지크 공항,GDZ,URKG,유럽,Russia,러시아,Gelendzhik
General A.V. Cobo Airport,제네랄 A.V 코보 공항,LET,SKLT,중남미,Colombia,콜롬비아,Leticia
General Enrique Mosconi Airport,제네랄 엔리케 모스코니 공항,CRD,SAVC,중남미,Argentina,아르헨티나,Comodoro Rivadavia
General F. Javier Mina Airport ,제너랄 F. 자비에 미나 공항 ,TAM,MMTM,중남미,Mexico,멕시코,Tampico
General Fierro Villalobos Airport ,제너럴 피에르 빌라로보스 공항 ,CUU,MMCU,중남미,Mexico,멕시코,Chihuahua
General Francisco J. Mujica International Airport,제너널 프란치스코 J. 뮤지카 국제공항,MLM,MMMM,중남미,Mexico,멕시코,Morelia
General Jose de San Martin Airport,제네랄 호세 데 산 마틴 공항,PSS,SARP,중남미,Argentina,아르헨티나,Posadas
General Jose M. Yanez Airport ,제너럴 호세 M. 야네즈 공항 ,GYM,MMGM,중남미,Mexico,멕시코,Guaymas
General Lucio Blanco Airport ,제네럴 루치오 블랑코 공항 ,REX,MMRX,중남미,Mexico,멕시코,Reynosa
General Manuel Marquez de leon Airport ,제너랄 마뉴엘 마르케즈 데 레옹 공항 ,LAP,MMLP,중남미,Mexico,멕시코,La Paz
General Mariano Escobedo Airport ,제너럴 마리아노 공항 ,MTY,MMMY,중남미,Mexico,멕시코,Monterrey
