부문,수집연도,작품명(국문),작품명(영문),작품규격,제작년도,재료/기법,작품해설,작가명,메인이미지,썸네일이미지
사진,2017,잘 살고 싶어요,We Want to Live Well,80×200cm,2016,디지털 잉크젯 프린트,"<잘 살고 싶어요>(2016)에는 한국 현대사회가 도시화 과정을 거치며 생겨난 일상적이지만 생경한 서울의 모습이 담겼다. 작가는 서울의 도시 형태의 심리적인 지형을 보여주기 위해서, 1990년대부터 촬영한 풍경 사진 중 일부인 7점의 사진을 1세트로 재구성하는데, 이 사진에는 일반적으로 흔히 볼 수 있는 주택가 골목에 위치한 담장과 전봇대에 그려진 전통산수화가 등장한다. 도시 개발 용도에 따라 지역은 구획되고, 건물의 형태 또한 일률적으로 정해지지만 거기에서 살아가고 있는 사람들이 남겨놓은 체취는 다양하게 나타난다. 김상돈은 그 흔적을 고스란히 따라가는 작업을 선보이면서, 시대적 변화 양상과 더불어 인간의 감정과 욕망이 혼재하는 풍경을 보여주며, 사회 공간과 사람의 상호적인 관계를 부각시키고 있다.",김상돈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16269,http://collections.eseoul.go.kr/data/art/thumb/16269.jpg
조각,2017,기억 Pattern #161010,Memory Pattern #161010,58×48×48cm,2016,시멘트,,김상균(1967),http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16265,http://collections.eseoul.go.kr/data/art/thumb/16265.jpg
회화,2017,한강,Han River,100×200cm,2010,"캔버스에 먹, 아크릴릭",,김봄,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16260,http://collections.eseoul.go.kr/data/art/thumb/16260.jpg
사진,2017,누워있는 조각가의 시간 n.1,Le repos incomplet n.1,68×51cm,2016,디지털 아카이벌 피그먼트 프린트,,전명은,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16055,http://collections.eseoul.go.kr/data/art/thumb/16055.jpg
조각,2017,화이트큐브를 위한 구조물,A Set of Structures for White Cube,110×140×140cm(×4개),2012,"철, 고무바퀴, 와이어, 못",,김민애,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16259,http://collections.eseoul.go.kr/data/art/thumb/16259.jpg
조각,2017,부엉이,Owl,63×25×25cm,2015,도자,,김나리,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16258,http://collections.eseoul.go.kr/data/art/thumb/16258.jpg
뉴미디어,2017,"제 2회 필름베아크슈타트 아시아문화시리즈: 아젠다 헤어살롱, 2016 뒤셀도르프 프로젝트","ACS#2: the AGENDA Hair Salon, 2016 Duesseldorf-Project","57분 30초, 42초, 가변설치",2016,"단채널 비디오(HD), 컬러, 사운드",,김가람,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16257,http://collections.eseoul.go.kr/data/art/thumb/16257.jpg
설치,2017,#셀스타,#SELSTAR,가변설치,2016,"아크릴, 거울, 조명, 메이크업 화장품 (박스 3개: 소모품 2박스, 연결코드 1박스)",,김가람,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16256,http://collections.eseoul.go.kr/data/art/thumb/16256.jpg
조각,2017,이름없는 양식-기념비 모형 #2,A Nameless Style-Monument Model #2,28×15×21cm,2016,청동,,권동현,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16255,http://collections.eseoul.go.kr/data/art/thumb/16255.jpg
한국화,2017,모호함-아오키 10-1,Ambiguity-Aoki 10-1,140×140 cm,2010,"한지에 호분, 먹, 연필",,권기범,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16254,http://collections.eseoul.go.kr/data/art/thumb/16254.jpg
사진,2017,설탕 시리즈_11,Sugar_11,150×200cm,2015,디지털 C-프린트,,구성연,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16253,http://collections.eseoul.go.kr/data/art/thumb/16253.jpg
설치,2017,정통의 맛,The Authentic Quality,"26분45초, 40×40cm(×9개), 가변설치",2014,"단채널 비디오, 컬러, 무음, C-프린트, 도자","<정통의 맛>(2014)에서 구민자는 포장된 상품의 표지에 있는 식품 이미지를 그대로 재현하는 과정을 보여준다. 그녀는 라면, 국수, 레토르트 카레 등 일상적으로 흔하게 접할 수 있는 익숙한 가공식품들의 포장지나 광고 이미지에 프린트된 모습을 참고하여 조리 예에 따라서 요리의 과정을 거친다. 그러나 이미지에 근접하게 요리를 재현하는 일이 진행되면서 포장된 것 이외에 추가되는 재료들과 달라지는 조리 방식을 통해 오히려 식품의 이미지가 디자인된 것이었다는 사실이 드러나게 된다. 그는 관람자들에게 음식의 조리과정이라는 특수한 상황을 시행하여 보여주면서 관객으로 하여금 익숙한 관념과 실재와의 낯선 간극을 바라보도록 환기하고 있다.",구민자,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17282,http://collections.eseoul.go.kr/data/art/thumb/17282.jpg
회화,2017,기,Chi,227×162cm,2014,캔버스에 혼합매체,,곽훈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16252,http://collections.eseoul.go.kr/data/art/thumb/16252.jpg
회화,2017,타임 1985.4.29,TIME April.29.1985,130.3×162cm,1985,"캔버스에 타임지, 유채",,곽덕준,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16251,http://collections.eseoul.go.kr/data/art/thumb/16251.jpg
회화,2017,달리는 사람들,Running Men,140×266cm,2013,"캔버스에 프린트, 색연필",,곽남신,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16249,http://collections.eseoul.go.kr/data/art/thumb/16249.jpg
회화,2017,물에서 1,From Water 1,112×162cm,2017,캔버스에 유채,"<물에서 1>(2017)의 넓게 펼쳐진 캔버스에는 물결의 파동만이 존재한다. 공성환은 그림을 한 장의 풍경화로 보이게 하는 요소, 즉 해안선, 섬, 배, 수평선 등 일체의 주변 요소를 배제하고 물 자체의 근원적 모습에 집중하였다. 이로 인해 물 위에 비친 빛의 떨림, 물결의 파장, 보일 듯 말듯 한 물속의 모습 등 물이 지닌 조형적 요소들이 두드러진다. 물이 주는 평면성과 조형적 간결성이 돋보이며, 중심이 없는 균질한 화면이지만 끝없이 반복되는 리듬감이 화면을 지배한다. 공성환은 현대회화의 두 가지 이슈인 무중심성, 평면성을 자신의 작품에 접목하였으며, 반사하는 빛의 효과를 통해 물의 생명력을 드러내었다.",공성환,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16248,http://collections.eseoul.go.kr/data/art/thumb/16248.jpg
회화,2017,물에서 2,From Water 2,112×162cm,2017,캔버스에 유채,"<물에서 2>(2017)의 넓게 펼쳐진 캔버스에는 물결의 파동만이 존재한다. 공성환은 그림을 한 장의 풍경화로 보이게 하는 요소, 즉 해안선, 섬, 배, 수평선 등 일체의 주변 요소를 배제하고 물 자체의 근원적 모습에 집중하였다. 이로 인해 물 위에 비친 빛의 떨림, 물결의 파장, 보일 듯 말듯 한 물속의 모습 등 물이 지닌 조형적 요소들이 두드러진다. 물이 주는 평면성과 조형적 간결성이 돋보이며, 중심이 없는 균질한 화면이지만 끝없이 반복되는 리듬감이 화면을 지배한다. 공성환은 현대회화의 두 가지 이슈인 무중심성, 평면성을 자신의 작품에 접목하였으며, 반사하는 빛의 효과를 통해 물의 생명력을 드러내었다.",공성환,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16247,http://collections.eseoul.go.kr/data/art/thumb/16247.jpg
드로잉&판화,2017,살갗의 사건,Accident of Flesh,"30.5×23cm(×10개), 29.5×22cm(×2개)",2015-2017,종이에 연필,"<살갗의 사건>(2015-17)은 남녀의 애정관계의 장면을 묘사함으로써 관계가 주는 불안의 그림자를 담아낸 작품이다. 제목에서 드러나듯, 화면에는 남녀의 입맞춤, 여성의 가슴 등 남녀의 성적 관계를 암시하는 장면들이 그려져 있으며, 그것은 달콤함보다는 불안감을 동반하는 정서를 나타내고 있다. 주체가 아닌 남성 시선의 객체가 된 여성의 몸은 고등어의 작품에서 파편화된 충격적인 이미지로 그려졌다. 그녀는 작품에서 남녀의 육체적 관계에 대해 “주체가 타자와 가장 극적으로 결합할 수 있는 관계이자, 타자의 신체와 나의 신체를 온 힘을 다해 경험하는. 그렇기에 언제나 불안을 동반하는 관계”임을 표현하고자 했다. 이는 나의 신체가 다른 신체가 될 수 있는 ‘내일의 신체’로 이어지며, 불안과 극복의 정서가 교차함을 보여준다.",고등어,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16234,http://collections.eseoul.go.kr/data/art/thumb/16234.jpg
회화,2017,"마네킹-블루, 핑크, 옐로우","Mannequin-Blue, Pink, Yellow",194×130cm(×3개),1993,캔버스에 유채,"작가는 <마네킹-블루, 핑크, 옐로우>(1993)에서 청색, 적색, 노랑 중 한 가지 색만을 사용하여 마네킹을 명암의 변화로 그려내었다. 그들은 정확한 비례의 아름다움을 지녔음에도, 현실에 존재하지 않는 죽음의 느낌을 풍기고 있다. 고낙범은 현실의 욕망과 그 반대편에 서 있는 죽음과의 관계를 상징적으로 그려냈다. 자본주의 사회에서 현대인의 욕구를 상징적으로 보여주는 마네킹은 살아있는 인간에 의해서만 존재의미를 부여받는 무생물이란 점에서 죽음에 대한 욕구를 보여주는 상징이며, 에로틱한 이미지를 유발하기도 한다. 삶의 본질적인 가치에 대한 추구로부터 점점 멀어지며 세속적인 가치에 매몰되어 가는 현실과 표피적이고 일회적인 삶의 방식을 강화하는 자본주의 상황에 대한 비판을 가하는 작품이다.",고낙범,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16226,http://collections.eseoul.go.kr/data/art/thumb/16226.jpg
회화,2017,일상,Every Day,210×150cm,2017,"장지에 채색, 콜라주, 바느질",,강현덕,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=30111,http://collections.eseoul.go.kr/data/art/thumb/30111.jpg
조각,2017,만인보-현기증,만인보-현기증,235×160×210cm,2014,"나무, 레진, 먹",,강용면,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17270,http://collections.eseoul.go.kr/data/art/thumb/17270.jpg
조각,2017,할머니,Grandmother,95×32×34cm,2003,대리석,,강관욱,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16224,http://collections.eseoul.go.kr/data/art/thumb/16224.jpg
사진,2017,Still of Snob-Scene 00103008,Still of Snob-Scene 00103008,85.7×120cm,2011,디지털 피그먼트 프린트,,정현목,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16133,http://collections.eseoul.go.kr/data/art/thumb/16133.jpg
회화,2017,감정색 상표,Emotional Color Chart,100×72.7cm(×6개),2014,캔버스에 아크릴릭,,이경,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16132,http://collections.eseoul.go.kr/data/art/thumb/16132.jpg
회화,2017,식사,Meal,187×185cm,1988,"장지에 아크릴릭, 콜라주",,이명복,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16131,http://collections.eseoul.go.kr/data/art/thumb/16131.jpg
회화,2017,어떤 아침,One Morning,140×160cm,2015,리넨에 수간채색,,이진주,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16130,http://collections.eseoul.go.kr/data/art/thumb/16130.jpg
회화,2017,무제(Untitled_cube no.11),Untitled(cube no.11),150×130cm,2011,한지에 연필,,편대식,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16129,http://collections.eseoul.go.kr/data/art/thumb/16129.jpg
회화,2017,무제(Untitled_cube no.10),Untitled(cube no.10),150×130cm,2012,한지에 연필,,편대식,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16119,http://collections.eseoul.go.kr/data/art/thumb/16119.jpg
회화,2017,무제(Untitled_the horizon),Untitled(the horizon),184×184cm,2014,한지에 연필,,편대식,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16118,http://collections.eseoul.go.kr/data/art/thumb/16118.jpg
사진,2017,사인보드 #001,Signboard #001,150×183cm,2011,디지털 잉크젯 프린트,"<사인보드 #001>는 백승우가 2011년 개최한 개인전 《판단의 보류》(아트선재센터, 서울)에서 선보인 것으로, 이전에 발표했던 작품의 제목을 발광하는 전광판 조형물으로 제작하여 촬영한 것이다. 장소와 공간에 대한 정보를 읽을 수 없는 어두운 배경에 5미터 높이의 구조물을 설치하고, 자신의 잘 알려진 작업들인 <Real World>, <Blow up>, <Utopia>의 제목을 매달아 다시 사진에 담는 행위는 과거의 작품이 이후 이어질 활동의 매개임을 보여줌과 동시에 정보의 자의성에 관해 이야기하는 것이다. 그는 지속적으로 이미지 정보의 복제와 증식에 관심을 가지고 사진 매체의 정체성에 관한 실험을 시도한 바 있는데, 특정 언어를 시각적으로 반복하는 방식은 창작자가 제공한 텍스트가 원래의 의도와 맥락을 잃고 관람자에 의해 각기 다른 의미로 확대 재생산되는 현상을 시현한다.",백승우,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16117,http://collections.eseoul.go.kr/data/art/thumb/16117.jpg
사진,2017,유토피아 #011,Utopia #011,150×205cm,2008,디지털 C-프린트,"<유토피아 #011>(2008)는 2008년부터 2011년까지 제작된 시리즈 작품 중 하나이다. 이 시리즈는 작가가 일본의 한 상점에서 북한 정부에 의해 촬영된 이상적인 북한의 이미지가 담긴 홍보용 사진들을 발견하고 구입하게 된 것에서 시작된 작업으로, 북한에서 사용하는 홍보 이미지를 선택해서 여러 국가에 데이터를 전송하고 프린트한 뒤에 하나로 모아 대형 사진으로 설치한 것이다. 본래의 정치적인 목적과는 전혀 다른 맥락 안에 소비되는 사진을 다시 변형하고 재구축하는 과정은 진실을 담아내는 매체로 여겨지는 사진을 향한 고정관념에 대한 혼란을 야기하고, 있는 그대로의 현실과 보이지 않는 이면 사이의 간극에 관해 환기한다.",백승우,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16116,http://collections.eseoul.go.kr/data/art/thumb/16116.jpg
회화,2017,헬로 들뢰즈씨,Hello Mr.Gilles Deleuze,218×291cm,2011,캔버스에 유채,,권여현,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16115,http://collections.eseoul.go.kr/data/art/thumb/16115.jpg
한국화,2017,조우,Encounter,180×230cm,2015,한지에 먹,,이채영,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16114,http://collections.eseoul.go.kr/data/art/thumb/16114.jpg
한국화,2017,조우,Encounter,180×230cm,2015,한지에 먹,,이채영,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16113,http://collections.eseoul.go.kr/data/art/thumb/16113.jpg
사진,2017,"서울의 초상-디지털미디어시티, 20161021","Portrait of Seoul-D.M.C, 20161021",46×120cm,2017,디지털 잉크젯 프린트,,박성훈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16112,http://collections.eseoul.go.kr/data/art/thumb/16112.jpg
사진,2017,"서울의 초상-공덕동, 20140603","Portrait of Seoul-Gongdeokdong, 20140603",46×120cm,2014,디지털 잉크젯 프린트,,박성훈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16111,http://collections.eseoul.go.kr/data/art/thumb/16111.jpg
사진,2017,"서울의 초상-행당동, 20160820","Portrait of Seoul-Haengdangdong, 20160820",46×120cm,2016,디지털 잉크젯 프린트,,박성훈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16110,http://collections.eseoul.go.kr/data/art/thumb/16110.jpg
사진,2017,"서울의 초상-광화문, 20161118","Portrait of Seoul-Gwanghwamun, 20161118",46×120cm,2016,디지털 잉크젯 프린트,,박성훈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16109,http://collections.eseoul.go.kr/data/art/thumb/16109.jpg
사진,2017,"서울의 초상-가락시장, 20160828","Portrait of Seoul-Garak Marketplace, 20160828",46×120cm,2016,디지털 잉크젯 프린트,,박성훈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16108,http://collections.eseoul.go.kr/data/art/thumb/16108.jpg
회화,2017,"흐르는 가벼움-한반도, 호피무늬",Flowing Lightness,257×162cm,2007-2008,캔버스에 아크릴릭,,윤종석,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16107,http://collections.eseoul.go.kr/data/art/thumb/16107.jpg
사진,2017,"씨앗-언어 01,02,03,04","Seed-Language 01,02,03,04",70×120cm(×4개),2013,디지털 잉크젯 프린트,,유기종,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16101,http://collections.eseoul.go.kr/data/art/thumb/16101.jpg
사진,2017,"온에어프로젝트 110-9, '뉴욕시리즈', 8시간","ON-AIR Project 110-9, from the Series 'New York', 8hours",120×160cm,2005,C-프린트,,김아타,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16100,http://collections.eseoul.go.kr/data/art/thumb/16100.jpg
사진,2017,"온에어프로젝트 110-7, '뉴욕시리즈', 8시간","ON-AIR Project 110-7, from the Series 'New York', 8 Hours",120×160cm,2005,C-프린트,,김아타,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16099,http://collections.eseoul.go.kr/data/art/thumb/16099.jpg
회화,2017,비둘기 2014-1,Dove 2014-1,130.3×162.1cm,2014,캔버스에 유채,,이종만,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16098,http://collections.eseoul.go.kr/data/art/thumb/16098.jpg
사진,2017,"피규어 프로젝트_땅 #59(1,2,3)","Figure Project_Earth #59(1,2,3)",150×120cm(x3개),2016,디지털 아카이벌 피그먼트 프린트,,박형렬,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16095,http://collections.eseoul.go.kr/data/art/thumb/16095.jpg
회화,2017,거리 속력 시간,Distance Speed Time,80.3×53.3cm(×3개),2016,캔버스에 아크릴릭,,심아빈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16094,http://collections.eseoul.go.kr/data/art/thumb/16094.jpg
회화,2017,너와 나,You & I,50×50cm(x7개),2011,캔버스에 아크릴릭,,심아빈,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16093,http://collections.eseoul.go.kr/data/art/thumb/16093.jpg
회화,2017,그림의 표면-저녁,The Surface of Painting-Evening,130×162cm,2008,캔버스에 유채,,오병욱,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16092,http://collections.eseoul.go.kr/data/art/thumb/16092.jpg
회화,2017,그림의 표면-아침,The Surface of Painting-Morning,130×162cm,2008,캔버스에 유채,,오병욱,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16091,http://collections.eseoul.go.kr/data/art/thumb/16091.jpg
사진,2017,일상의 풍경-종로,Daily Landscape-Jongno,30.5×40.6cm,2000,젤라틴 실버 프린트,,임영균,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16090,http://collections.eseoul.go.kr/data/art/thumb/16090.jpg
사진,2017,일상의 풍경-경포대,Daily Landscape-Gyeongpodae,30.5×40.6cm,1977,젤라틴 실버 프린트,,임영균,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16089,http://collections.eseoul.go.kr/data/art/thumb/16089.jpg
사진,2017,일상의 풍경-인사동,Daily Landscape-Insadong,30.5×40.6cm,1999,젤라틴 실버 프린트,,임영균,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16088,http://collections.eseoul.go.kr/data/art/thumb/16088.jpg
사진,2017,일상의 풍경-성수동,Daily Landscape-Seongsudong,30.5×40.6cm,1976,젤라틴 실버 프린트,,임영균,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16075,http://collections.eseoul.go.kr/data/art/thumb/16075.jpg
사진,2017,일상의 풍경-해남,Daily Landscape-Heanam,30.5×40.6cm,1999,젤라틴 실버 프린트,,임영균,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16074,http://collections.eseoul.go.kr/data/art/thumb/16074.jpg
사진,2017,누워있는 조각가의 시간 n.2,Le repos incomplet n.2,68×51cm,2016,디지털 아카이벌 피그먼트 프린트,,전명은,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16065,http://collections.eseoul.go.kr/data/art/thumb/16065.jpg
사진,2017,누워있는 조각가의 시간 n.3,Le repos incomplet n.3,68×51cm,2016,디지털 아카이벌 피그먼트 프린트,,전명은,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=16070,http://collections.eseoul.go.kr/data/art/thumb/16070.jpg
한국화,2017,미인도_꽃 축제(화전놀이)연작-B,Flower Festival Series-B,73×139cm,2016,순지에 채색,,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17274,http://collections.eseoul.go.kr/data/art/thumb/17274.jpg
한국화,2017,미인도_꽃 축제(화전놀이)연작-A,Flower Festival Series-A,73×139cm,2016,순지에 채색,,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17275,http://collections.eseoul.go.kr/data/art/thumb/17275.jpg
한국화,2017,미인도_신부,Beautiful Woman_Bride,115×52cm,2016,순지에 채색,,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17276,http://collections.eseoul.go.kr/data/art/thumb/17276.jpg
한국화,2017,미인도,Beautiful Woman,68×37cm,2009,순지에 채색,,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17183,http://collections.eseoul.go.kr/data/art/thumb/17183.jpg
한국화,2017,미인도,Beautiful Woman,65×41cm,2011,순지에 채색,,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17300,http://collections.eseoul.go.kr/data/art/thumb/17300.jpg
한국화,2017,미인도_귀가,Beautiful Woman_Come Home,58×75cm,2009,"순지에 먹, 수간채색",,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17182,http://collections.eseoul.go.kr/data/art/thumb/17182.jpg
한국화,2017,미인도_꿈,Beautiful Woman_Dream,86×107cm,2000,"장지에 먹, 수간채색, 황토",,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17278,http://collections.eseoul.go.kr/data/art/thumb/17278.jpg
한국화,2017,미인도_향기가 있는 방,Beautiful Woman_A Scented Room,97×58cm,2009,"순지에 먹, 수간채색",,박연옥,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17181,http://collections.eseoul.go.kr/data/art/thumb/17181.jpg
설치,2017,폭력,Violence,가변설치,2016,"가스통, 불꽃, 꽃다발, 양동이, 소화기, 벽돌",,주재환,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=23184,http://collections.eseoul.go.kr/data/art/thumb/23184.jpg
설치,2017,"부처, 예수가 보시기에 좋았더라?",Was it great from the view of Buddha and Jesus?,68×69×89cm(×84개),2016,종이박스 84개,,주재환,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17166,http://collections.eseoul.go.kr/data/art/thumb/17166.jpg
공예,2017,키다리 화분,키다리 화분,"104×32×32cm, 112×25×25cm, 108×25×25cm, 113×23×23cm, 103×24×24cm, 109×23×23cm, 104×25×25cm",2015,"대포가마번조, 판성형, 옹기질, 오짓물",,이현배(1962),http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17171,http://collections.eseoul.go.kr/data/art/thumb/17171.jpg
설치,2017,The Crying Space for Seoul,The Crying Space for Seoul,가변크기,2016,혼합매체,,에릭 앤더슨(Eric Andersen),http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17146,http://collections.eseoul.go.kr/data/art/thumb/17146.jpg
설치,2017,가벼운 유랑 #01,Light Meander #01,77×42.5×34cm,2016,철에 도색,,강서경,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17159,http://collections.eseoul.go.kr/data/art/thumb/17159.jpg
설치,2017,큰 발 #02,Foot-Big #02,70×94×10cm(×2개),2016,철에 도색,,강서경,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=21694,http://collections.eseoul.go.kr/data/art/thumb/21694.png
설치,2017,정정井井,Jeong Jeong,"163×61.3×16cm, 163×61.3×14cm",2016,철에 도색,,강서경,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17152,http://collections.eseoul.go.kr/data/art/thumb/17152.jpg
사진,2017,징검다리,징검다리,38×54.5cm,1979,잉크젯 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17269,http://collections.eseoul.go.kr/data/art/thumb/17269.jpg
사진,2017,씨름-남원 도동리,씨름-남원 도동리,72.5×60cm,1972,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17268,http://collections.eseoul.go.kr/data/art/thumb/17268.jpg
사진,2017,고향사람들-화순 동복,고향사람들-화순 동복,68.2×101.5cm,2016,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17267,http://collections.eseoul.go.kr/data/art/thumb/17267.jpg
사진,2017,널뛰기-광주직할시 광산구 칠석동 옷돌마을,널뛰기-광주직할시 광산구 칠석동 옷돌마을,94×76cm,1988,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17266,http://collections.eseoul.go.kr/data/art/thumb/17266.jpg
사진,2017,기원-도갑사,기원-도갑사,52×76.5cm,2016,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17265,http://collections.eseoul.go.kr/data/art/thumb/17265.jpg
사진,2017,헛간-제주시 서귀포시,헛간-제주시 서귀포시,80.5×77cm,1993,잉크젯 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17264,http://collections.eseoul.go.kr/data/art/thumb/17264.jpg
사진,2017,족두리,족두리,91×74.5cm,2003,디지털 피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17263,http://collections.eseoul.go.kr/data/art/thumb/17263.jpg
사진,2017,어머니와 딸-전북 임실군 덕치면 천담리 구담마을,어머니와 딸-전북 임실군 덕치면 천담리 구담마을,57×75.2cm,2008,디지털 은염 인화,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17262,http://collections.eseoul.go.kr/data/art/thumb/17262.jpg
사진,2017,집을 비우고,집을 비우고,70.4×92.8cm,2007,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17261,http://collections.eseoul.go.kr/data/art/thumb/17261.jpg
사진,2017,구십 평생 꽹가리옹-진도,구십 평생 꽹가리옹-진도,74.5×92cm,2008,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17260,http://collections.eseoul.go.kr/data/art/thumb/17260.jpg
사진,2017,낙안읍성-전남순천,낙안읍성-전남순천,89.5×74.5cm,1972,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17259,http://collections.eseoul.go.kr/data/art/thumb/17259.jpg
사진,2017,300년 세월-전남 담양,300년 세월-전남 담양,68×93cm,2009,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17258,http://collections.eseoul.go.kr/data/art/thumb/17258.jpg
사진,2017,산을 넘은 햇살과 노부부-경북 영양,산을 넘은 햇살과 노부부-경북 영양,57.5×78.5cm,2007,피그먼트 프린트,,강봉규,http://collections.eseoul.go.kr/common/file/getImage.do?size=700&fileSeq=17257,http://collections.eseoul.go.kr/data/art/thumb/17257.jpg
