순서,시설ID,컨텐츠 명,사용유무,테마 타입,x 좌표,y 좌표,좌표 배열,좌표타입,메인 이미지,새 주소,구 주소,우편번호,국가 지점 번호,테마 명,거리,업데이트 일,등록일,이미지 URL1,이미지 URL2,이미지 URL3,이미지 URL4,이미지 URL5,동영상 URL,음성파일 URL,평가 점수,평가자 인원,상세정보 이름 1,상세정보 값 1,상세정보 이름 2,상세정보 값 2,상세정보 이름 3,상세정보 값 3,상세정보 이름 4,상세정보 값 4,상세정보 이름 5,상세정보 값 5,상세정보 이름 6,상세정보 값 6,상세정보 이름 7,상세정보 값 7,상세정보 이름 8,상세정보 값 8,상세정보 이름 9,상세정보 값 9,상세정보 이름 10,상세정보 값 10
609,강동구_거치대_191,일반거치대,사용,일반,127.1248972,37.53797916,"[127.12489721014379,37.53797916358898]",Point,,서울특별시 강동구 천호대로 1016,서울특별시 강동구 성내동 49-14,5378,다사66864880,(친환경)자전거 편의시설,15246.51322,2023.4.12 15:58,2023.4.12 15:58,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","천호역 6번출구, 우리은행",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
610,강동구_거치대_192,일반거치대,사용,일반,127.1249609,37.53798218,"[127.12496086529835,37.537982182504365]",Point,,서울특별시 강동구 천호대로 1016,서울특별시 강동구 성내동 62-1,5378,다사66864880,(친환경)자전거 편의시설,15252.73249,2023.4.12 16:00,2023.4.12 16:00,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 6번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",4대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
611,강동구_거치대_193,일반거치대,사용,일반,127.1255084,37.53826559,"[127.12550842720768,37.53826559392367]",Point,,서울특별시 강동구 천호대로 1021,서울특별시 강동구 성내동 62-1,5328,다사66914883,(친환경)자전거 편의시설,15301.8601,2023.4.12 16:23,2023.4.12 16:23,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","천호역 5번출구, 이마트 앞",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",4대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
612,강동구_거치대_194,일반거치대,사용,일반,127.125446,37.5383037,"[127.12544598096531,37.538303703495984]",Point,,서울특별시 강동구 천호대로 1017,서울특별시 강동구 천호동 454-1,5328,다사66914884,(친환경)자전거 편의시설,15295.06108,2023.4.12 16:25,2023.4.12 16:25,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","천호역 5번출구, 이마트 앞",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",4대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
613,196,일반거치대,사용,일반,127.1255565,37.53827927,"[127.12555646545185,37.53827926659247]",Point,,서울특별시 강동구 천호대로 1021,서울특별시 강동구 천호동 454-1,5328,다사66914883,(친환경)자전거 편의시설,15306.36353,2023.4.12 16:42,2023.4.12 16:42,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","천호역 5번출구, 이마트 앞",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",6대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
614,197,일반거치대,사용,일반,127.1238926,37.53882155,"[127.12389264831053,37.53882155276316]",Point,,서울특별시 강동구 천호대로 1005,서울특별시 강동구 천호동 455-21,5328,다사66774889,(친환경)자전거 편의시설,15133.23111,2023.4.12 16:45,2023.4.12 16:45,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","천호역 3,4번출구, 천호역 현대백화점",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",25대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
615,198,일반거치대,사용,일반,127.1238668,37.53890259,"[127.12386677283827,37.538902592358795]",Point,,서울특별시 강동구 천호대로 1005,서울특별시 강동구 천호동 455-21,5328,다사66774890,(친환경)자전거 편의시설,15129.32565,2023.4.12 16:47,2023.4.12 16:47,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","천호역 3,4번출구, 천호역 현대백화점",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",15대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
616,199,일반거치대,사용,일반,127.1238979,37.53919113,"[127.1238978665823,37.5391911252005]",Point,,서울특별시 강동구 천호대로 1005,서울특별시 강동구 천호동 572,5328,다사66774894,(친환경)자전거 편의시설,15127.60423,2023.4.12 16:50,2023.4.12 16:50,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 3번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",24대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
617,200,일반거치대,사용,일반,127.1234366,37.53918402,"[127.12343663908969,37.53918402185492]",Point,,서울특별시 강동구 천호대로 997,서울특별시 강동구 성내동 62-1,5248,다사66734894,(친환경)자전거 편의시설,15082.233,2023.4.12 16:51,2023.4.12 16:51,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",6대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
618,강동구_거치대_206,일반거치대,사용,일반,127.1227301,37.53029777,"[127.12273008594305,37.5302977739201]",Point,,서울특별시 강동구 성내로 19,서울특별시 강동구 성내동 539-3,5392,다사66664795,(친환경)자전거 편의시설,15185.63792,2023.4.13 14:30,2023.4.13 14:30,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","서경빌딩 올리브영, 파리바게트 앞",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
619,강동구_거치대_207,일반거치대,사용,일반,127.1227525,37.53033841,"[127.12275251729261,37.530338406638506]",Point,,서울특별시 강동구 성내로 19,서울특별시 강동구 성내동 539-2,5392,다사66664795,(친환경)자전거 편의시설,15186.91943,2023.4.13 14:37,2023.4.13 14:37,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",서경빌딩 파리바게트 앞,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",5대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
620,강동구_거치대_208,일반거치대,사용,일반,127.1229237,37.53006629,"[127.12292365723731,37.53006629271416]",Point,,서울특별시 강동구 성내로 19,서울특별시 강동구 성내동 539-3,5392,다사66684792,(친환경)자전거 편의시설,15209.6791,2023.4.13 14:58,2023.4.13 14:58,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,기타|상업시설|,"상세위치(예, OO동 주민센터)","서경빌딩 아름다운가게 앞, 강동구청역 2번출구",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",16대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
621,강동구_거치대_214,일반거치대,사용,일반,127.1217737,37.53058709,"[127.12177366891703,37.530587092372414]",Point,,서울특별시 강동구 성내로 7,서울특별시 강동구 성내동 319-11,5392,다사66584798,(친환경)자전거 편의시설,15085.95495,2023.4.13 15:31,2023.4.13 15:31,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","성내로 319-10, 강동구청역 2번출구",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",4대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
622,강동구_거치대_215,일반거치대,사용,일반,127.1227124,37.53016139,"[127.12271238118049,37.53016138712022]",Point,,서울특별시 강동구 성내로 19,서울특별시 강동구 성내동 539-3,5392,다사66664793,(친환경)자전거 편의시설,15186.95851,2023.4.13 15:41,2023.4.13 15:41,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",강동구청역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",9대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
623,강동구_거치대_217,일반거치대,사용,일반,127.1210048,37.53044661,"[127.12100475293488,37.53044660702661]",Point,,서울특별시 강동구 올림픽로 546,서울특별시 강동구 성내동 553-34,5398,다사66514797,(친환경)자전거 편의시설,15014.1475,2023.4.13 16:19,2023.4.13 16:19,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",강동구청역 3번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",4대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
624,강동구_거치대_218,일반거치대,사용,일반,127.1210116,37.53048494,"[127.12101163275757,37.5304849367721]",Point,,서울특별시 강동구 성내로 4,서울특별시 강동구 성내동 553-34,5398,다사66514797,(친환경)자전거 편의시설,15013.95803,2023.4.13 16:24,2023.4.13 16:24,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",강동구청역 3번출구 뒷편,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",16대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
625,강동구_거치대_219,일반거치대,사용,일반,127.1214551,37.5306317,"[127.12145512354141,37.53063170294337]",Point,,서울특별시 강동구 천호옛길 14,서울특별시 강동구 성내동 320-7,5392,다사66554799,(친환경)자전거 편의시설,15053.90655,2023.4.13 16:30,2023.4.13 16:30,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","성내동 320-7, 강동구청역 2번출구",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",11대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
626,강동구_거치대_202,일반거치대,사용,일반,127.123466,37.53925904,"[127.123465975122,37.53925904058366]",Point,,서울특별시 강동구 천호대로 997,서울특별시 강동구 성내동 62-1,5248,다사66734894,(친환경)자전거 편의시설,15083.88638,2023.4.13 14:11,2023.4.13 14:11,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",강동구청 교통행정과,,
627,강동구_거치대_203,일반거치대,사용,일반,127.1234714,37.53930131,"[127.12347142225005,37.539301308995846]",Point,,서울특별시 강동구 천호대로 997,서울특별시 강동구 성내동 62-1,5248,다사66734895,(친환경)자전거 편의시설,15083.72672,2023.4.13 14:13,2023.4.13 14:13,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
628,강동구_거치대_220,일반거치대,사용,일반,127.1209054,37.5307843,"[127.12090542589105,37.53078429704713]",Point,,서울특별시 강동구 올림픽로 552,서울특별시 강동구 성내동 319-33,5391,다사66504800,(친환경)자전거 편의시설,14996.91929,2023.4.13 16:38,2023.4.13 16:38,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","성내동 319-33 던킨도너츠 앞, 강동구청역 1번출구",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
629,강동구_거치대_221,일반거치대,사용,일반,127.1209135,37.53087333,"[127.12091346382591,37.53087333183448]",Point,,서울특별시 강동구 올림픽로 552,서울특별시 강동구 성내동 319-33,5391,다사66504801,(친환경)자전거 편의시설,14995.72467,2023.4.13 16:41,2023.4.13 16:41,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",강동구청역 1번출구 뒤,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",5대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
630,강동구_거치대_204,일반거치대,사용,일반,127.1230003,37.53901813,"[127.12300026474776,37.53901813212776]",Point,,서울특별시 강동구 천호대로 995,서울특별시 강동구 성내동 62-1,5248,다사66694892,(친환경)자전거 편의시설,15041.96211,2023.4.13 14:18,2023.4.13 14:18,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 1번출구 뒤,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",3대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
631,강동구_거치대_222,일반거치대,사용,일반,127.1210055,37.53112826,"[127.12100554809737,37.53112826067853]",Point,,서울특별시 강동구 올림픽로 556,서울특별시 강동구 성내동 319-1,5391,다사66514804,(친환경)자전거 편의시설,14999.07054,2023.4.13 16:44,2023.4.13 16:44,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","올림픽로 556, 강동구청역 1번출구",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",19대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
632,강동구_거치대 205,일반거치대,사용,일반,127.1229268,37.539001,"[127.12292677547987,37.539000997071284]",Point,,서울특별시 강동구 천호대로 995,서울특별시 강동구 성내동 62-1,5248,다사66684891,(친환경)자전거 편의시설,15035.00298,2023.4.13 14:21,2023.4.13 14:21,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 1번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",27대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
633,강동구_거치대_201,일반거치대,사용,일반,127.1234604,37.5392348,"[127.12346043734884,37.53923479899404]",Point,,서울특별시 강동구 천호대로 997,서울특별시 강동구 성내동 62-1,5248,다사66734894,(친환경)자전거 편의시설,15083.74041,2023.4.13 14:09,2023.4.13 14:09,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",천호역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",18대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
784,동대문구_공기주입기_40,자전거 공기주입기,사용,일반,127.0756422,37.58210539,[],Point,,,서울특별시 중랑구 면목동 1049-12,,,(친환경)자전거 편의시설,10253.15884,2021.12.23 14:08,2021.12.23 14:08,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,기타|중랑천|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),수동식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
634,강동구_거치대_090,일반거치대,사용,일반,127.1341877,37.52314775,"[127.13418769426906,37.52314774497057]",Point,,서울특별시 강동구 양재대로 1307,서울특별시 강동구 성내동 441,5408,다사67674715,(친환경)자전거 편의시설,16467.87915,2023.4.7 15:56,2023.4.7 15:56,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,"기타|상업시설 (문구센터, 삼천리자전거)|","상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",25대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
635,강동구_거치대_099,일반거치대,사용,일반,127.1438285,37.54898981,"[127.14382848336692,37.548989812302636]",Point,,서울특별시 강동구 양재대로 1606,서울특별시 강동구 명일동 334-17,5295,다사68535002,(친환경)자전거 편의시설,16981.15614,2023.4.7 16:51,2023.4.7 16:51,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,기타|상업시설 (그린알로에)|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
636,강동구_거치대_223,일반거치대,사용,일반,127.1212478,37.53190759,"[127.12124777639863,37.53190758465153]",Point,,서울특별시 강동구 올림픽로 564,서울특별시 강동구 성내동 322-9,5391,다사66534813,(친환경)자전거 편의시설,15005.76205,2023.4.13 16:48,2023.4.13 16:48,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",올림픽로 562(훗데리아앞),설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
637,강동구_거치대_233,일반거치대,사용,일반,127.1331005,37.53543213,"[127.13310051759929,37.53543212707956]",Point,,서울특별시 강동구 천호대로 1096,서울특별시 강동구 성내동 160-52,5381,다사67584852,(친환경)자전거 편의시설,16098.76528,2023.4.17 15:00,2023.4.17 15:00,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","커피빈, 현대자동차, 강동역 3번출구",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",44대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,강동구청 교통행정과,강동구청 교통행정과
638,강동구_거치대_209,일반거치대,사용,일반,127.1226117,37.53021177,"[127.12261168029879,37.53021176669796]",Point,,서울특별시 강동구 성내로 19,서울특별시 강동구 성내동 539-2,5392,다사66654794,(친환경)자전거 편의시설,15176.01657,2023.4.13 15:04,2023.4.13 15:04,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)","성내동 539-2, 강동구청역 2번출구",설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
