번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수
129,산후조리업,01_01_04_P,3520000,PHMB120083520019042100001,2008.1.22,,3,폐업,3,폐업,2014.10.22,,,,,,406-833,인천광역시 연수구 옥련1동 305번지 3호,인천광역시 연수구 비류대로 202 (옥련동),406-833,미준맘산후조리원,2014.10.22 11:49,I,2018.8.31 23:59,,169556.7164,436213.1152,13,13,173,23.46,6.25,32.34,5.9,28.7,28.7,21,2,6,,2,1,,7,7,
130,산후조리업,01_01_04_P,3520000,PHMB120143520019042100002,2018.6.1,,3,폐업,3,폐업,2019.7.3,2018.6.15,2019.10.31,,328315007,,,,"인천광역시 연수구 비류대로 202, 7층 (옥련동)",21954,(주)이자르산후조리원 송도지점,2019.7.2 16:04,U,2019.7.4 2:40,,169556.7164,436213.1152,3,3,157.04,22.91,7.14,34.32,5.95,,,33.9,2,4,,2,1,,,7,
131,산후조리업,01_01_04_P,4670000,PHMB120074670076042100002,2007.2.28,,3,폐업,3,폐업,2009.4.2,,,,,,573-352,전라북도 군산시 나운2동 340번지 15호,,,은혜산후조리원,2009.4.3 15:55,I,2018.8.31 23:59,,172734.7597,273630.4926,10,12,,,,,,,,,,,,,,,,,
132,산후조리업,01_01_04_P,4640000,PHMB120084640131042100003,2008.10.20,,3,폐업,3,폐업,2014.4.18,,,,,,,,전라북도 전주시 덕진구 무삼지로 79 (인후동1가),561-845,아중산후조리원,2014.4.18 17:54,I,2018.8.31 23:59,,214621.988,259177.9147,8,8,,,,,,,,,,,,,,,,,
133,산후조리업,01_01_04_P,4640000,PHMB120144640131042100001,2014.1.27,,3,폐업,3,폐업,2016.11.8,2016.1.5,2017.2.28,,063-277-3478,,,,전라북도 전주시 덕진구 송천중앙로 169 (송천동1가),561-818,솔빛산후조리원,2016.11.8 16:40,I,2018.8.31 23:59,,210872.2512,262456.7433,5,5,63,8.5,5.5,,,,,,2,4,,1,,,0,,
134,산후조리업,01_01_04_P,4640000,PHMB120064640131042100001,2006.12.8,,3,폐업,3,폐업,2022.1.18,,,,063-247-2114,,561-845,전라북도 전주시 덕진구 인후동1가 908번지 7호,전라북도 전주시 덕진구 가재미로 7 (인후동1가),,푸른산후조리원,2022.1.18 18:11,U,2022.1.20 2:40,,214681.1911,258427.1296,8,8,35,43,8,43,0,10,8,7,3,11,0,3,2,0,0,0,0
135,산후조리업,01_01_04_P,4710000,PHMB120064710028042100001,2006.6.12,,3,폐업,3,폐업,2015.2.6,2015.1.1,2015.3.31,,,,576-010,전라북도 김제시 요촌동 594번지,전라북도 김제시 중앙로 121 (요촌동),576-807,한사랑산후조리원,2015.2.6 17:55,I,2018.8.31 23:59,,189919.4445,255962.5641,8,8,,,,,,,,,2,4,,,,2,,,
136,산후조리업,01_01_04_P,4710000,PHMB120044710028042100001,2004.6.25,,3,폐업,3,폐업,2016.6.28,,,,,,576-010,전라북도 김제시 요촌동 579번지,전라북도 김제시 중앙로 103 (요촌동),54382,미래와여성산후조리원,2016.6.28 16:21,I,2018.8.31 23:59,,189753.9423,256039.4116,5,5,,,,,,,,,1,2,,,,3,5,5,
137,산후조리업,01_01_04_P,4640000,PHMB120074640131042100001,2007.5.7,,3,폐업,3,폐업,2016.10.4,,,,,,560-281,전라북도 전주시 완산구 평화동1가 736번지 1호,전라북도 전주시 완산구 모악로 4750 (평화동1가),,참조은산후조리원,2016.10.4 14:09,I,2018.8.31 23:59,,211897.9505,254809.9438,1,1,,1,,,,,,,,,,,,,0,,
138,산후조리업,01_01_04_P,4640000,PHMB120094640131042100001,2009.7.7,,3,폐업,3,폐업,2017.9.27,,,,270-1114,,561-851,전라북도 전주시 덕진구 덕진동2가 142번지 1호,전라북도 전주시 덕진구 가련산로 99 (덕진동2가),,원광대학교전주한방병원산후조리원,2017.9.28 9:21,I,2018.8.31 23:59,,210413.7401,260761.1544,19,19,342,40,36,,,1.95,1.95,45,6,4,1,1,,,3,3,
139,산후조리업,01_01_04_P,4640000,PHMB120094640131042100002,2009.11.13,,3,폐업,3,폐업,2012.11.30,,,,252-9111,,561-231,전라북도 전주시 덕진구 인후동1가 594번지 7호,전라북도 전주시 덕진구 안덕원로 208 (인후동1가),,누가한방산후조리원,2012.10.31 17:43,I,2018.8.31 23:59,,213490.3551,259505.1268,7,7,59.46,16.9,8.4,,6.67,,19.49,,2,1,,1,,,4,4,
140,산후조리업,01_01_04_P,4640000,PHMB120134640131042100001,2013.10.4,,3,폐업,3,폐업,2019.7.31,,,,063-241-3522,,561-820,전라북도 전주시 덕진구 송천동2가 202번지 27호,전라북도 전주시 덕진구 천마산로 55 (송천동2가),54822,나래산후조리원,2019.8.6 14:23,U,2019.8.8 2:40,,211449.8697,262720.3299,7,7,90.9,25.1,6.5,,,,,,2,4,,1,,,3,3,
141,산후조리업,01_01_04_P,6510000,PHMB120016510096042100001,2001.12.15,,3,폐업,3,폐업,2009.3.2,2008.9.18,2009.2.9,,064-721-0555,,690-020,제주특별자치도 제주시 이도일동 1251번지,,,삼성산후조리원,2009.3.2 18:04,I,2018.8.31 23:59,,,,20,20,225.47,23.1,12.38,,,10.92,22.94,12.38,2,4,,,,,6,45,
142,산후조리업,01_01_04_P,6510000,PHMB120066510096042100001,2006.12.5,,3,폐업,3,폐업,2012.8.22,,,,064-724-3575,,690-030,제주특별자치도 제주시 삼도일동 570번지 2호,제주특별자치도 제주시 서광로 224 (삼도일동),,우리산후조리원,2012.12.18 9:21,I,2018.8.31 23:59,,155354.1915,451.0883538,9,9,105.9,20.29,3.77,,,0.68,26.65,3.91,2,3,,1,1,1,4,3,
143,산후조리업,01_01_04_P,6510000,PHMB120076510096042100001,2007.3.9,,3,폐업,3,폐업,2012.5.31,,,,064-756-1185,,690-022,제주특별자치도 제주시 이도이동 1781번지 5호,제주특별자치도 제주시 서광로 278 (이도이동),,다나산후조리원,2012.5.11 16:08,I,2018.8.31 23:59,,155897.8214,496.4538487,15,15,263.17,31.3,277.65,27.44,21.06,,,,5,4,,3,1,1,10,67,
144,산후조리업,01_01_04_P,6510000,PHMB120066510096042100002,2006.12.12,,3,폐업,3,폐업,2010.4.26,,,,064-712-2882,,690-180,제주특별자치도 제주시 노형동 719번지 4호,제주특별자치도 제주시 연북로 28 (노형동),,엠엔비산후조리원,2010.4.26 17:31,I,2018.8.31 23:59,,151998.9982,-1516.061461,14,14,142,56,11,11,14,2,8,,5,4,,1,1,1,5,5,
145,산후조리업,01_01_04_P,6510000,PHMB120076510096042100002,2007.4.17,,3,폐업,3,폐업,2014.11.3,,,,064-749-1313,,690-180,제주특별자치도 제주시 노형동 725번지,제주특별자치도 제주시 연북로 34 (노형동),,퀸사임당산후조리원,2015.2.5 15:44,I,2018.8.31 23:59,,152053.9425,-1518.125025,13,13,154.9,25.34,7.53,14.27,9.45,,8.4,,3,4,,1,1,,6,5,1
146,산후조리업,01_01_04_P,6510000,PHMB120066510096042100004,2006.9.7,,3,폐업,3,폐업,2023.7.13,2023.2.28,2023.12.31,,064-722-2277,,690-812,제주특별자치도 제주시 삼도일동 570번지,제주특별자치도 제주시 서광로 220 (삼도일동),,프린세스산후조리원,2023.7.13 17:24,U,2023.7.15 2:40,,155328.8298,451.5205356,12,12,135.29,25.22,4.2,33.65,5.09,0,32.11,18.55,3,8,0,2,1,1,5,4,0
147,산후조리업,01_01_04_P,6510000,PHMB120106510096042100001,2010.2.26,,3,폐업,3,폐업,2017.9.5,,,,757-5141,,690-162,제주특별자치도 제주시 오라2동 885번지 1호,제주특별자치도 제주시 오남로 224 (오라이동),,김순선산후조리원,2017.9.5 15:52,I,2018.8.31 23:59,,154762.6703,-2150.873089,8,8,131.24,14.28,13,21.39,5.88,,4.68,,2,4,,1,1,,2,2,0
148,산후조리업,01_01_04_P,6510000,PHMB120106510096042100002,2010.9.6,,3,폐업,3,폐업,2017.3.16,,,,064-712-2882,,690-802,제주특별자치도 제주시 노형동 719번지 4호 5층,"제주특별자치도 제주시 연북로 28 (노형동,5층)",,미래산후조리원,2017.3.16 18:20,I,2018.8.31 23:59,,151998.9982,-1516.061461,12,12,141.87,35.54,4.7,54,27,38.23,13.06,5.45,3,6,,1,1,1,6,5,1
149,산후조리업,01_01_04_P,6510000,PHMB120106510096042100003,2010.12.30,,3,폐업,3,폐업,2020.11.17,2020.6.8,2020.6.29,,,,,제주특별자치도 제주시 노형동 1296번지 3호,제주특별자치도 제주시 도령로 11 (노형동),63098,에덴산후조리원,2020.11.17 16:38,U,2020.11.19 2:40,,151644.8885,-907.8898708,12,12,160.62,23.37,14.1,14.89,12.1,25.36,3.37,13.65,3,7,,1,1,1,7,7,
150,산후조리업,01_01_04_P,6510000,PHMB120126510096042100001,2012.10.26,,3,폐업,3,폐업,2016.11.7,,,,064-745-0974,,690-803,제주특별자치도 제주시 노형동 1054번지 6번지,"제주특별자치도 제주시 월랑로8길 1, 7층 (노형동)",63097,맘스맘산후조리원,2016.11.7 11:54,I,2018.8.31 23:59,,151278.9916,-723.5332634,11,11,149.59,25.78,13.02,22.26,7.8,,8.4,12.37,3,6,0,1,1,,7,7,
151,산후조리업,01_01_04_P,6510000,PHMB120126510096042100002,2012.10.31,,3,폐업,3,폐업,2013.6.26,,,,064-722-0862,,690-850,제주특별자치도 제주시 삼도이동 602번지 5호,제주특별자치도 제주시  서사로  63 (삼도이동),690-850,소리산후조리업,2013.5.27 11:13,I,2018.8.31 23:59,,155340.6568,1256.080381,9,9,134.16,16.5,5.8,17.68,5.06,,8.76,9.61,3,6,,1,,,4,3,1
152,산후조리업,01_01_04_P,6510000,PHMB120136510096042100001,2013.3.29,,3,폐업,3,폐업,2018.10.30,,,,064-724-3575,,690-021,제주특별자치도 제주시 이도일동 1245번지 14호,제주특별자치도 제주시 동광로 31 (이도일동),63196,우리산후조리원,2018.10.30 14:08,U,2018.11.1 2:35,,156439.8844,768.7059197,12,12,105.6,22.3,9,16.8,6.87,32.4,6.87,3.75,3,5,,1,1,,7,6,1
153,산후조리업,01_01_04_P,6510000,PHMB120166510096042100001,2016.7.18,,3,폐업,3,폐업,2021.10.25,,,,064-741-5335,,,제주특별자치도 제주시 연동 1409번지,"제주특별자치도 제주시 과원로 70, 3층 (연동, 부림랜드)",63142,엔젤산후조리원,2021.10.25 17:57,U,2021.10.27 2:40,,152618.5392,-2193.377735,20,20,460,63.04,25.4,52,16.08,0,0,32.5,4,9,1,2,3,0,0,3,0
154,산후조리업,01_01_04_P,4231000,PHMB120064230018042100001,2006.7.3,,3,폐업,3,폐업,2018.5.2,,,,033-636-9050,,217-050,강원특별자치도 속초시 청학동 640번지 9호 9통 3반 4층,강원특별자치도 속초시 청학로 47 (청학동),24829,제일산후조리원,2019.12.19 16:22,I,2023.6.13 0:00,,338568.8604,523343.1152,9,9,118.26,17.28,4.4,14.4,0,0,24.3,0,2,3,0,0,0,0,4,4,0
155,산후조리업,01_01_04_P,4231000,PHMB120064230018042100002,2006.12.7,,3,폐업,3,폐업,2021.7.1,2020.5.1,2021.6.30,,033-637-9887,,,,강원특별자치도 속초시 동해대로 4117 (조양동),24874,하누리중앙산후조리원,2021.6.28 18:27,I,2023.6.13 0:00,,338694.6414,521885.6758,10,10,165,37,19,36,6,0,22,12,2,3,0,0,0,1,0,0,0
156,산후조리업,01_01_04_P,4211000,PHMB120064210020042100001,2006.12.12,,3,폐업,3,폐업,2014.5.24,,,,,,240-810,강원특별자치도 동해시 천곡동 1075번지 2호,강원특별자치도 동해시 천곡로 76 (천곡동),,다나산후조리원,2014.10.2 13:52,I,2023.6.13 0:00,,386753.7963,448835.8338,7,7,91.8,0,0,0,0,0,13.5,5.4,1,3,0,0,0,1,5,3,0
157,산후조리업,01_01_04_P,4211000,PHMB120124210020042100001,2012.1.20,,3,폐업,3,폐업,2016.3.28,,,,335311004,,240-140,강원특별자치도 동해시 용정동 범주성지2차 아파트 205동 306호,강원특별자치도 동해시 초원2길 5 (용정동),240-140,숲 산후조리원,2016.3.28 10:18,I,2023.6.13 0:00,,387754.265,447616.0561,9,9,10.9,20,11,11.6,4.6,3,4,7,2,5,0,2,1,0,2,2,0
158,산후조리업,01_01_04_P,3650000,PHMB120003650023042100001,2000.7.1,,3,폐업,3,폐업,2019.7.25,,,,,,,대전광역시 중구 유천동 306번지 26호,대전광역시 중구 계백로 1560 (유천동),34976,순풍산후조리원,2019.7.26 9:12,U,2019.7.28 2:40,,235267.7957,312996.9277,11,11,261,261,,,,,,,2,5,,1,2,2,5,,
159,산후조리업,01_01_04_P,3380000,PHMB120083380023042100001,2008.4.3,,3,폐업,3,폐업,2014.2.28,,,,7608006,,613-822,부산광역시 수영구 망미1동 431번지 5호,부산광역시 수영구 과정로 49 (망미동),613-822,아이드림 산후조리원,2014.2.28 10:45,I,2018.8.31 23:59,,391890.2178,188313.4733,14,14,14,25,,,,,,,4,6,0,,,1,2,2,
160,산후조리업,01_01_04_P,3400000,PHMB120133400013042100001,2013.1.15,,3,폐업,3,폐업,2021.5.25,2021.1.1,2021.6.30,,728-3530,,619-963,부산광역시 기장군 정관면 매학리 749번지 5호,"부산광역시 기장군 정관면 정관로 613, 4~5층",46023,마미캠프산후조리원,2021.5.25 17:07,U,2021.5.27 2:40,,398235.7416,204480.8012,27,27,533.9,53.3,18.8,52.7,9.2,8.4,79.2,9.3,4,11,0,3,2,,0,,
161,산후조리업,01_01_04_P,3700000,PHMB120143700018042100001,2014.12.22,,3,폐업,3,폐업,2019.6.5,,,,,,,,"울산광역시 남구 남산로 2 (무거동, 울산미즈병원)",44628,미즈산후조리원,2019.6.5 16:56,U,2019.6.7 2:40,,405849.7582,230432.9849,21,21,367.53,54.74,,,10.92,,69.47,,4,7,1,6,2,,6,4,
162,산후조리업,01_01_04_P,3710000,PHMB120033710033042100001,2003.6.10,,3,폐업,3,폐업,2012.11.30,,,,052-234-3575,,,,울산광역시 동구 방어진순환도로 747 (전하동),682-818,로즈메디산후조리원,2012.12.11 9:32,I,2018.8.31 23:59,,420383.2596,225907.9878,7,7,93,11.3,,,,12,,,3,2,,,,,6,,
163,산후조리업,01_01_04_P,3710000,PHMB120153710033042100001,2015.11.20,,3,폐업,3,폐업,2018.4.30,,,,052-235-0034,,,울산광역시 동구 서부동 324번지 1호 임태균산부인과,"울산광역시 동구 방어진순환도로 1125, 임태균산부인과 (서부동)",44016,임태균산후조리원,2018.4.30 13:25,I,2018.8.31 23:59,,419905.2027,229317.6637,7,7,169.65,20.8,14.06,,,,44.06,,4,6,,,,,1,1,
164,산후조리업,01_01_04_P,3730000,PHMB120113730017042100001,2011.5.31,,3,폐업,3,폐업,2019.9.20,2019.6.25,2019.9.30,,052)247-1600,,,울산광역시 울주군 범서읍 굴화리 327번지 9호,"울산광역시 울주군 범서읍 장검길 3, 보옥빌딩 4층",44933,울산르베르쏘 산후조리원,2019.9.19 13:54,U,2019.9.21 2:40,,404421.1718,231014.047,23,23,276,66.8,13.6,60.3,20.2,9.2,3.5,19.2,3,7,0,1,1,,4,4,
165,산후조리업,01_01_04_P,3530000,PHMB120063530019042100002,2006.12.14,,3,폐업,3,폐업,2016.11.16,,,,429-3535,,,인천광역시 남동구 구월동 1126번지 1호,"인천광역시 남동구 인주대로 582 (구월동, 신현프라자)",21570,삼성산후조리원,2016.11.16 15:48,I,2018.8.31 23:59,,173526.9724,438667.375,14,14,180.5,36.5,,48.4,6.72,,38.5,11.07,3,8,,2,2,1,10,6,
166,산후조리업,01_01_04_P,3530000,PHMB120083530019042100001,2008.4.22,,3,폐업,3,폐업,2020.2.12,,,,471-3582,,,"인천광역시 남동구 구월동 342번지 265호 외 2필지 2,3층","인천광역시 남동구 호구포로 826 (구월동, 다정산부인과)",21542,다정산후조리원,2020.2.12 13:44,U,2020.2.14 2:40,,175142.8656,439374.2018,40,40,333.8,35.06,,,,,,,3,9,0,3,2,,7,6,1
167,산후조리업,01_01_04_P,3530000,PHMB120063530019042100001,2006.12.13,,3,폐업,3,폐업,2009.10.27,,,,423-5435,,405-234,인천광역시 남동구 간석동 220번지 2호,인천광역시 남동구 경인로 661-1 (간석동),405-231,여우한방산후조리원,2011.11.4 15:56,I,2018.8.31 23:59,,174064.8187,440781.9476,16,13,192,23,7,39,9,32,32,9,2,5,,2,2,2,4,4,
168,산후조리업,01_01_04_P,3530000,PHMB120083530019042100002,2008.4.23,,3,폐업,3,폐업,2020.6.3,,,,4680104,,,인천광역시 남동구 간석동 424번지 진메디칼센터10층,"인천광역시 남동구 백범로 322 (간석동, 메디칼센터)",21511,진산후조리원,2020.6.3 17:31,U,2020.6.5 2:40,,174680.6876,440259.434,13,13,175.6,22.66,,37.9,12.27,,26.17,,2,3,,1,,,10,10,
169,산후조리업,01_01_04_P,3530000,PHMB120073530019042100001,2007.5.15,,3,폐업,3,폐업,2017.11.28,2010.3.29,2010.4.15,,461-2555,,,인천광역시 남동구 만수동 885번지 12호 신원빌딩5층,"인천광역시 남동구 구월로 359 (만수동, 신원빌딩)",21543,퀸스맘산후조리원,2017.11.28 16:16,I,2018.8.31 23:59,,176116.3639,439272.9005,14,14,133.51,27.9,,21.45,,2.1,15.5,10.2,1,2,,2,1,,6,5,
170,산후조리업,01_01_04_P,3510500,PHMB120063510021042100001,2006.12.7,,3,폐업,3,폐업,2011.10.7,,,,435-3575,,402-206,인천광역시 미추홀구 주안동 50-2번지 태양빌딩 2.3층,"인천광역시 미추홀구 주안로 156  (주안동,태양빌딩 2.3층)",402-837,대한산후조리원,2011.10.7 17:35,I,2018.8.31 23:59,,172239.894,440190.8188,12,12,107.52,21.76,11.7,27,15,14.79,16.82,11.25,1,6,,2,1,,12,10,2
171,산후조리업,01_01_04_P,3540000,PHMB120063540021042100002,2006.12.8,,3,폐업,3,폐업,2021.11.9,2021.6.8,2021.11.8,,325230700,,21390,,"인천광역시 부평구 부흥로294번길 4, 추인타워 (부평동)",21390,우먼메디칼산후조리원,2021.11.10 8:50,U,2021.11.12 2:40,,175549.5103,444034.1836,17,17,0,29.84,0,0,0,0,0,0,2,6,0,1,0,0,104,7,0
172,산후조리업,01_01_04_P,3540000,PHMB120083540021042100001,2008.2.13,,3,폐업,3,폐업,2018.2.12,,,,032-508-3575,,403-866,인천광역시 부평구 삼산동 464번지 1호 근영빌딩 7층,인천광역시 부평구 길주로 633 (삼산동),21344,미즈파크산후조리원,2018.2.12 11:35,I,2018.8.31 23:59,,176312.3778,445042.9591,16,16,295.3,38.56,17.4,,14.32,,,,3,6,,,1,1,10,7,3
173,산후조리업,01_01_04_P,3540000,PHMB120133540021042100001,2013.6.14,,3,폐업,3,폐업,2016.11.15,2016.6.30,2016.11.15,,070-7326-8757,,,인천광역시 부평구 갈산동 79번지 2층,인천광역시 부평구 주부토로 262-30 (갈산동),21317,우리맘산후조리원,2016.11.15 14:22,I,2018.8.31 23:59,,175961.8016,446267.9322,5,5,143.43,26.67,,16.48,4,,2.31,4.73,1,2,,1,,,2,2,
174,산후조리업,01_01_04_P,3560000,PHMB120083560021042100001,2008.3.24,,3,폐업,3,폐업,2022.9.21,,,,032-566-3313,,404-160,인천광역시 서구 검암동 524번지 3호 2층,"인천광역시 서구 승학로 528, 2층 (검암동, 아카데미프라자)",22705,엄마품산후조리원,2022.9.22 9:40,U,2022.9.24 2:40,,171500.341,451529.4622,20,20,221.83,44.4,6.87,45.16,4.78,46.72,0,12.7,1,1,0,1,2,3,2,0,0
175,산후조리업,01_01_04_P,3560000,PHMB120103560021042100001,2010.1.26,,3,폐업,3,폐업,2019.11.4,,,,567-5732,,,인천광역시 서구 왕길동 659번지 6호 검단리치웰프라자,"인천광역시 서구 검단로 480, 검단리치웰프라자 5층 (왕길동)",22636,미래안산후조리원,2019.11.4 15:07,U,2019.11.6 2:40,,169680.9951,455546.4649,16,16,224,29,18,63,4,,47,8,1,8,1,2,1,13,0,,
176,산후조리업,01_01_04_P,3560000,PHMB120113560021042100001,2011.5.19,,3,폐업,3,폐업,2022.6.20,,,,032-566-1737,,,인천광역시 서구 마전동 검단2지구 33블럭 2롯트,"인천광역시 서구 완정로 8 (마전동, 영진빌딩)",22642,예안 산후조리원,2022.6.23 9:35,U,2022.6.25 2:40,,171048.942,454721.4758,7,18,471.9,62,17.8,49.5,7.8,58.5,4.9,29,2,4,0,2,1,0,2,2,0
177,산후조리업,01_01_04_P,4800000,PHMB120084800026042100001,2008.5.1,2015.4.16,3,폐업,3,폐업,2015.3.20,,,,245-5251,,530-300,전라남도 목포시 호남동 430번지,전라남도 목포시 청호로 6-1 (호남동),,그린산후조리원,2015.4.16 9:47,I,2018.8.31 23:59,,143818.8504,144357.5121,9,9,15.84,13.94,29.7,,,,9.9,15.84,3,3,,,,,,,
178,산후조리업,01_01_04_P,4850000,PHMB119804850015042100001,1980.12.1,,3,폐업,3,폐업,1991.7.25,,,,,,517-804,전라남도 담양군 담양읍 지침리 136번지 6호,전라남도 담양군 담양읍 중앙로 38-1,,김조산소,2009.9.24 11:37,I,2018.8.31 23:59,,198430.5903,201916.0659,1,1,,,,,,,,,,,,,,,,,
179,산후조리업,01_01_04_P,4810000,PHMB120024810029042100001,2002.5.1,,3,폐업,3,폐업,2012.4.18,,,,,,550-250,전라남도 여수시 둔덕동 477번지 77호,,,성심산후조리원,2018.1.23 16:03,I,2018.8.31 23:59,,,,20,20,44.52,44.52,3.3,6.6,3.3,3.3,3.3,9.9,4,7,1,1,1,,2,2,
180,산후조리업,01_01_04_P,4810000,PHMB120104810029042100001,2010.9.30,,3,폐업,3,폐업,2018.6.18,,,,061-684-3200,,555-110,전라남도 여수시 화장동 871번지 3호,전라남도 여수시 성산로 19 (화장동),59637,아란산후조리원,2018.6.18 17:19,I,2018.8.31 23:59,,258483.99,141886.75,16,14,105.6,24.6,,,,,,,3,4,,1,,,2,2,
181,산후조리업,01_01_04_P,4810000,PHMB120124810029042100001,2012.1.9,,3,폐업,3,폐업,2019.6.3,,,,061-689-8123,,555-807,전라남도 여수시 학동 40번지 5호,전라남도 여수시 쌍봉로 70 (학동),59677,제일병원 산후조리원,2019.7.3 9:30,U,2019.7.5 2:40,,260737.8054,140997.1118,23,26,405.5,51.06,18.61,185.18,45.96,32,32,13.85,5,7,,2,1,1,9,8,1
182,산후조리업,01_01_04_P,3330000,PHMB120013330024042100001,2001.8.15,,3,폐업,3,폐업,2020.8.31,,,,,,612-032,부산광역시 해운대구 좌2동 1461번지 1호,부산광역시 해운대구 좌동로 88 (좌동),,마미캠프,2020.9.3 13:33,U,2020.9.5 2:40,,398074.1276,188030.0434,8,8,8,22.4,,,,,,,3,2,0,2,,,0,,
183,산후조리업,01_01_04_P,3330000,PHMB120073330024042100001,2012.1.3,,3,폐업,3,폐업,2013.5.1,,,,,,612-061,부산광역시 해운대구 반여1동 1291번지 832호,부산광역시 해운대구 재반로 199 (반여동),,새아산후조리원,2016.7.4 10:26,I,2018.8.31 23:59,,393966.0582,190509.0537,7,7,,18,,,,,,,2,5,1,,,,5,,
184,산후조리업,01_01_04_P,3330000,PHMB120023330024042100001,2002.8.19,,3,폐업,3,폐업,2017.9.22,,,,,,612-021,부산광역시 해운대구 우1동 639번지 3호,부산광역시 해운대구 구남로8번길 40 (우동),,메디우먼 산후조리원,2017.9.22 15:57,I,2018.8.31 23:59,,396478.1795,186902.8292,11,12,,20.5,,,,,,,5,3,,,,5,9,7,
185,산후조리업,01_01_04_P,3320000,PHMB120053320045042100001,2005.2.10,,3,폐업,3,폐업,2020.9.15,,,,797-7790,,616-121,부산광역시 북구 화명1동 1222번지 1호,"부산광역시 북구 금곡대로 284 (화명동, 미즈웰산부인과의원 8~10층)",46533,조은미즈산후조리원,2020.9.11 17:06,U,2020.9.13 2:40,,383274.9152,194563.6907,23,23,406.64,41.04,,,,,,,4,11,,1,1,,11,891,
186,산후조리업,01_01_04_P,3340000,PHMB120033340025042100001,2003.1.1,,3,폐업,3,폐업,2012.10.15,,,,051-600-3800,,604-051,부산광역시 사하구 다대동 1551번지 13호,부산광역시 사하구 다대로 616 (다대동),,한가족산후조리원,2012.10.15 15:28,I,2018.8.31 23:59,,379711.8675,174294.9186,5,5,654.9,29.89,14.9,,8,,,,2,2,,,1,,,,
187,산후조리업,01_01_04_P,3340000,PHMB120023340025042100001,2002.6.3,,3,폐업,3,폐업,2009.9.7,,,,051-291-0600,,604-020,부산광역시 사하구 하단동 525번지 23호,부산광역시 사하구 낙동남로 1395 (하단동),,참여성병원산후조리원,2009.9.7 11:39,I,2018.8.31 23:59,,379028.6007,180390.0424,8,8,116.13,,14.12,,,,,,3,2,,,1,,7,6,
188,산후조리업,01_01_04_P,3340000,PHMB120043340025042100001,2004.2.16,,3,폐업,3,폐업,2008.12.31,,,,051-293-5882,,604-083,부산광역시 사하구 괴정동 262번지 1호,부산광역시 사하구 낙동대로 184 (괴정동),,사임당 산후조리원,2009.3.10 17:20,I,2018.8.31 23:59,,381944.4684,179879.7156,12,12,7.5,17.2,6.8,15.4,2.5,3.1,6.5,6.6,2,2,,1,,,4,2,
189,산후조리업,01_01_04_P,3260000,PHMB120073260022042100001,2007.1.2,,3,폐업,3,폐업,2012.4.2,,,,,,602-103,부산광역시 서구 동대신동3가 146번지 10호,부산광역시 서구 보수대로 240-1 (동대신동3가),,새부산산후조리원,2012.4.2 15:31,I,2018.8.31 23:59,,383902.4564,181494.1138,7,3,11.2,,,,,,,,1,2,,,,,,,
190,산후조리업,01_01_04_P,3260000,PHMB120083260022042100001,2008.10.10,,3,폐업,3,폐업,2015.2.1,,,,051-600-7565,,602-819,"부산광역시 서구 서대신동2가 부산 위생병원 산후조리원 (서구 대티로 170, 서대신동2가 )",부산광역시 서구 대티로 170 (서대신동2가),602-819,삼육부산병원 산후조리원,2015.1.30 14:17,I,2018.8.31 23:59,,383257.4225,181052.8401,15,15,6.3,1.7,,,,,,,,,,,,,0,,
191,산후조리업,01_01_04_P,3350000,PHMB120063350024042100001,2006.11.22,,3,폐업,3,폐업,2011.6.23,,,,515-0123,,609-312,부산광역시 금정구 구서동 201번지 23호,부산광역시 금정구 중앙대로 1897 (구서동),,순 산후조리원,2011.6.23 16:40,I,2018.8.31 23:59,,390246.2593,196918.9586,14,14,166.78,28.35,10.12,,,,,4.63,3,7,,2,2,,9,2,
192,산후조리업,01_01_04_P,3350000,PHMB120013350024042100001,2001.11.7,,3,폐업,3,폐업,2009.11.3,,,,513-2221,,609-312,부산광역시 금정구 구서동 1026번지 13호,부산광역시 금정구 금샘로 369 (구서동),,사임당 산후조리원 금샘점,2009.11.3 13:28,I,2018.8.31 23:59,,389622.674,197183.6285,20,20,161.88,35.8,9.3,34.53,4.86,7.1,12.66,4,2,7,0,3,2,2,6,3,
193,산후조리업,01_01_04_P,3350000,PHMB120113350024042100001,2011.6.17,,3,폐업,3,폐업,2023.3.27,2020.9.10,2021.10.1,,515-0005,,609-819,부산광역시 금정구 부곡3동 225-24,부산광역시 금정구 중앙대로 1701 (부곡동),46277,순 산후조리원,2023.3.27 17:25,U,2023.5.26 8:48,,390310.1347,195024.8687,24,24,482,43,11,57,37,0,0,8,3,10,0,1,1,1,2,2,0
