"키값","기관코드","유형1","유형2","대표기관명","전체기관명","최하위기관명","대표전화번호","새우편번호","주소","도로명주소","행정시","행정구","행정동"
"BE_LiST27-0154","1710631","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 서울정릉우체국","서울정릉우체국","02-914-0205","02718","","서울특별시 성북구 보국문로 12 (정릉동)","서울특별시","성북구","정릉2동"
"BE_LiST27-0155","1710635","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 서울종암동우체국","서울종암동우체국","02-912-0102","02800","","서울특별시 성북구 종암로 64 (종암동)","서울특별시","성북구","종암동"
"BE_LiST27-0156","1710639","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울성북우체국 한국과학기술연구원우체국","한국과학기술연구원우체국","02-963-3022","02792","","서울특별시 성북구 화랑로14길 5 (하월곡동)","서울특별시","성북구","월곡2동"
"BE_LiST27-0157","1710659","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국","서울송파우체국","02-405-8780","05661","","서울특별시 송파구 오금로 323 (오금동 50-3)","서울특별시","송파구","오금동"
"BE_LiST27-0158","1710683","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울가든파이브우체국","서울가든파이브우체국","02-2157-2035","05838","","서울특별시 송파구 충민로 66 (문정동516번지 라이프테크노관 1002호)","서울특별시","송파구","문정2동"
"BE_LiST27-0159","1710676","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울가락본동우체국","서울가락본동우체국","02-408-0409","05717","","서울특별시 송파구 송파대로 30길 36 (가락동77)","서울특별시","송파구","가락본동"
"BE_LiST27-0160","1710680","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울거여동우체국","서울거여동우체국","02-402-2856","05771","","서울특별시 송파구 양산로 3 (거여동 289-6 )","서울특별시","송파구","거여1동"
"BE_LiST27-0161","1710668","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울마천동우체국","서울마천동우체국","02-407-6661","05757","","서울특별시 송파구 거마로20길 34 (마천1동 128-75)","서울특별시","송파구","마천1동"
"BE_LiST27-0162","1710678","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울문정동우체국","서울문정동우체국","02-409-0800","05834","","서울특별시 송파구 중대로 20 (문정2동 150-17)","서울특별시","송파구","문정2동"
"BE_LiST27-0163","1710672","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울송파우체국 서울방이동우체국","서울방이동우체국","02-417-0789","05642","","서울특별시 송파구 오금로 187 (방이동 115-14)","서울특별시","송파구","방이2동"
"BE_LiST27-0038","1710592","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울개포동우체국","서울개포동우체국","02-445-6576","06331","","서울특별시 강남구 영동대로3길 7 (개포동)","서울특별시","강남구","개포2동"
"BE_LiST27-0039","1714581","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울무역센터우체국","서울무역센터우체국","02-551-0004","06164","","서울특별시 강남구 영동대로 511 (삼성동)","서울특별시","강남구","삼성1동"
"BE_LiST27-0040","1710596","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울삼성동우체국","서울삼성동우체국","02-562-0208","06153","","서울특별시 강남구 선릉로 572 (삼성동)","서울특별시","강남구","삼성2동"
"BE_LiST27-0041","1710599","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울상록회관우체국","서울상록회관우체국","02-567-2974","06152","","서울특별시 강남구 언주로 508 서울상록회관 1층 (역삼동)","서울특별시","강남구","역삼1동"
"BE_LiST27-0042","1710603","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울수서동우체국","서울수서동우체국","02-451-0009","06349","","서울특별시 강남구 광평로 303 (수서동)","서울특별시","강남구","수서동"
"BE_LiST27-0043","1710595","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울역삼1동우체국","서울역삼1동우체국","02-552-0159","06133","","서울특별시 강남구 테헤란로 131 (역삼동)","서울특별시","강남구","역삼1동"
"BE_LiST27-0044","1710598","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울역삼2동우체국","서울역삼2동우체국","02-555-0600","06225","","서울특별시 강남구 역삼로 239 (역삼동)","서울특별시","강남구","역삼2동"
"BE_LiST27-0045","1710594","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울역삼동우체국","서울역삼동우체국","02-557-2054","06123","","서울특별시 강남구 강남대로 458 남영빌딩 3층 (역삼동)","서울특별시","강남구","역삼1동"
"BE_LiST27-0046","1710590","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울영동우체국","서울영동우체국","02-541-0110","06061","","서울특별시 강남구 학동로 212 (논현동)","서울특별시","강남구","논현2동"
"BE_LiST27-0047","1710591","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울은마아파트우체국","서울은마아파트우체국","02-566-0400","06284","","서울특별시 강남구 삼성로 212 (대치동)","서울특별시","강남구","대치2동"
"BE_LiST27-0048","1710600","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울일원동우체국","서울일원동우체국","02-459-2500","06341","","서울특별시 강남구 양재대로55길 20 (일원동)","서울특별시","강남구","일원1동"
"BE_LiST27-0049","1710601","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울일원본동우체국","서울일원본동우체국","02-2226-0004","06361","","서울특별시 강남구 광평로20길 8 (일원본동)","서울특별시","강남구","일원본동"
"BE_LiST27-0050","1710593","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강남우체국 서울현대아파트우체국","서울현대아파트우체국","02-544-0002","06002","","서울특별시 강남구 논현로190길 75 (압구정동)","서울특별시","강남구","삼성2동"
"BE_LiST27-0051","1710643","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국","서울강동우체국","02-440-2828","05350","","서울특별시 강동구 양재대로 112길 57 (길동)","서울특별시","강동구","길동"
"BE_LiST27-0052","1710658","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국 서울강일동우체국","서울강일동우체국","02-3427-4564","05211","","서울특별시 강동구 아리수로91길 12 (강일동)","서울특별시","강동구","강일동"
"BE_LiST27-0053","1710653","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국 서울고덕동우체국","서울고덕동우체국","02-426-0004","05274","","서울특별시 강동구 고덕로 362 (상일동)","서울특별시","강동구","상일동"
"BE_LiST27-0054","1710651","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국 서울명일동우체국","서울명일동우체국","02-3427-2001","05292","","서울특별시 강동구 구천면로 424-9 (명일동)","서울특별시","강동구","명일1동"
"BE_LiST27-0055","1710657","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국 서울상일동우체국","서울상일동우체국","02-426-2505","05283","","서울특별시 강동구 상일로 9 (상일동)","서울특별시","강동구","상일동"
"BE_LiST27-0056","1710656","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국 서울성내1동우체국","서울성내1동우체국","02-474-2005","05399","","서울특별시 강동구 성내로 38 (성내1동)","서울특별시","강동구","성내1동"
"BE_LiST27-0057","1710655","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국 서울성내동우체국","서울성내동우체국","02-470-1141","05408","","서울특별시 강동구 양재대로 1309 (성내3동)","서울특별시","강동구","성내3동"
"BE_LiST27-0058","1710652","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강동우체국 서울천호동우체국","서울천호동우체국","02-472-3301","05328","","서울특별시 강동구 구천면로 188 (천호동)","서울특별시","강동구","천호2동"
"BE_LiST27-0059","1710699","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국","서울강서우체국","02-3661-0004","07582","","서울특별시 강서구 강서로 448","서울특별시","강서구","등촌3동"
"BE_LiST27-0060","1710707","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 서울가양동우체국","서울가양동우체국","02-2668-0100","07525","","서울특별시 강서구 허준로 95-5","서울특별시","강서구","가양2동"
"BE_LiST27-0061","1710708","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 서울공항동우체국","서울공항동우체국","02-2662-2005","07619","","서울특별시 강서구 공항대로 41","서울특별시","강서구","공항동"
"BE_LiST27-0062","1710711","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 서울등촌동우체국","서울등촌동우체국","02-2658-2004","07588","","서울특별시 강서구 화곡로 63길 90","서울특별시","강서구","등촌3동"
"BE_LiST27-0063","1710712","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 서울발산동우체국","서울발산동우체국","02-2663-2530","07639","","서울특별시 강서구 강서로 283","서울특별시","강서구","발산1동"
"BE_LiST27-0064","1710713","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 서울방화동우체국","서울방화동우체국","02-2661-2002","07512","","서울특별시 강서구 금낭화로 26길 22","서울특별시","강서구","방화3동"
"BE_LiST27-0065","1710709","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 서울염창동우체국","서울염창동우체국","02-3665-0591","07558","","서울특별시 강서구 공항대로 623","서울특별시","강서구","염창동"
"BE_LiST27-0066","1710714","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 서울화곡4동우체국","서울화곡4동우체국","02-2653-0004","07741","","서울특별시 강서구 곰달래로 265","서울특별시","강서구","화곡4동"
"BE_LiST27-0067","1710710","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울강서우체국 화곡우체국","화곡우체국","02-2602-0014","07721","","서울특별시 강서구 까치산로 55","서울특별시","강서구","화곡본동"
"BE_LiST27-0068","1710531","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울관악우체국","서울관악우체국","02-885-0002","08755","","서울특별시 관악구 남부순환로 1643 (신림동 1412-2)","서울특별시","관악구","신림동"
"BE_LiST27-0069","1710539","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울관악우체국 서울난곡우체국","서울난곡우체국","02-863-3415","08771","","서울특별시 관악구 난곡로 275 (미성동 1476-53)","서울특별시","관악구","미성동"
"BE_LiST27-0070","1710542","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울관악우체국 서울대학교우체국","서울대학교우체국","02-889-0205","08826","","서울특별시 관악구 관악로 1 (대학동 산 56-1)","서울특별시","관악구","낙성대동"
"BE_LiST27-0071","1710540","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울관악우체국 서울봉천동우체국","서울봉천동우체국","02-878-2005","08727","","서울특별시 관악구 관악로 249-1 (성현동 7-270)","서울특별시","관악구","성현동"
"BE_LiST27-0072","1710541","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울관악우체국 서울신림동우체국","서울신림동우체국","02-889-2005","08814","","서울특별시 관악구 대학5길 38 (대학동 244-20)","서울특별시","관악구","대학동"
"BE_LiST27-0073","1710544","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울관악우체국 서울은천동우체국","서울은천동우체국","02-886-2005","08750","","서울특별시 관악구 봉천로27길 58 (은천동 935-3)","서울특별시","관악구","은천동"
"BE_LiST27-0074","1710543","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울관악우체국 서울행운동우체국","서울행운동우체국","02-871-2005","08738","","서울특별시 관악구 남부순환로 1841 (행운동 1666-43)","서울특별시","관악구","행운동"
"BE_LiST27-0075","1710468","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국","서울광진우체국","02-2049-0549","05048","","서울특별시 광진구 강변역로 2 (구의동)","서울특별시","광진구","구의3동"
"BE_LiST27-0076","1710488","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울건국대학교우체국","서울건국대학교우체국","02-452-3260","05029","","서울특별시 광진구 아차산로 263 (화양동)","서울특별시","광진구","구의1동"
"BE_LiST27-0077","1710479","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울금호동우체국","서울금호동우체국","02-2235-2005","04723","","서울특별시 성동구 금호로11길 2 (금호동2가)","서울특별시","성동구","금호2.3가동"
"BE_LiST27-0078","1710490","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울뚝섬우체국","서울뚝섬우체국","02-464-2005","04780","","서울특별시 성동구 뚝섬로3길 10 (성수동1가)","서울특별시","성동구","성수1가1동"
"BE_LiST27-0079","1710480","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울마장동우체국","서울마장동우체국","02-2299-2005","04748","","서울특별시 성동구 고산자로 352 (마장동)","서울특별시","성동구","마장동"
"BE_LiST27-0080","1710478","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울성동우체국","서울성동우체국","02-2292-0014","04715","","서울특별시 성동구 왕십리로 303 (행당동)","서울특별시","성동구","행당1동"
"BE_LiST27-0081","1710483","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울성수동우체국","서울성수동우체국","02-468-2004","04782","","서울특별시 성동구 아차산로 104 (성수동2가)","서울특별시","성동구","성수2가3동"
"BE_LiST27-0082","1710486","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울왕십리우체국","서울왕십리우체국","02-2295-2060","04707","","서울특별시 성동구 마장로 194 (홍익동)","서울특별시","성동구","왕십리도선동"
"BE_LiST27-0083","1710484","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울용답동우체국","서울용답동우체국","02-2212-2466","04808","","서울특별시 성동구 천호대로 378 (용답동)","서울특별시","성동구","용답동"
"BE_LiST27-0084","1710487","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울자양동우체국","서울자양동우체국","02-455-2050","05100","","서울특별시 광진구 뚝섬로 640 (자양동)","서울특별시","광진구","자양2동"
"BE_LiST27-0085","1710481","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울중곡동우체국","서울중곡동우체국","02-444-2005","04921","","서울특별시 광진구 긴고랑로 68 (중곡동)","서울특별시","광진구","중곡2동"
"BE_LiST27-0086","1710489","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울한양대학교우체국","서울한양대학교우체국","02-2292-0205","04763","","서울특별시 성동구 왕십리로 222 (사근동)","서울특별시","성동구","사근동"
"BE_LiST27-0087","1710482","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울광진우체국 서울화양동우체국","서울화양동우체국","02-463-2005","05008","","서울특별시 광진구 광나루로 356 (화양동)","서울특별시","광진구","화양동"
"BE_LiST27-0088","1710604","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국","서울금천우체국","02-854-0004","08576","","서울특별시 금천구 시흥대로 410 (독산4동 )","서울특별시","금천구","독산4동"
"BE_LiST27-0089","1710614","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울가산동우체국","서울가산동우체국","02-862-0004","08528","","서울특별시 금천구 남부순환로 1288 (가산동)","서울특별시","금천구","가산동"
"BE_LiST27-0090","1710619","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울가산디지털우체국","서울가산디지털우체국","02-2626-9400","08506","","서울특별시 금천구 가산디지털 2로 108 (가산동)","서울특별시","금천구","가산동"
"BE_LiST27-0091","1710613","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울고척동우체국","서울고척동우체국","02-2612-0009","08218","","서울특별시 구로구 중앙로 76 (고척동)","서울특별시","구로구","고척1동"
"BE_LiST27-0092","1710616","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울구로1동우체국","서울구로1동우체국","02-865-0004","08324","","서울특별시 구로구 구일로 64 (구로동)","서울특별시","구로구","구로1동"
"BE_LiST27-0093","1710617","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울구로4동우체국","서울구로4동우체국","02-863-0004","08311","","서울특별시 구로구 구로동로 130-2 (구로동)","서울특별시","구로구","구로4동"
"BE_LiST27-0094","1710618","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울구로디지털단지우체국","서울구로디지털단지우체국","02-853-0004","08393","","서울특별시 구로구 디지털로26길 144","서울특별시","구로구","구로3동"
"BE_LiST27-0095","1710621","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울동구로우체국","서울동구로우체국","02-857-2004","08302","","서울특별시 구로구 구로중앙로18길 5","서울특별시","구로구","구로4동"
"BE_LiST27-0096","1710620","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울시흥1동우체국","서울시흥1동우체국","02-806-2003","08622","","서울특별시 금천구 독산로 123 (시흥1동)","서울특별시","금천구","시흥1동"
"BE_LiST27-0097","1710612","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울시흥동우체국","서울시흥동우체국","02-802-0205","08632","","서울특별시 금천구 시흥대로 217 (시흥동)","서울특별시","금천구","시흥1동"
"BE_LiST27-0098","1710622","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울신도림우체국","서울신도림우체국","02-2637-3322","08208","","서울특별시 구로구 경인로 67길23 (신도림동)","서울특별시","구로구","신도림동"
"BE_LiST27-0099","1710615","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울금천우체국 서울오류동우체국","서울오류동우체국","02-2613-2005","08267","","서울특별시 구로구 경인로 227 (오류동)","서울특별시","구로구","오류1동"
"BE_LiST27-0101","1710783","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울공릉동우체국","서울공릉동우체국","02-973-9000","01849","","서울특별시 노원구 동일로 988 (공릉1동)","서울특별시","노원구","공릉1동"
"BE_LiST27-0102","1710777","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울상계10동우체국","서울상계10동우체국","02-932-0101","01678","","서울특별시 노원구 노원로 510 (상계10동)","서울특별시","노원구","상계10동"
"BE_LiST27-0103","1710774","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울상계1동우체국","서울상계1동우체국","02-934-7063","01630","","서울특별시 노원구 동일로 1632 (상계1동)","서울특별시","노원구","상계1동"
"BE_LiST27-0104","1710775","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울상계3동우체국","서울상계3동우체국","02-936-2005","01640","","서울특별시 노원구 덕릉로113길 18 (상계3동)","서울특별시","노원구","상계3.4동"
"BE_LiST27-0105","1710776","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울상계6동우체국","서울상계6동우체국","02-935-6005","01762","","서울특별시 노원구 노해로 448 (상계6동)","서울특별시","노원구","상계6.7동"
"BE_LiST27-0106","1710784","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울수락산우체국","서울수락산우체국","02-933-6508","01604","","서울특별시 노원구 동일로 1693-6 (상계1동)","서울특별시","노원구","상계1동"
"BE_LiST27-0107","1710781","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울월계2동우체국","서울월계2동우체국","02-990-2005","01880","","서울특별시 노원구 월계로 317 (월계동)","서울특별시","노원구","월계2동"
"BE_LiST27-0108","1710782","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울월계3동우체국","서울월계3동우체국","02-974-1005","01911","","서울특별시 노원구 마들로 57-1 (월계3동)","서울특별시","노원구","월계3동"
"BE_LiST27-0109","1710779","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울중계3동우체국","서울중계3동우체국","02-974-0014","01789","","서울특별시 노원구 공릉로 392 (중계3동)","서울특별시","노원구","중계2.3동"
"BE_LiST27-0110","1710778","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울중계동우체국","서울중계동우체국","02-952-0014","01721","","서울특별시 노원구 한글비석로 286 (중계본동)","서울특별시","노원구","중계본동"
"BE_LiST27-0111","1710780","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울노원우체국 서울하계1동우체국","서울하계1동우체국","02-971-0004","01791","","서울특별시 노원구 노원로 259 (하계1동)","서울특별시","노원구","하계1동"
"BE_LiST27-0112","1714562","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국","서울도봉우체국","02-901-0500","01450","","서울특별시 도봉구 노해로 150","서울특별시","도봉구","쌍문3동"
"BE_LiST27-0113","1714594","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울강북우체국","서울강북우체국","02-980-0014","01158","","서울특별시 강북구 솔매로50길 55","서울특별시","강북구","송중동"
"BE_LiST27-0114","1714568","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울도봉1동우체국","서울도봉1동우체국","02-954-1698","01304","","서울특별시 도봉구 도봉로 871","서울특별시","도봉구","도봉1동"
"BE_LiST27-0115","1714567","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울방학동우체국","서울방학동우체국","02-956-0100","01334","","서울특별시 도봉구 도봉로 686","서울특별시","도봉구","방학1동"
"BE_LiST27-0116","1714598","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 서울도봉우체국 서울번2동우체국","서울번2동우체국","02-987-2645","01145","","서울특별시 강북구 오현로35길 65","서울특별시","강북구","번2동"
"BE_LiST27-0006","1710423","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울숭인동우체국","서울숭인동우체국","02-745-0917","03108","","서울특별시 종로구 지봉로 88","서울특별시","종로구","숭인1동"
"BE_LiST27-0007","1710416","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울안국동우체국","서울안국동우체국","02-735-2005","03060","","서울특별시 종로구 율곡로 49","서울특별시","종로구","삼청동"
"BE_LiST27-0008","1710417","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울원남동우체국","서울원남동우체국","02-742-8004","03136","","서울특별시 종로구 율곡로 160","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST27-0009","1710419","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울종로2가우체국","서울종로2가우체국","02-743-8973","03140","","서울특별시 종로구 종로17길 8","서울특별시","종로구","종로1.2.3.4가동"
"BE_LiST27-0010","1710420","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울종로5가우체국","서울종로5가우체국","02-763-0004","03129","","서울특별시 종로구 종로 207-1","서울특별시","종로구","종로5.6가동"
"BE_LiST27-0011","1710421","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울통의동우체국","서울통의동우체국","02-738-2005","03044","","서울특별시 종로구 자하문로 30","서울특별시","종로구","사직동"
"BE_LiST27-0012","1710418","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 서울혜화동우체국","서울혜화동우체국","02-743-0014","03075","","서울특별시 종로구 혜화로 1","서울특별시","종로구","혜화동"
"BE_LiST27-0013","1710429","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 정부서울청사우체국","정부서울청사우체국","02-739-4662","03171","","서울특별시 종로구 세종대로 209","서울특별시","종로구","사직동"
"BE_LiST27-0014","1710427","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 광화문우체국 한국방송통신대학우체국","한국방송통신대학우체국","02-743-0150","03087","","서울특별시 종로구 대학로 86 대학본부 내 1층","서울특별시","종로구","이화동"
"BE_LiST27-0015","1710812","우정","우정_물류센터","미래부","미래창조과학부 우정사업본부 서울지방우정청 국제우편물류센터","국제우편물류센터","032-745-9733","22381","","인천광역시 중구 공항동로193번길 40-32","인천광역시","중구","운서동"
"BE_LiST27-0016","1710447","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국","동대문우체국","02-2210-3703","02586","","서울특별시 동대문구 천호대로 4","서울특별시","동대문구","용신동"
"BE_LiST27-0017","1710457","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울답십리우체국","서울답십리우체국","02-2247-2005","02597","","서울특별시 동대문구 사가정길 7","서울특별시","동대문구","용신동"
"BE_LiST27-0018","1710456","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울용두동우체국","서울용두동우체국","02-925-0110","02589","","서울특별시 동대문구 청계천로 499","서울특별시","동대문구","용신동"
"BE_LiST27-0019","1710460","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울이문동우체국","서울이문동우체국","02-965-2005","02403","","서울특별시 동대문구 이문로 133","서울특별시","동대문구","이문1동"
"BE_LiST27-0020","1710467","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울장안2동우체국","서울장안2동우체국","02-2247-5018","02526","","서울특별시 동대문구 사가정길 240","서울특별시","동대문구","용신동"
"BE_LiST27-0021","1710458","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울장안동우체국","서울장안동우체국","02-2244-2005","02628","","서울특별시 동대문구 한천로14길 53","서울특별시","동대문구","장안1동"
"BE_LiST27-0022","1710455","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울전농동우체국","서울전농동우체국","02-2245-0205","02539","","서울특별시 동대문구 전농로 131","서울특별시","동대문구","전농1동"
"BE_LiST27-0023","1710461","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울제기동우체국","서울제기동우체국","02-968-2006","02571","","서울특별시 동대문구 고산자로 233","서울특별시","동대문구","용신동"
"BE_LiST27-0024","1710466","우정","우정_우체국","미래부","미래창조과학부 우정사업본부 서울지방우정청 동대문우체국 서울청량리우체국","서울청량리우체국","02-962-0014","02490","","서울특별시 동대문구 홍릉길 10","서울특별시","동대문구","용신동"
