번호,주제분류,문화시설명,주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스,,,,,,,
365,기타,중랑마을지원센터,망우로 55길 19 2층,37.59894587,127.0931053,02-434-1230,,https://www.facebook.com/jnmaeul/,,,공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101434&thumb=Y,,<p>중랑마을지원센터</p><p>&#39;너랑나랑중랑&#39;</p><p>주민들이 마을공동체 사업에 참여할수 있도록 지원하는 센터.</p>,,,,,,,,,,,,,,,
366,미술관,서울시립미술관 서소문본관,서울특별시 중구 덕수궁길 61,37.56410607,126.9736993,02-2124-8800,,http://sema.seoul.go.kr/,"평일 10:00~22:00토,공휴일 10:00~19:00",0,"매주 월요일, 1월 1일",2002.5,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5452ef4c1e4c476cb5f86c11ad28f1ee&thumb=Y,,"<p style='text-align: center; line-height: 1.8;' align='center'><span style='font-size: 14pt;'>&nbsp;정동 옛 대법원 자리에 위치한 서울시립미술관은 시민들의 미술적 감수성에 조응하고, 미술문화 발전의 활력소를 불어넣어 21세기 서울 문화를 가꾸고 이끌어갈 공공 미술관이다.</span></p>",무료,,,,,,,,,,,,,,
367,박물관/기념관,경찰박물관,서울특별시 종로구 송월길 162,37.5720573,126.962196,02-3150-3681,,https://www.policemuseum.go.kr/,09:00~17:30,무료,"월요일, 신정,설날, 추석연휴",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f5418792be67414fb00b5de9239696f9&thumb=Y,"■ 기    타 : 단체관람시 일주일전 사전예약 요망, 사진촬영은 불가","<span style='font-size: 12pt;'>「경찰박물관」은 국립경찰 50주년을 맞이하여 지나간 경찰역사를 영구히 보존 전시 함으로써, 경찰의 발자취를 한눈에 보고 느낄 수 있도록 하기 위하여 각종 역사의 기록들을 문헌 및 전문가의 고증을 거쳐 `95.11.8 개관하였다.   조선시대, 민족수난기, 건국?구국?호국 등 시대별 전시 및 인물, 총기, 장비, 문서, 세계경찰 등 주제별로 나누어 전시하고 있다.</span>",무료,,,,,,,,,,,,,,
368,박물관/기념관,국립민속박물관,서울특별시 종로구 삼청로 37,37.58167453,126.97889,02-3704-3114,,https://www.nfm.go.kr/home/index.do,3월 10월 09:00~18:0011월 2월 09:00~17:00,일반 3000원청소년 1500원,매주 화요일1월 1일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=df5dd8914c2441098514b7974c9bbd93&thumb=Y,,"<span style='font-size: 12pt;'>보다 나은 전시를 위해 한민속생활사관(1관)을 다음과 같이 휴관합니다. 휴관일: 2007년8월28일(화)부터12월20일(금) 개관일: 2007년12월21일(토) 임시휴관일중에도 2관,3관 및 특별전시는 관람하실수 있습니다.</span><span style='font-size: 12pt;'>  우리 조상들의 생활과 지혜를 엿볼 수 있는 민속자료를 모아 전시하는 박물관이다. 선사시대 각종 생활도구에서부터 청동기시대, 삼국시대를 거쳐, 고려의 인쇄와 조선의 한글창제 등에 대한 자료를 복원, 전시하고 있으며, 의식주, 관혼상제, 세시풍속과 관련된 자료를 살펴볼 수 있다. 또한, 신라의 안압지, 황룡사 9층탑, 경복궁의 근정전 등의 모형도 전시되어 있으며, 박물관 주변 야외에는 천하대장군과 지하여장군, 돌하루방, 연자방아등이 전시되어 있다.</span>",유료,,,,,,,,,,,,,,
369,박물관/기념관,한국가구박물관,서울특별시 성북구 대사관로 121,37.60037831,126.9934492,02-745-0181,,http://www.kofum.com/,13:00 ~ 17:00,무료,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100231&thumb=Y,,"<span style='font-size: 14pt;'>한국가구박물관은 한국 전통 목가구를 수집, 보존, 전시하는 특수 전문 박물관으로 한국 전통 주생활과 전통 실내 장식을 한국가구와 함께 쉽게 알 수 있도록 특성을 살리고 있다. 특히 서울 중심 중앙청에서 10분 거리의 성북동에 위치하여 민속촌에 가기힘든 외국인이 한국 주생활 전통을 피부로 느끼고 갈 수 있는 생활사 공간이다. 불특정 다수의 공간이 아니라 각 개인의 특징적인 수집으로 특성을 살린 인간적인 전시 분류방법을 도입, 한국전통가구를 종류별(사랑방, 안방, 부엌 등), 재료별(먹감나무, 은행나무, 대나무, 소나무, 종이등) 지역별(각 지방 특성순)로 분류 전시하고 있다.</span>",무료,,,,,,,,,,,,,,
370,박물관/기념관,한국은행 화폐금융박물관,서울  중구 남대문로3가 110 ),37.5620607,126.9805213,02-759-4881,,http://museum.bok.or.kr,10:00~17:00,무료,"월요일, 공휴일, 근로자의날12월 29일부터 다음해 1월 2일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100504&thumb=Y,,"박물관이 위치한 본관 건물은 대한제국시대인 1907년 착공되어 1912년 완공된 절충식 르네상스양식의 건축물로 국가 중요문화재(사적 제280호)로 지정되어 있으며, 화폐금융박물관 설계 및 시공과정에서 실내 공간의 높은 천장, 육중한 기둥 등 건축미를 살릴 수 있도록 하였다.  박물관은 크게 전시공간과 보조공간으로 나누었으며, 전시공간은 한국은행의 설립목적과 기능, 화폐제조, 물가 및 통화신용정책 등에 관한 내용을 소개하고 우리나라와 세계 각국의 화폐실물을 전시하는 4개의 존(zone)으로 되어있다. 보조공간은 정보자료실, 서적/기념품 코너 등으로 구성하여 이용자들이 보다 쉽게 이용할 수 있게 하였다.",무료,,,,,,,,,,,,,,
371,기타,노원구민체육센터,서울  노원구 중계동 507-3 ),37.6481321,127.070725,02-949-8416~9,02-949-8460,http://gongdan.nowon.kr,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100136&thumb=Y,,<p><br />  <img src=&quot;/data/cf/20111021170820.JPG&quot; />  </p><p><br />    &nbsp;</p><p>&nbsp;</p>,유료,,,,,,,,,,,,,,
372,박물관/기념관,코리아나 화장박물관,강남구 언주로 827,37.52450168,127.0326936,02-547-9177,,http://www.spacec.co.kr,,,일요일명절 휴관,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100064&thumb=Y,,"<!--startfragment--> <p class='0' style='MARGIN-LEFT: 0pt; LETTER-SPACING: 0pt; LINE-HEIGHT: 180%; TEXT-AUTOSPACE: ; MARGIN-RIGHT: 0pt; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕'></span><span style='mso-fareast-font-family: 함초롬바탕'>코리아나 화장박물관</span><span style='LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-fareast-font-family: 함초롬바탕'>化粧博物館</span><span style='mso-fareast-font-family: 함초롬바탕'>은 한국 옛 여인의 화장 문화를 보존하고 널리 알리고자 설립한 국내 최대 규모의 전문 화장박물관이다</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>. </span><span style='mso-fareast-font-family: 함초롬바탕'>코리아나 화장품의 창업자인 유상옥 회장이 지난 </span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>40</span><span style='mso-fareast-font-family: 함초롬바탕'>년간 소중하게 모아온 컬렉션을 기반으로 설립한 화장박물관은 신사동 스페이스 씨</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>, </span><span style='mso-fareast-font-family: 함초롬바탕'>천안 송파기술연구원 내 총 두 개 관으로 운영하고 있다</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>. </span></p> <p class='0' style='MARGIN-LEFT: 0pt; LETTER-SPACING: 0pt; LINE-HEIGHT: 180%; TEXT-AUTOSPACE: ; MARGIN-RIGHT: 0pt; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>2003</span><span style='mso-fareast-font-family: 함초롬바탕'>년 서울 강남 신사동에 설립된 문화공간 스페이스 씨 화장박물관은 다양한 테마전과 연구 활동을 본격적으로 펴 나가고 있다</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>. </span><span style='mso-fareast-font-family: 함초롬바탕'>더불어 해외전시를 통해 한국의 아름다운 화장문화를 세계에 널리 알리는데 힘쓰고 있다</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>. </span></p> <p class='0' style='MARGIN-LEFT: 0pt; LETTER-SPACING: 0pt; LINE-HEIGHT: 180%; TEXT-AUTOSPACE: ; MARGIN-RIGHT: 0pt; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕'></span><span style='mso-fareast-font-family: 함초롬바탕'>박물관은 남녀 화장도구를 비롯하여 화장용기</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>, </span><span style='mso-fareast-font-family: 함초롬바탕'>장신구 및 생활문화에 관련된 유물 </span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>300</span><span style='mso-fareast-font-family: 함초롬바탕'>여 점을 전시하여 한국 화장의 역사와 문화를 한자리에서 감상할 수 있도록 하였을 뿐 아니라</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>, </span><span style='mso-fareast-font-family: 함초롬바탕'>전통천연화장재료와 제조도구를 함께 전시하여 선인들의 지혜와 미감을 체험할 수 있도록 하였다</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>. </span></p> <p class='0' style='MARGIN-LEFT: 0pt; LETTER-SPACING: 0pt; LINE-HEIGHT: 180%; TEXT-AUTOSPACE: ; MARGIN-RIGHT: 0pt; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-font-width: 100%; mso-text-raise: 0pt'><span style='mso-fareast-font-family: 함초롬바탕'>박물관은 유치원 및 청소년</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>, </span><span style='mso-fareast-font-family: 함초롬바탕'>일반인을 대상으로 진행되는 박물관 교육프로그램을 통하여 화장문화에 대한 이해의 폭을 넓히고 전통문화를 배울 수 있는 기회를 제공하는데 큰 기여를 하고 있다</span><span lang='EN-US' style='FONT-FAMILY: 함초롬바탕; LETTER-SPACING: 0pt; mso-font-width: 100%; mso-text-raise: 0pt; mso-ascii-font-family: 함초롬바탕'>. </span></p>",무료,,,,,,,,,,,,,,
373,공연장,롯데월드 시네마,서울특별시 송파구 올림픽로 300,37.51375196,127.1044469,1544-8855,,https://www.lottecinema.co.kr/NLCHS,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100263&thumb=Y,■ 주차 : 롯데월드 어드벤쳐 주차장 이용 (주차장할인 2시간 2000원 극장내에서 주차권구입),<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>롯데월드 시네마는 깨끗하고 편안하게 관람할 수 있는 5개의 개봉관을 갖추고 있다.</span></div>,유료,,,,,,,,,,,,,,
374,기타,윤동주문학관,서울특별시 종로구 창의문로 119(청운동),37.5920259,126.9669236,02-2148-4175,,https://www.jfac.or.kr/site/main/content/yoondj01,,,"매주 월요일, 1월1일, 설날/추석 당일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101178&thumb=Y,,"<div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>시인 윤동주는 연희전문학교 문과 재학시절,</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>종로구 누상동에 있는 소설가 김송(金松. 1909~1988)의 집에서 문우(文友)정병욱과 함께 하숙생활을 했습니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 12px;'><br></span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>당시 시인은 종종 이곳 인왕산에 올라 시정(詩情)을 다듬곤 했습니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>&lt;별헤는 밤&gt;, &lt;자화상&gt;, 그리고 &lt;또 다른 고향&gt;....</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>지금까지도 사랑받는 그의 대표작들이 바로 이 시기에 쓰였습니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 12px;'><br></span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>그런 인연으로 종로구는 2012년,</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>인왕산 자락에 버려져있던 청운수도가압장과 물탱크를 개조해 윤동주문학관을 만들었습니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 12px;'><br></span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>가압장은 느려지는 물살에 압력을 가해 다시 힘차게 흐르도록 도와주는 곳입니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>세상사에 지쳐 타협하면서 비겁해지는 우리 영혼에 윤동주의 시는 아름다운 자극을 줍니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>그리하여 영혼의 물길을 정비해 새롭게 흐르도록 만듭니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 12px;'><br></span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>윤동주문학관은 우리 영혼의 가압장입니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'><br></span></font></div><div><font color='#e0b800'><span style='font-size: 12px;'><br></span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'><b>관람시간</b><span style='white-space: pre; color: rgb(0, 0, 0); font-size: 14pt;'>	</span>10:00~18:00 입장마감 (17:30)</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'><b>휴관일</b><span style='white-space: pre; color: rgb(0, 0, 0); font-size: 14pt;'>	</span>매주 월요일, 1월 1일, 설날?추석 당일</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'><b>관람료</b><span style='white-space: pre; color: rgb(0, 0, 0); font-size: 14pt;'>	</span>무료</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'><b>해설안내</b></span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'><b>관람시간</b> 내 전화 및 방문하여 직원에게 문의해 주시길 바랍니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>단체 방문 및 해설 요청 시, 사전예약을 권장합니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'>성수기(5,6,9,10월)에는 단체방문 및 해설요청 시, 사전예약이 필수입니다.</span></font></div><div><font color='#e0b800'><span style='font-size: 14pt; color: rgb(0, 0, 0);'><b>예약문의</b><span style='white-space: pre; color: rgb(0, 0, 0); font-size: 14pt;'>	</span>02-2148-4175</span></font></div>",무료,,,,,,,,,,,,,,
375,도서관,구로구립 온누리도서관,구로중앙로27나길 9 (구로동 443번지) 온누리관 4층,37.49689123,126.8859561,02-858-9080,,lib.guro.go.kr,,,매주 화요일과 공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101179&thumb=Y,,"<p>도서관 이용 대상 : 누구나</p> <p>도서관 대출 회원 : 서울시민, 구로구 소재 직장 근무자</p> <p>대출증 발급 방법</p> <p>- 도서관 홈페이지 &quot;지혜의 등대&quot;에서 회원가입 후</p> <p>- 구립도서관 직접 방문하여 대출증 발급 (신분증 지참)</p> <p>도서대출 권수 및 기간: 1인 3권 / 14일</p> <p><br />  </p> <p><br />  </p> <p><br />  </p>",,,,,,,,,,,,,,,
376,도서관,세곡도서관,서울 강남구 밤고개로 286 세곡문화센터 2층 세곡도서관,37.46857738,127.106938,02-445-0297,,http://sklib.gangnam.go.kr/,,,"매월 첫째, 셋째주 월요일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101192&thumb=Y,,강남구 율현동에 위치한 세곡도서관은 2003년 6월 27일 개관하여 오랫동안 지역주민들의 문화 쉼터가 되어온 작은도서관 입니다.,,,,,,,,,,,,,,,
377,도서관,도봉문화재단 쌍문채움도서관,서울특별시 도봉구 우이천로 340,37.64704212,127.0262302,02-998-0910,02-998-0917,http://www.unilib.dobong.kr/contents.do?idx=291,,0,"매주 월요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=447780e54e554ebd98d284674729f467&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>쌍문채움도서관은(재단법인 도봉문화재단 소속) 서울 도봉구 쌍문동 벚꽃피는 우이천 옆 2019년 12월에 개관한 ‘일상이 예술이 되는 예술 특화 도서관’입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>지역 주민들이 다양한 예술 관련 자료와 프로그램을 통해 지식 정보를 소통하고 문화예술을 향유함으로써 지역 공동체가 성장하고 지역 주민들의 시민 역량이</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&nbsp;향상될 수 있도록 모든 계층의 시민을 향한 선한 영향력으로 예술 특화서가를 운영하고, 예술 중심의 프로그램을 운영하여 삶을 더욱 풍요롭게 만듭니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>세상과 지역과 나를 연결해주는 여러분의 도서관이 되겠습니다.</span></div>",무료,,,,,,,,,,,,,,
378,도서관,국립어린이청소년 도서관,서울특별시 강남구 테헤란로7길 21,37.50090193,127.0296765,02-3413-4800,02-3413-4819,http://www.nlcy.go.kr,아침9시~저녁6시  야간도서관 자료이용 : [월~금요일] 18:00~21:00,,"매월 둘째?넷째 월요일, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100733&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>국립어린이청소년도서관은 우리 미래 세대의 지적 성장과 올바른 인성 함양을 위해 전 세계 어린이?청소년 자료를&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>보유하고 지식 정보에 쉽게 접근하고 활용할 수 있는 서비스를 제공하며, 다양한 문화 경험을 함께하는 체험 활동과&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>연구 지원을 수행하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>앞으로도 우리 도서관 전 직원은 어린이와 청소년이 꿈을 키우고 희망을 펼쳐가는 도서관이 되기 위해 봉사의 마음과&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>능동적인 자세로 더욱 더 노력해 나가겠습니다.</span></div>",유료,,,,,,,,,,,,,,
379,박물관/기념관,한국천주교순교자박물관,서울특별시 마포구 토정로 6,37.54413544,126.9117936,02-3142-4504,,http://www.jeoldusan.or.kr/renew/museum1.php,,없음 (각자 소정의 헌금),매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101453&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서울 마포구 합정동에 위치한 천주교 순교기념 박물관으로, 병인박해(1866년) 100주년을 기념하여 1967년에 완공되었다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서울 용산구의 새남터와 함께 천주교 주요 성지의 하나로, 순교자들의 유품, 유물과 초창기 가톨릭 자료등이 전시되어 있다.</span></div>",유료,,,,,,,,,,,,,,
380,기타,장안평 자동차산업 종합정보센터,서울특별시 성동구 자동차시장1길 64,37.56032466,127.064517,02-6213-3370,,https://blog.naver.com/jac4u,,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101381&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>장안평은 지난 40여년간 대한민국 자동차 애프터마켓을 이끌어 왔습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>장안평 자동차산업 종합정보센터는 장안평의 자동차산업 생태계를 재생하고 서울의 신성장동력으로써 지역 산업을 활성화하기 위해 설립되었습니다.</span></div>,무료,,,,,,,,,,,,,,
381,기타,관악청소년센터,서울특별시 관악구 신림로23길 17,37.4702439,126.9352433,02-876-0636,,http://www.goyouth.or.kr/index.php,,,"일요일, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101397&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>관악청소년센터 전문적인 청소년활동시설&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전문적인 관악청소년센터는 21세기를 주도할 창의적 청소년 육성을 목적으로 설립된 청소년 전문수련활동시설입니다.</span></div>,무료,,,,,,,,,,,,,,
382,기타,관악구청,서울특별시 관악구 관악로 145,37.47820977,126.9515032,02-879-5000,,http://www.gwanak.go.kr/site/gwanak/main.do,,,"주말, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101398&thumb=Y,,,,,,,,,,,,,,,,,
383,문화원,서초문화원,서울특별시 서초구 강남대로 201 서초문화예술회관 2층 서초문화원,37.4818291,127.0359583,02-2155-8607,,http://socc.or.kr/,,,"주말, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101402&thumb=Y,,"<p><span class='itemfont col'><font color='#414141' face='돋움'>서초구민과&nbsp;문화예술이&nbsp;함께&nbsp;교감하는&nbsp;새로운&nbsp;문화공간,서초문화원입니다.&nbsp;</font></span></p><p><span class='itemfont col'><font color='#414141' face='돋움'>http://socc.or.kr&nbsp;<br>  카카오톡@서초문화원&nbsp;<br>  페이스북@socc.or.kr&nbsp;<br>  인스타그램@s_c_c_&nbsp;</font></span></p>",무료,,,,,,,,,,,,,,
384,박물관/기념관,안중근의사기념관,서울  중구 남대문로5가 471 ),37.5534654,126.9803691,02-771-4195,,www.patriot.or.kr,3월 ~ 10월 09:00 ~ 18:00,일반 1000원학생 700원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100503&thumb=Y,,"이곳은 일제치하에서 대한민국의 독립을 위해 목숨을 버리며 구국투쟁을 벌인 안중근의사의 정신과 뜻을 추모하고, 기념하기위해 설립되었으며 안중근의사 숭모회에서 관리하고 있다. 1970년에 준공하여 71년에 기념관을 개관하였다.  기념관은 건물 179평에 석조와즙 1동을 건설하였고 기념관 앞에 높이 3m의 안중근의사 동상이 위치하고 있다. 기념관내 소장품으로는 &#39;국가안위노심초사&#39;외 20점의 휘호, &#39;인심결합론&#39;외 20점의 액자, &#39;안중근의사 존영&#39;외 35점의 사진, &#39;안중근의사 공판기&#39;외 35점의 책자 등이 있으며 일반인의 관람을 위하여 전시하고 있다.",유료,,,,,,,,,,,,,,
385,박물관/기념관,서울교육사료관,서울  종로구 화동 2 ),37.579777,126.9832525,02-736-2859,02-722-5707,www.edumuseum.seoul.kr,평일 09:00~18:00주말 09:00~17:00,무료,법정공휴일1/3주 수요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100502&thumb=Y,,"우리 나라 교육의 역사를 연구하고 사료를 수집하여 전시하는 정독도서관 부설 교육전문박물관이다. 박물관 건물은 우리 나라 중등교육의 발상지인 경성고등보통학교 건물이다.   전시관에는 삼국시대의 교육기관에서 현대에 이르는 교육관련 자료가 전통기, 개화기, 민족저항기, 미군정기, 교육과정기, 서울시교육청의 어제와 오늘로 나뉘어 전시되어 있다. 개화기의 교과서와 풍금, 일제시대의 통지표와 졸업앨범, 검정고무신, 몽당연필, 등사판, 무시험 추첨기, 양은 도시락 등의 물품을 비롯하여 8?15광복후 첫수업 모습, 콩나물교실, 얼룩무늬 교련복을 입은 고등학생 모습 등의 사진자료를 볼 수 있다.   소장품은 개화기 교과서 외 도서류 3,888점, 1910년대 학적부 외 기록문서류 3,411점, 교구류 228점, 1970년대 교복 등 복식 738점, 기타 400여 점 등 총 8,670점이다. 전시 외에 연 4회에 걸쳐 관람홍보와 초중고등학생을 대상으로 한 단체교육을 실시한다.",무료,,,,,,,,,,,,,,
386,공연장,건국대학교 새천년대공연장,서울특별시 광진구 능동로 120,37.53918267,127.0747119,"02-455-1896,1897",02-455-4922,http://www.konkuk.ac.kr,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100110&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>대공연장은 총 794석입니다. 내부구조는 1,2층을 구분하지 않고 계단형으로 연결해 공연장의 내부 공간이 넓습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>규모면에서는 독주에서 오케스트라까지, 장르면에서 클래식과 대중음악을 막론해 다양한 문화행사를 소화해 낼 수 있는 다목적 공연장입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>특히 장애인 전용 엘리베이터 및 화장실, 전용좌석 등이 마련되어있고 건물 내에는 전문 레스토랑이 있어 관람객들이 불편해하는 식사문제 해결 등&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>무대 외적인 것까지 세심한 배려를 했습니다..</span></div>",유료,,,,,,,,,,,,,,
